,Question,Answer,Answer Chunk Index,Chunk_Page_Span,TOP_1,TOP_2,TOP_3,TOP_4,TOP_5
333,What must the Auditor-General do before starting their duties?,"Before starting their duties, the Auditor-General must take an oath before the Chief Justice of Pakistan.",175,"(89, 90)","(88,)","(88, 89)","(88, 89, 173)","(88, 89, 173, 172)","(88, 89, 173, 172, 45)"
334,How long is the term for the Auditor-General of Pakistan?,"The term for the Auditor-General of Pakistan is four years or until they reach the age of sixty-five, whichever comes first.",175,"(89, 90)","(88,)","(88, 172)","(88, 172, 45)","(88, 172, 45, 89)","(88, 172, 45, 89, 150)"
335,Who has the authority to determine the functions and powers of the Auditor-General?,"The functions and powers of the Auditor-General may be determined by or under an Act of Majlis-e-Shoora (Parliament) and, until so determined, by Order of the President.",176,"(90, 90)","(89,)","(89, 173)","(89, 173, 172)","(89, 173, 172, 88)","(89, 173, 172, 88, 45)"
336,What types of accounts does the Auditor-General oversee?,"The Auditor-General oversees the accounts of the Federation, the Provinces, and any authority or body established by the Federation or a Province.",176,"(90, 90)","(89,)","(89, 88)","(89, 88, 173)","(89, 88, 173, 45)","(89, 88, 173, 45, 172)"
337,Who is responsible for prescribing the form and principles for keeping the accounts of the Federation and Provinces?,"The Auditor-General, with the approval of the President, is responsible for prescribing the form and principles for keeping the accounts of the Federation and Provinces.",177,"(90, 90)","(89,)","(89, 74)","(89, 74, 83)","(89, 74, 83, 1)","(89, 74, 83, 1, 14)"
338,Who conducts the audit of the accounts of the Federal and Provincial Governments?,The Auditor-General conducts the audit of the accounts of the Federal and Provincial Governments.,177,"(90, 90)","(89,)","(89, 41)","(89, 41, 87)","(89, 41, 87, 173)","(89, 41, 87, 173, 88)"
339,Who receives the reports of the Auditor-General related to the accounts of the Federation?,The reports of the Auditor-General related to the accounts of the Federation are submitted to the President.,178,"(90, 90)","(89,)","(89, 45)","(89, 45, 88)","(89, 45, 88, 173)","(89, 45, 88, 173, 172)"
340,What happens to the Auditor-General's reports on provincial accounts?,"The reports of the Auditor-General relating to the accounts of a Province are submitted to the Governor of the Province, who then causes them to be laid before the Provincial Assembly.",178,"(90, 90)","(89,)","(89, 88)","(89, 88, 173)","(89, 88, 173, 172)","(89, 88, 173, 172, 60)"
341,Who gets ownership of property that has no rightful owner in a Province?,"If a property has no rightful owner and is located in a Province, it will vest in the Government of that Province.",179,"(91, 91)","(90,)","(90, 170)","(90, 170, 171)","(90, 170, 171, 91)","(90, 170, 171, 91, 86)"
342,Who owns the minerals and other valuable things within the continental shelf beyond Pakistan's territorial waters?,"The Federal Government owns all lands, minerals, and other valuable things within the continental shelf or underlying the ocean beyond the territorial waters of Pakistan.",179,"(91, 91)","(90,)","(90, 1)","(90, 1, 76)","(90, 1, 76, 147)","(90, 1, 76, 147, 146)"
343,Who is responsible for executing contracts made by the Federal or Provincial Government?,Contracts made by the Federal or Provincial Government are executed on behalf of the President or Governor by such persons and in such manner as they may direct or authorize.,180,"(91, 92)","(83,)","(83, 90)","(83, 90, 91)","(83, 90, 91, 171)","(83, 90, 91, 171, 81)"
344,Are the President or the Governor personally liable for contracts made in the exercise of their executive authority?,Neither the President nor the Governor of a Province shall be personally liable in respect of any contract or assurance made or executed in the exercise of the executive authority of the Federation or the Province.,180,"(91, 92)","(90,)","(90, 53)","(90, 53, 74)","(90, 53, 74, 50)","(90, 53, 74, 50, 141)"
345,How is the transfer of land by the Federal or Provincial Government regulated?,The transfer of land by the Federal Government or a Provincial Government shall be regulated by law.,180,"(91, 92)","(91,)","(91, 77)","(91, 77, 90)","(91, 77, 90, 151)","(91, 77, 90, 151, 83)"
346,Can the government of Pakistan be taken to court?,"Yes, the Federation may be sued by the name of Pakistan.",181,"(92, 92)","(10,)","(10, 32)","(10, 32, 105)","(10, 32, 105, 9)","(10, 32, 105, 9, 33)"
347,What courts are established in Pakistan according to the Constitution?,"There shall be a Supreme Court of Pakistan, a High Court for each Province, a High Court for the Islamabad Capital Territory, and such other courts as may be established by law.",182,"(93, 93)","(92,)","(92, 122)","(92, 122, 121)","(92, 122, 121, 165)","(92, 122, 121, 165, 3)"
348,Are there any exceptions to the separation of the Judiciary from the Executive?,"Yes, the provisions of this Article do not apply to the trial of persons under certain Acts who claim, or are known, to belong to any terrorist group or organization misusing the name of religion or a sect.",182,"(93, 93)","(92,)","(92, 172)","(92, 172, 101)","(92, 172, 101, 165)","(92, 172, 101, 165, 110)"
349,Who is responsible for appointing the Chief Justice of Pakistan?,The President shall appoint the most senior Judge of the Supreme Court as the Chief Justice of Pakistan.,183,"(93, 97)","(93,)","(93, 96)","(93, 96, 110)","(93, 96, 110, 94)","(93, 96, 110, 94, 102)"
350,How many members from the Senate are part of the Parliamentary Committee for appointing judges?,The Parliamentary Committee consists of four members from the Senate.,183,"(93, 97)","(94,)","(94, 93)","(94, 93, 96)","(94, 93, 96, 123)","(94, 93, 96, 123, 119)"
351,What happens if the Parliamentary Committee does not confirm a nomination within fourteen days?,"If the Parliamentary Committee does not confirm a nomination within fourteen days, the nomination shall be deemed to have been confirmed.",183,"(93, 97)","(95,)","(95, 131)","(95, 131, 123)","(95, 131, 123, 94)","(95, 131, 123, 94, 80)"
352,Who is the head of the Supreme Court in Pakistan?,The head of the Supreme Court in Pakistan is the Chief Justice of Pakistan.,184,"(97, 97)","(96,)","(96, 100)","(96, 100, 118)","(96, 100, 118, 119)","(96, 100, 118, 119, 98)"
353,How is the number of Judges in the Supreme Court determined?,"The number of Judges in the Supreme Court is determined by an Act of Majlis-e-Shoora (Parliament) or, until so determined, as may be fixed by the President.",184,"(97, 97)","(98,)","(98, 96)","(98, 96, 92)","(98, 96, 92, 101)","(98, 96, 92, 101, 118)"
354,Who appoints the Chief Justice and other Judges of the Supreme Court in Pakistan?,The Chief Justice of Pakistan and each of the other Judges of the Supreme Court are appointed by the President in accordance with Article 175A.,185,"(97, 97)","(96,)","(96, 93)","(96, 93, 110)","(96, 93, 110, 98)","(96, 93, 110, 98, 119)"
355,What are the qualifications required for someone to be appointed as a Judge of the Supreme Court in Pakistan?,A person must be a citizen of Pakistan and either have been a judge of a High Court for at least five years or have been an advocate of a High Court for at least fifteen years.,185,"(97, 97)","(102,)","(102, 110)","(102, 110, 96)","(102, 110, 96, 123)","(102, 110, 96, 123, 54)"
356,Who does the Chief Justice of Pakistan take an oath before when assuming office?,The Chief Justice of Pakistan takes an oath before the President.,186,"(97, 97)","(20,)","(20, 103)","(20, 103, 173)","(20, 103, 173, 96)","(20, 103, 173, 96, 124)"
357,Who administers the oath to the other Judges of the Supreme Court?,The Chief Justice administers the oath to the other Judges of the Supreme Court.,186,"(97, 97)","(96,)","(96, 165)","(96, 165, 155)","(96, 165, 155, 103)","(96, 165, 155, 103, 116)"
358,"Until what age can a Supreme Court Judge serve?
",A Judge of the Supreme Court can serve until he attains the age of sixty-five years.,187,"(98, 98)","(97,)","(97, 98)","(97, 98, 118)","(97, 98, 118, 110)","(97, 98, 118, 110, 120)"
359,Who appoints the acting Chief Justice when the Chief Justice of Pakistan is unable to perform his duties?,The President appoints the most senior of the other Judges of the Supreme Court to act as Chief Justice of Pakistan.,188,"(98, 98)","(97,)","(97, 103)","(97, 103, 96)","(97, 103, 96, 110)","(97, 103, 96, 110, 98)"
360,What happens if the Chief Justice of Pakistan is absent or the position is vacant?,The President will appoint the most senior of the other Judges of the Supreme Court to act as Chief Justice of Pakistan.,188,"(98, 98)","(97,)","(97, 103)","(97, 103, 119)","(97, 103, 119, 96)","(97, 103, 119, 96, 94)"
361,Who can the President appoint to temporarily act as a Judge of the Supreme Court if a current Judge is unable to perform their duties?,The President may appoint a Judge of a High Court who is qualified for appointment as a Judge of the Supreme Court to act temporarily as a Judge of the Supreme Court.,189,"(98, 98)","(97,)","(97, 110)","(97, 110, 54)","(97, 110, 54, 118)","(97, 110, 54, 118, 98)"
362,How long does the temporary appointment of a Judge of the Supreme Court last?,The temporary appointment continues in force until it is revoked by the President.,189,"(98, 98)","(97,)","(97, 118)","(97, 118, 98)","(97, 118, 98, 165)","(97, 118, 98, 165, 119)"
363,Who can be requested to serve as an ad hoc Judge in the Supreme Court if there is a need to temporarily increase the number of Judges?,"The Chief Justice of Pakistan, with the approval of the President, can request any person who has held the office of a Judge of the Supreme Court and since whose ceasing to hold that office three years have not elapsed, or require a Judge of a High Court qualified for appointment as a judge of the Supreme Court, with the consent of the Chief Justice of that High Court.",190,"(98, 99)","(98,)","(98, 97)","(98, 97, 103)","(98, 97, 103, 110)","(98, 97, 103, 110, 107)"
364,What powers does an ad hoc Judge have while attending sittings of the Supreme Court?,An ad hoc Judge shall have the same power and jurisdiction as a Judge of the Supreme Court while attending sittings.,190,"(98, 99)","(98,)","(98, 155)","(98, 155, 97)","(98, 155, 97, 110)","(98, 155, 97, 110, 165)"
365,Under what conditions can the Chief Justice of Pakistan appoint an ad hoc Judge to the Supreme Court?,"The Chief Justice of Pakistan can appoint an ad hoc Judge if it is not possible to hold or continue any sitting of the Court due to a lack of quorum of Judges, or if it is necessary to temporarily increase the number of Judges for any other reason, with the approval of the President and in consultation with the Judicial Commission as provided in clause (2) of Article 175A.",190,"(98, 99)","(97,)","(97, 98)","(97, 98, 96)","(97, 98, 96, 119)","(97, 98, 96, 119, 93)"
366,Where is the main location of the Supreme Court in Pakistan?,The permanent seat of the Supreme Court is at Islamabad.,191,"(99, 99)","(98,)","(98, 100)","(98, 100, 92)","(98, 100, 92, 96)","(98, 100, 92, 96, 101)"
367,Can the Supreme Court hold sessions in places other than its main location?,"Yes, the Supreme Court may sit in other places as appointed by the Chief Justice of Pakistan with the approval of the President.",191,"(99, 99)","(98,)","(98, 110)","(98, 110, 96)","(98, 110, 96, 104)","(98, 110, 96, 104, 101)"
368,Which court has the authority to handle disputes between different governments in Pakistan?,The Supreme Court has the authority to handle disputes between the Federal Government and the Provincial Governments.,192,"(99, 100)","(98,)","(98, 117)","(98, 117, 111)","(98, 117, 111, 105)","(98, 117, 111, 105, 113)"
369,What type of judgements does the Supreme Court give when exercising its original jurisdiction in disputes between governments?,The Supreme Court shall pronounce declaratory judgements only.,192,"(99, 100)","(98,)","(98, 100)","(98, 100, 87)","(98, 100, 87, 99)","(98, 100, 87, 99, 111)"
370,Can the Supreme Court hear appeals from decisions made by a High Court?,"Yes, the Supreme Court has jurisdiction to hear and determine appeals from judgments, decrees, final orders, or sentences of a High Court.",193,"(100, 101)","(99,)","(99, 100)","(99, 100, 101)","(99, 100, 101, 108)","(99, 100, 101, 108, 115)"
371,Under what circumstances can an appeal be made to the Supreme Court if a High Court has sentenced someone to death or life imprisonment?,"An appeal can be made to the Supreme Court if the High Court has on appeal reversed an order of acquittal of an accused person and sentenced him to death or to transportation for life or imprisonment for life, or on revision, has enhanced a sentence to such a sentence.",193,"(100, 101)","(99,)","(99, 114)","(99, 114, 100)","(99, 114, 100, 112)","(99, 114, 100, 112, 115)"
372,What is the minimum value of the subject matter in dispute for an appeal to be made to the Supreme Court?,The minimum value of the subject matter in dispute for an appeal to be made to the Supreme Court is fifty thousand rupees or such other sum as may be specified by an Act of Majlis-e-Shoora (Parliament).,193,"(100, 101)","(99,)","(99, 100)","(99, 100, 115)","(99, 100, 115, 114)","(99, 100, 115, 114, 122)"
373,Who can ask the Supreme Court for an opinion on a legal matter of public importance?,The President can ask the Supreme Court for an opinion on a legal matter of public importance.,194,"(101, 101)","(100,)","(100, 122)","(100, 122, 99)","(100, 122, 99, 101)","(100, 122, 99, 101, 112)"
374,What is the Supreme Court required to do when the President refers a legal question to it?,The Supreme Court is required to consider the question and report its opinion on the matter to the President.,194,"(101, 101)","(100,)","(100, 112)","(100, 112, 101)","(100, 112, 101, 54)","(100, 112, 101, 54, 111)"
375,"Can the Supreme Court move a case from one High Court to another?
","Yes, the Supreme Court can transfer any case, appeal, or other proceedings from one High Court to another if it considers it expedient in the interest of justice.",195,"(101, 101)","(101,)","(101, 92)","(101, 92, 115)","(101, 92, 115, 99)","(101, 92, 115, 99, 100)"
376,What authority does the Supreme Court have to ensure justice in cases before it?,"The Supreme Court has the power to issue directions, orders, or decrees necessary for doing complete justice in any case or matter pending before it, including securing the attendance of any person or the discovery or production of any document.",196,"(101, 101)","(100,)","(100, 87)","(100, 87, 99)","(100, 87, 99, 114)","(100, 87, 99, 114, 112)"
377,How are the Supreme Court's orders enforced across different regions of Pakistan?,"The Supreme Court's orders are enforceable throughout Pakistan and, if executed in a Province or a territory within the jurisdiction of the High Court of that Province, they are executed as if issued by the High Court of that Province.",196,"(101, 101)","(100,)","(100, 165)","(100, 165, 101)","(100, 165, 101, 87)","(100, 165, 101, 87, 92)"
378,Can the Supreme Court of Pakistan review its own decisions?,"Yes, the Supreme Court of Pakistan has the power to review any judgment pronounced or any order made by it.",197,"(101, 102)","(100,)","(100, 101)","(100, 101, 99)","(100, 101, 99, 114)","(100, 101, 99, 114, 98)"
379,Are there any conditions under which the Supreme Court can review its judgments?,The Supreme Court's power to review its judgments is subject to the provisions of any Act of Majlis-e-Shoora (Parliament) and any rules made by the Supreme Court.,197,"(101, 102)","(87,)","(87, 100)","(87, 100, 99)","(87, 100, 99, 114)","(87, 100, 99, 114, 117)"
380,"Are lower courts in Pakistan required to follow the rulings of the Supreme Court?
","Yes, lower courts in Pakistan are required to follow the rulings of the Supreme Court if the decision involves a question of law or a principle of law.",198,"(102, 102)","(101,)","(101, 165)","(101, 165, 100)","(101, 165, 100, 92)","(101, 165, 100, 92, 119)"
381,Who must support the Supreme Court in Pakistan?,All executive and judicial authorities throughout Pakistan must support the Supreme Court.,199,"(102, 102)","(98,)","(98, 101)","(98, 101, 100)","(98, 101, 100, 9)","(98, 101, 100, 9, 119)"
382,Who has the authority to establish the guidelines for how the Supreme Court operates?,"The Supreme Court has the authority to make rules regulating its practice and procedure, subject to the Constitution and law.",200,"(102, 102)","(101,)","(101, 100)","(101, 100, 98)","(101, 100, 98, 122)","(101, 100, 98, 122, 99)"
383,Who decides the number of Judges in a High Court?,"The number of Judges in a High Court is determined by law or, until so determined, is fixed by the President.",201,"(102, 103)","(108,)","(108, 101)","(108, 101, 110)","(108, 101, 110, 107)","(108, 101, 110, 107, 118)"
384,What change occurred regarding the High Court for the Provinces of Balochistan and Sindh?,The Sindh and Balochistan High Court ceased to function as a common High Court for the Provinces of Balochistan and Sindh.,201,"(102, 103)","(101,)","(101, 104)","(101, 104, 148)","(101, 104, 148, 57)","(101, 104, 148, 57, 146)"
385,Who has the authority to establish separate High Courts for Balochistan and Sindh?,The President has the authority to establish separate High Courts for Balochistan and Sindh by Order.,201,"(102, 103)","(101,)","(101, 104)","(101, 104, 148)","(101, 104, 148, 146)","(101, 104, 148, 146, 57)"
386,Who appoints the Chief Justice and other Judges of a High Court in Pakistan?,The Chief Justice and other Judges of a High Court are appointed by the President in accordance with Article 175A.,202,"(103, 103)","(102,)","(102, 110)","(102, 110, 93)","(102, 110, 93, 94)","(102, 110, 93, 94, 96)"
387,What are the qualifications required for someone to be appointed as a Judge of a High Court in Pakistan?,"To be appointed as a Judge of a High Court in Pakistan, a person must be a citizen of Pakistan, at least forty-five years old, and must have either been an advocate of a High Court for at least ten years, a member of a civil service for at least ten years with three years as a District Judge, or held a judicial office in Pakistan for at least ten years.",202,"(103, 103)","(102,)","(102, 110)","(102, 110, 96)","(102, 110, 96, 71)","(102, 110, 96, 71, 97)"
388,Who administers the oath to the Chief Justice of a High Court?,The Chief Justice of a High Court makes the oath before the Governor.,203,"(103, 104)","(103,)","(103, 96)","(103, 96, 102)","(103, 96, 102, 155)","(103, 96, 102, 155, 110)"
389,Who administers the oath to the Chief Justice of the Islamabad High Court?,The Chief Justice of the Islamabad High Court makes the oath before the President.,203,"(103, 104)","(103,)","(103, 110)","(103, 110, 104)","(103, 110, 104, 102)","(103, 110, 104, 102, 96)"
390,Until what age can a High Court Judge serve?,A High Court Judge can serve until the age of sixty-two years.,204,"(104, 104)","(102,)","(102, 103)","(102, 103, 118)","(102, 103, 118, 107)","(102, 103, 118, 107, 110)"
391,Who appoints an acting Chief Justice when the Chief Justice of a High Court is unavailable?,The President appoints an acting Chief Justice when the Chief Justice of a High Court is unavailable.,205,"(104, 104)","(103,)","(103, 97)","(103, 97, 110)","(103, 97, 110, 98)","(103, 97, 110, 98, 93)"
392,Can a Judge from the Supreme Court be appointed as acting Chief Justice of a High Court?,"Yes, the President may request one of the Judges of the Supreme Court to act as Chief Justice of a High Court.",205,"(104, 104)","(110,)","(110, 103)","(110, 103, 107)","(110, 103, 107, 118)","(110, 103, 107, 118, 155)"
393,Under what circumstances can the President appoint an Additional Judge to a High Court?,"The President can appoint an Additional Judge to a High Court if the office of a Judge is vacant, a Judge is absent or unable to perform their duties, or if it is necessary to increase the number of Judges for any reason.",206,"(104, 105)","(103,)","(103, 110)","(103, 110, 155)","(103, 110, 155, 97)","(103, 110, 155, 97, 118)"
394,How long can an Additional Judge be appointed for?,"An Additional Judge can be appointed for a period determined by the President, not exceeding the period prescribed by law.",206,"(104, 105)","(103,)","(103, 155)","(103, 155, 97)","(103, 155, 97, 110)","(103, 155, 97, 110, 98)"
395,Where is the principal seat of the High Court for Islamabad Capital Territory?,The principal seat of the High Court for Islamabad Capital Territory is at Islamabad.,207,"(105, 105)","(104,)","(104, 92)","(104, 92, 98)","(104, 92, 98, 110)","(104, 92, 98, 110, 1)"
396,Can High Courts hold circuit courts outside their principal seats?,"Yes, High Courts can hold circuit courts at any place within their territorial jurisdiction, consisting of Judges nominated by the Chief Justice.",207,"(105, 105)","(104,)","(104, 92)","(104, 92, 108)","(104, 92, 108, 119)","(104, 92, 108, 119, 102)"
397,Who determines the locations of additional Benches for each High Court?,The locations of additional Benches for each High Court are determined by the Governor on the advice of the Cabinet and in consultation with the Chief Justice of the High Court.,207,"(105, 105)","(104,)","(104, 117)","(104, 117, 115)","(104, 117, 115, 108)","(104, 117, 115, 108, 119)"
398,Can a High Court issue an order to bring a person in custody before it?,"Yes, a High Court can issue an order to bring a person in custody within its territorial jurisdiction before it to ensure that the person is not being held without lawful authority or in an unlawful manner.",208,"(106, 108)","(105,)","(105, 6)","(105, 6, 7)","(105, 6, 7, 5)","(105, 6, 7, 5, 112)"
399,Is it possible for a High Court to direct a public office holder to show their authority of law?,"Yes, a High Court can require a person holding or purporting to hold a public office within its territorial jurisdiction to show under what authority of law they claim to hold that office.",208,"(106, 108)","(105,)","(105, 165)","(105, 165, 118)","(105, 165, 118, 107)","(105, 165, 118, 107, 102)"
400,Can a member of the Armed Forces of Pakistan apply for an order under this jurisdiction?,"No, an order cannot be made on an application by or in relation to a person who is a member of the Armed Forces of Pakistan in respect of his terms and conditions of service, any matter arising out of his service, or any action taken in relation to him as a member of the Armed Forces.",208,"(106, 108)","(106,)","(106, 33)","(106, 33, 153)","(106, 33, 153, 146)","(106, 33, 153, 146, 145)"
401,Can a High Court Judge be transferred to another High Court without their consent?,"No, a High Court Judge cannot be transferred to another High Court without their consent and after consultation by the President with the Chief Justice of Pakistan and the Chief Justices of both High Courts.",209,"(108, 109)","(107,)","(107, 108)","(107, 108, 110)","(107, 108, 110, 102)","(107, 108, 110, 102, 118)"
402,What happens to the allowances and privileges of a Judge who is transferred to another High Court?,"A Judge who is transferred to another High Court is entitled to such allowances and privileges, in addition to their salary, as the President may determine by Order.",209,"(108, 109)","(108,)","(108, 107)","(108, 107, 111)","(108, 107, 111, 103)","(108, 107, 111, 103, 115)"
403,Can a Judge from one High Court be required to attend sittings of another High Court?,"Yes, a Judge from one High Court can be required to attend sittings of another High Court if it is necessary to temporarily increase the number of Judges, but only with the Judge's consent, the approval of the President, and after consultation with the Chief Justice of Pakistan and the Chief Justice of the High Court of which the Judge is a member.",209,"(108, 109)","(108,)","(108, 107)","(108, 107, 104)","(108, 107, 104, 101)","(108, 107, 104, 101, 102)"
404,Are lower courts required to follow the decisions made by a High Court?,"Yes, lower courts are required to follow the decisions made by a High Court if the decision involves a question of law or establishes a principle of law.",210,"(109, 109)","(108,)","(108, 101)","(108, 101, 99)","(108, 101, 99, 111)","(108, 101, 99, 111, 105)"
405,Is there any condition under which a High Court's decision might not be binding on subordinate courts?,"Yes, the binding nature of a High Court's decision on subordinate courts is subject to Article 189.",210,"(109, 109)","(108,)","(108, 101)","(108, 101, 87)","(108, 101, 87, 115)","(108, 101, 87, 115, 99)"
406,Who has the authority to create rules for court procedures?,A High Court has the authority to make rules regulating the practice and procedure of the Court or any court subordinate to it.,211,"(109, 109)","(116,)","(116, 113)","(116, 113, 162)","(116, 113, 162, 161)","(116, 113, 162, 161, 165)"
407,Who has the authority to oversee the lower courts?,The High Court has the authority to supervise and control all subordinate courts.,212,"(109, 109)","(92,)","(92, 108)","(92, 108, 172)","(92, 108, 172, 101)","(92, 108, 172, 101, 104)"
408,What happens if there is a conflict between the provisions of this Chapter and other parts of the Constitution?,The provisions of this Chapter will take precedence over anything contained in the Constitution.,213,"(109, 110)","(109,)","(109, 5)","(109, 5, 117)","(109, 5, 117, 4)","(109, 5, 117, 4, 75)"
409,When was Clause (3) added to this Chapter?,"Clause (3) was added on the 4th of May, 1974, by the Constitution (First Amendment) Act, 1974.",213,"(109, 110)","(116,)","(116, 148)","(116, 148, 57)","(116, 148, 57, 23)","(116, 148, 57, 23, 83)"
410,"What does the term ""Chief Justice"" refer to in this context?","""Chief Justice"" means Chief Justice of the Court.",214,"(110, 110)","(153,)","(153, 110)","(153, 110, 96)","(153, 110, 96, 102)","(153, 110, 96, 102, 93)"
411,"What is included in the definition of ""law"" according to this chapter?","""Law"" includes any custom or usage having the force of law but does not include the Constitution, Muslim personal law, any law relating to the procedure of any court or tribunal, any fiscal law or any law relating to the levy and collection of taxes and fees, or banking or insurance practice and procedure.",214,"(110, 110)","(109,)","(109, 4)","(109, 4, 153)","(109, 4, 153, 128)","(109, 4, 153, 128, 5)"
412,How many judges can the Federal Shariat Court have?,"The Federal Shariat Court can have not more than eight judges, including the Chief Justice.",215,"(110, 112)","(109,)","(109, 108)","(109, 108, 94)","(109, 108, 94, 92)","(109, 108, 94, 92, 115)"
413,Who appoints the judges of the Federal Shariat Court?,The judges of the Federal Shariat Court are appointed by the President in accordance with Article 175A.,215,"(110, 112)","(94,)","(94, 92)","(94, 92, 109)","(94, 92, 109, 115)","(94, 92, 109, 115, 114)"
414,Where is the principal seat of the Federal Shariat Court located?,The principal seat of the Federal Shariat Court is located in Islamabad.,215,"(110, 112)","(119,)","(119, 114)","(119, 114, 109)","(119, 114, 109, 108)","(119, 114, 109, 108, 115)"
415,Who can request the Court to examine if a law is against the Injunctions of Islam?,"A citizen of Pakistan, the Federal Government, or a Provincial Government can request the Court to examine if a law is against the Injunctions of Islam.",217,"(112, 113)","(112,)","(112, 114)","(112, 114, 111)","(112, 114, 111, 133)","(112, 114, 111, 133, 32)"
416,What happens if the Court finds a law to be against the Injunctions of Islam?,"If the Court finds a law to be against the Injunctions of Islam, it will set out the reasons for its opinion, specify the extent of the repugnance, and the law or provision will cease to have effect on the specified day.",217,"(112, 113)","(112,)","(112, 111)","(112, 111, 133)","(112, 111, 133, 114)","(112, 111, 133, 114, 32)"
417,What must the Court do if it decides a law is repugnant to the Injunctions of Islam?,"The Court must notify the Federal or Provincial Government, provide reasons for its decision, specify the extent of the repugnance, and indicate the day the decision will take effect.",217,"(112, 113)","(111,)","(111, 112)","(111, 112, 133)","(111, 112, 133, 114)","(111, 112, 133, 114, 32)"
418,"Can the Court review decisions made by criminal courts regarding Hudood laws?
","Yes, the Court can call for and examine the record of any case decided by any criminal court under any law relating to the enforcement of Hudood to ensure the correctness, legality, or propriety of any finding, sentence, or order.",218,"(113, 114)","(112,)","(112, 111)","(112, 111, 164)","(112, 111, 164, 162)","(112, 111, 164, 162, 99)"
419,"Is the Court allowed to change an acquittal to a conviction?
","No, the Court is not authorized to convert a finding of acquittal into one of conviction.",218,"(113, 114)","(114,)","(114, 112)","(114, 112, 99)","(114, 112, 99, 113)","(114, 112, 99, 113, 116)"
420,"What can the Court do if it finds irregularities in the proceedings of a criminal court case?
","The Court may pass such order as it deems fit, which may include suspending the execution of any sentence and releasing the accused on bail or on his own bond pending the examination of the record.",218,"(113, 114)","(112,)","(112, 113)","(112, 113, 116)","(112, 113, 116, 148)","(112, 113, 116, 148, 121)"
421,What powers does the Court have when performing its functions?,"The Court has the powers of a Civil Court under the Code of Civil Procedure, 1908, including summoning and enforcing attendance, examining on oath, requiring discovery and production of documents, receiving evidence on affidavits, and issuing commissions for examination of witnesses or documents.",219,"(114, 115)","(117,)","(117, 113)","(117, 113, 111)","(117, 113, 111, 116)","(117, 113, 111, 116, 100)"
422,Can the Court regulate its own procedures?,"Yes, the Court has the power to conduct its proceedings and regulate its procedure in all respects as it deems fit.",219,"(114, 115)","(113,)","(113, 116)","(113, 116, 112)","(113, 116, 112, 38)","(113, 116, 112, 38, 101)"
423,Who can represent a party in proceedings before the Court?,"A party can be represented by a legal practitioner who is a Muslim and has been enrolled as an advocate of a High Court for at least five years or as an advocate of the Supreme Court, or by a jurisconsult selected from a panel maintained by the Court.",219,"(114, 115)","(113,)","(113, 114)","(113, 114, 116)","(113, 114, 116, 112)","(113, 114, 116, 112, 111)"
424,How long does a party have to appeal to the Supreme Court if they are unhappy with a decision made by the Court?,A party has sixty days to appeal to the Supreme Court if they are unhappy with a decision made by the Court.,220,"(115, 116)","(114,)","(114, 100)","(114, 100, 99)","(114, 100, 99, 122)","(114, 100, 99, 122, 112)"
425,Who can be appointed to the Shariat Appellate Bench in the Supreme Court?,The Shariat Appellate Bench in the Supreme Court can consist of three Muslim Judges of the Supreme Court and not more than two Ulema appointed by the President.,220,"(115, 116)","(115,)","(115, 165)","(115, 165, 96)","(115, 165, 96, 117)","(115, 165, 96, 117, 114)"
426,Under what circumstances can an appeal be made to the Supreme Court from a judgment of the Federal Shariat Court?,"An appeal can be made to the Supreme Court from a judgment of the Federal Shariat Court if the Federal Shariat Court has reversed an order of acquittal and sentenced the accused to death or imprisonment for life or a term exceeding fourteen years, or if it has imposed any punishment for contempt of the Court.",220,"(115, 116)","(114,)","(114, 115)","(114, 115, 100)","(114, 115, 100, 99)","(114, 115, 100, 99, 122)"
427,Can the Supreme Court handle cases that fall under the jurisdiction of the Court mentioned in this article?,"No, the Supreme Court cannot handle cases that fall under the jurisdiction of the Court mentioned in this article.",221,"(116, 116)","(99,)","(99, 98)","(99, 98, 92)","(99, 98, 92, 117)","(99, 98, 92, 117, 114)"
428,Are there any exceptions to the rule that no court or tribunal can exercise power over matters within the jurisdiction of the Court?,"Yes, the exception is provided in Article 203F.",221,"(116, 116)","(113,)","(113, 117)","(113, 117, 116)","(113, 117, 116, 111)","(113, 117, 116, 111, 112)"
429,Are decisions made by the Court under this Chapter applicable to lower courts?,"Yes, decisions made by the Court under this Chapter are binding on a High Court and all courts subordinate to a High Court.",222,"(116, 116)","(116,)","(116, 117)","(116, 117, 108)","(116, 117, 108, 101)","(116, 117, 108, 101, 115)"
430,Are there any exceptions to the binding nature of the Court's decisions on lower courts?,"Yes, the binding nature of the Court's decisions is subject to Articles 203D and 203F.",222,"(116, 116)","(108,)","(108, 101)","(108, 101, 87)","(108, 101, 87, 112)","(108, 101, 87, 112, 115)"
431,Can ongoing court cases be paused just because a petition has been made to check if a law is against Islamic injunctions?,"No, ongoing court cases will not be paused just because a petition has been made to check if a law is against Islamic injunctions; they will continue as per the current law.",223,"(116, 117)","(111,)","(111, 114)","(111, 114, 112)","(111, 114, 112, 135)","(111, 114, 112, 135, 133)"
432,What happens to cases under Article 203B that are pending before any High Court when the new chapter starts?,Cases under Article 203B that are pending before any High Court will be transferred to the Court and will be dealt with from the stage they were transferred.,223,"(116, 117)","(116,)","(116, 121)","(116, 121, 100)","(116, 121, 100, 115)","(116, 121, 100, 115, 117)"
