context_eng,context_urdu,predicted_translation_gemini-1.5-pro-002
"Reference by 3[Majlis-e-Shoora (Parliament)], etc., to Islamic Council
The President or the Governor of a Province may, or if two-fifths of its total membership so requires, a House or a Provincial Assembly shall, refer to the Islamic Council for advice any question as to whether a proposed law is or is not repugnant to the Injunctions of Islam.","۳[مجلسِ شوریٰ (پارلیمنٹ)] وغیرہ کی اسلامی کونسل کو حوالہ

صدر یا کسی صوبے کا گورنر، یا اگر کسی ایوان یا کسی صوبائی اسمبلی کی کل رکنیت کا دو پانچواں حصہ یہ مطالبہ کرے، تو کسی سوال پر اسلامی کونسل سے مشورہ کیا جائے گا کہ آیا کوئی مجوزہ قانون اسلام کے احکام کے منافی ہے یا نہیں۔",۳[مجلسِ شوریٰ (پارلیمنٹ)] وغیرہ کا اسلامی کونسل سے رجوع۔ صدر مملکت یا کسی صوبے کا گورنر اسلامی کونسل سے کسی ایسے سوال پر کہ آیا کوئی مجوزہ قانون اسلام کے احکام کے منافی ہے یا نہیں، مشورہ طلب کر سکتا ہے یا اگر کسی ایوان یا صوبائی اسمبلی کی کل تعداد کے دو بٹے پانچ ارکان ایسا تقاضا کریں تو ایوان یا صوبائی اسمبلی کو اسلامی کونسل سے رجوع کرنا ہوگا۔
"Remuneration etc., of judges
The remuneration and other terms and conditions of service of a Judge of the Supreme Court or of a High Court shall be as provided in the

1 Paragraphs (c), (d) and (e) added ibid.
2 Subs. by P O. No. 14 of 1985, Art. 2 and Sch., for ""Article 204"".

Fifth Schedule.","ججوں کا مشاہرہ

سپریم کورٹ یا کسی ہائی کورٹ کے کسی جج کا مشاہرہ اور دوسری شرائط ملازمت وہ ہوں گی جو جدول پنجم میں مذکور ہیں۔","ججز کی معاوضہ وغیرہ
سپریم کورٹ یا ہائی کورٹ کے جج کی معاوضہ اور ملازمت کی دیگر شرائط و ضوابط پانچویں شیڈول میں مندرجہ ذیل ہیں۔


¹ پیراگراف (c)، (d) اور (e) وہیں شامل کیے گئے۔
² صدارتی آرڈیننس نمبر 14، 1985، آرٹیکل 2 اور شیڈول کے ذریعے ""آرٹیکل 204"" کے لیے تبدیل کیا گیا۔"
"Definitions

203B. In this Chapter, unless there is anything repugnant in the subject or context,—

1[(a)	""Chief Justice"" means Chief Justice of the Court;]

""Court"" means the Federal Shariat Court constituted in pursuance of Article 203C ;

2[(bb)	""Judge"" means Judge of the Court;]

""law"" includes any custom or usage having the force of law but does not include the Constitution, Muslim personal law, any law relating to the procedure of any court or tribunal or, until the expiration of 3[ten] years from the commencement of this Chapter, any fiscal law or any law relating to the levy and collection of taxes and fees or banking or insurance practice and procedure ; and","
۳۰۲۔ب۔ اس باب میں، تاوقتیکہ کوئی امر موضوع یا سیاق و سباق کے منافی نہ ہو، تعریفات:

(الف) ""چیف جسٹس"" سے عدالت کا چیف جسٹس مراد ہے؛

(ب) ""عدالت"" سے آرٹیکل ۳۰۲ج کے بموجب تشکیل کردہ وفاقی شرعی عدالت مراد ہے؛

(بب) ""جج"" سے اس عدالت کا جج مراد ہے؛

(ج) ""قانون"" میں کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو مگر اس میں دستور، مسلم شخصی قانون، کسی عدالت یا ٹریبونل کے ضابطہ کار سے متعلق کوئی قانون یا، اس باب کے آغاز نفاذ سے دس سال کی مدت گزرنے تک، کوئی مالی قانون یا محصولات یا فیسوں کے عائد کرنے اور جمع کرنے یا بنکاری یا بیمہ کے عمل اور طریقہ سے متعلق کوئی قانون شامل نہیں ہے؛ اور
","تعریفات

۲۰۳ ب۔ اس باب میں، جب تک کہ موضوع یا سیاق و سباق میں کوئی تضاد نہ ہو،—

۱[(الف) ""چیف جسٹس"" سے مراد عدالت کے چیف جسٹس ہیں۔]

""عدالت"" سے مراد وفاقی شرعی عدالت ہے جو آرٹیکل ۲۰۳ ج کے تحت تشکیل دی گئی ہے۔

۲[(ب ب)	""جج"" سے مراد عدالت کا جج ہے۔]

""قانون"" میں کوئی بھی رواج یا رسم شامل ہے جس میں قانون کی حیثیت ہو لیکن اس میں آئین، مسلم پرسنل لا، کسی بھی عدالت یا ٹربیونل کے طریقہ کار سے متعلق کوئی بھی قانون یا اس باب کے نفاذ سے 3[دس] سال کی مدت ختم ہونے تک، کوئی بھی مالیاتی قانون یا ٹیکسوں اور فیسوں کی وصولی سے متعلق کوئی بھی قانون یا بینکاری یا انشورنس کے طریقہ کار شامل نہیں ہیں۔"
"Removal of doubt
267B. For removal of doubt it is hereby declared that Article 152A omitted and Articles 179 and 195 substituted by the Constitution (Seventeenth Amendment) Act, 2003 (Act No. III of 2003), notwithstanding its repeal, shall be deemed always to have been so omitted and substituted.]",۷۶۲ﺏ۔ ازالہ شک کے لیے بذریعہ ہذا قرار دیا جاتا ہے کہ آرٹیکل ۱۵۲اے کو حذف اور آرٹیکل ۱۷۹ اور ۱۹۵ کو دستور (سترہویں ترمیم) ایکٹ، ۲۰۰۳ (ایکٹ نمبر ۳ بابت ۲۰۰۳) کے ذریعے تبدیل کر دیے گئے ہیں، ان کی تنسیخ کے باوجود، ہمیشہ اسی طرح حذف شدہ اور تبدیل شدہ متصور ہوں گے۔,"شِبہ کا ازالہ
۲۶۷ ب۔ شبہ کے ازالے کے لیے بذریعہ ہذا واضح کیا جاتا ہے کہ آئین (سترھویں ترمیم) ایکٹ، 2003 (ایکٹ نمبر III برائے 2003) کے ذریعے حذف شدہ آرٹیکل ۱۵۲ الف اور متبادل آرٹیکلز ۱۷۹ اور ۱۹۵، ان کی منسوخی کے باوجود، ہمیشہ سے حذف اور متبادل سمجھے جائیں گے۔]"
"Prime Minister continuing in office

The President may ask the Prime Minister to continue to hold office until his successor enters upon the office of Prime Minister.",۴۱۔ صدر وزیر اعظم سے اپنے عہدے پر برقرار رہنے کے لیے کہہ سکے گا جب تک کہ اس کا جانشین وزیر اعظم کے عہدے پر فائز نہ ہو جائے۔,"وزیراعظم کا عہدے پر برقرار رہنا

صدر، وزیراعظم سے یہ درخواست کرسکتے ہیں کہ وہ اپنے جانشین کے وزیراعظم کا عہدہ سنبھالنے تک عہدے پر برقرار رہیں۔"
"Prior sanction of President required to Bills affecting taxation in which Provinces are interested

No Bill or amendment which imposes or varies a tax or duty the whole or part of the net proceeds whereof is assigned to any Province, or which varies the meaning of the expression ""agricultural income"" as defined for the purposes of the enactments relating to income-tax, or which affects the principles on which under any of the foregoing provisions of this Chapter moneys are or may be distributable to Provinces, shall be introduced or moved in the National Assembly except with the previous sanction of the President.",کوئی ایسا بل یا ترمیم جس سے کوئی ایسا محصول یا ڈیوٹی عائد ہوتی ہو، یا تبدیل ہوتی ہو جس کی اصل آمدنی کلی یا جزوی طور پر کسی صوبے کو تفویض کی جاتی ہو، یا جس سے زرعی آمدنی کی اصطلاح کا وہ مفہوم تبدیل ہوتا ہو جو حصول آمدنی سے متعلق وضع کردہ قوانین کی اغراض کے لیے متعین کیا گیا ہے یا جو ان اصولوں کو متاثر کرتی ہو جن پر اس باب کے مذکورہ بالا احکام میں سے کسی کے تحت رقوم صوبوں میں تقسیم کی جاتی ہوں یا کی جا سکتی ہوں، صدر کی ماقبل منظوری کے بغیر نہ قومی اسمبلی میں پیش کی جائے گی نہ اس کی تحریک کی جائے گی۔,"صدر کی پیشگی منظوری کے بغیر ایسے مالیاتی بل یا ترمیم کی اجازت نہیں جو صوبوں کے مفادات کو متاثر کرے۔

ایسا کوئی بل یا ترمیم جس کے ذریعے کوئی ٹیکس یا ڈیوٹی عائد کی جائے یا اس میں ردوبدل کیا جائے جس کی کل یا جزوی خالص آمدنی کسی صوبے کو مختص ہو، یا جو زرعی آمدنی کی تعریف میں تبدیلی کرے जैسی کہ انکم ٹیکس سے متعلقہ قوانین میں بیان کی گئی ہے، یا جو اس باب کی مذکورہ بالا دفعات کے تحت صوبوں کو رقم کی تقسیم کے اصولوں کو متاثر کرے، قومی اسمبلی میں صدر کی پیشگی منظوری کے بغیر پیش یا منظور نہیں کیا جائے گا۔"
"Oath of Office

Before entering upon office, the Chief Justice of Pakistan shall make before the President, and any other Judge of the Supreme Court shall make before the Chief Justice, oath in the form set out in the Third Schedule.",عہدہ سنبھالنے سے قبل، چیف جسٹس پاکستان صدر کے سامنے، اور عدالت عظمیٰ کا کوئی دوسرا جج چیف جسٹس کے سامنے، اس عبارت میں حلف اٹھائے گا جو جدول سوم میں درج کی گئی ہے۔,عہدہ سنبھالنے سے قبل، چیف جسٹس آف پاکستان صدرِ مملکت کے سامنے، اور سپریم کورٹ کا کوئی بھی دیگر جج، چیف جسٹس کے سامنے، تیسری فہرست میں درج شکل میں حلف اٹھائے گا۔
"Repeal

The Interim Constitution of the Islamic Republic of Pakistan, together with the Acts and President's Orders making omissions from, additions to, modifications of, or amendments in, that Constitution is hereby repealed.","تنسیخ

اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے جن کے ذریعے اس دستور میں محذوفات، اضافے، ردوبدل یا ترامیم کی گئیں، بذریعہ ہذا منسوخ کیا جاتا ہے۔","منسوخی

اسلامی جمہوریہ پاکستان کا عبوری آئین، نیز وہ تمام قوانین اور صدارتی احکامات جن کے ذریعے مذکورہ آئین میں کمی، اضافہ، ترمیم یا تبدیلی کی گئی ہے، بذریعہ ہذا منسوخ کیے جاتے ہیں۔"
"Duration of Provincial Assembly

A Provincial Assembly shall, unless sooner dissolved, continue for a term of five years from the day of its first meeting and shall stand dissolved at the expiration of its term.","ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﮐﯽ ﻣﯿﻌﺎﺩ

ﮐﻮﺋﯽ ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ، ﺍﮔﺮ ﻭﮦ ﻗﺒﻞ ﺍﺯ ﻭﻗﺖ ﺗﻮﮌ ﻧﮧ ﺩﯼ ﺟﺎﺋﮯ، ﺍﭘﻨﮯ ﭘﮩﻠﮯ ﺍﺟﻼﺱ ﮐﯽ ﺗﺎﺭﯾﺦ ﺳﮯ ﭘﺎﻧﭻ ﺳﺎﻝ ﮐﯽ ﻣﯿﻌﺎﺩ ﺗﮏ ﺑﺮﻗﺮﺍﺭ ﺭﮨﮯ ﮔﯽ ﺍﻭﺭ ﺍﭘﻨﯽ ﻣﯿﻌﺎﺩ ﮐﮯ ﺍﺧﺘﺘﺎﻡ ﭘﺮ ﺗﻮﭦ ﺟﺎﺋﮯ ﮔﯽ۔","صوبائی اسمبلی کی مدت

ایک صوبائی اسمبلی، جب تک کہ اسے پہلے تحلیل نہ کر دیا جائے، اپنی پہلی نشست کے دن سے پانچ سال کی مدت تک جاری رہے گی اور اپنی مدت کی تکمیل پر تحلیل ہو جائے گی۔"
"Right to speak in Provincial Assembly

The Advocate-General shall have the right to speak and otherwise take part in the proceedings of the Provincial Assembly or any committee thereof of which he may be named a member, but shall not by virtue of this Article be entitled to vote.",۱۱۱۔ ایڈووکیٹ جنرل کو صوبائی اسمبلی یا اس کی کسی کمیٹی میں، جس کا اسے رکن نامزد کر دیا جائے، تقریر کرنے اور بصورت دیگر اس کی کارروائی میں حصہ لینے کا حق ہوگا، لیکن اس آرٹیکل کی رو سے وہ ووٹ دینے کا مستحق نہ ہوگا۔,"صوبائی اسمبلی میں تقریر کا حق

ایڈووکیٹ جنرل کو صوبائی اسمبلی یا اس کی کسی بھی کمیٹی، جس کا وہ رکن نامزد ہو، کی کارروائی میں تقریر کرنے اور دیگر طریقوں سے حصہ لینے کا حق ہوگا، لیکن اس دفعہ کی رو سے وہ ووٹ دینے کا حق دار نہ ہوگا۔"
"Protection against double punishment and self incrimination

No person—

shall be prosecuted or punished for the same offence more than once; or

shall, when accused of an offence, be compelled to be a witness against himself.","ﺩﻭﮨﺮﯼ ﺳﺰﺍ ﺍﻭﺭ ﺍﭘﻨﮯ ﺧﻼﻑ ﮔﻮﺍﮦ ﺑﻨﻨﮯ ﮐﺎ ﺗﺤﻔﻆ

ﮐﺴﯽ ﺷﺨﺺ ﮐﻮ—

ﯾﮧ ﺍﯾﮏ ﮨﯽ ﺟﺮﻡ ﮐﯽ ﺑﻨﺎﺀ ﭘﺮ ﺍﯾﮏ ﺑﺎﺭ ﺳﮯ ﺯﯾﺎﺩﮦ ﻧﮧ ﺗﻮ ﻣﻘﺪﻣﮧ ﭼﻼﯾﺎ ﺟﺎﺋﮯ ﮔﺎ ﺍﻭﺭ ﻧﮧ ﺳﺰﺍ ﺩﯼ ﺟﺎﺋﮯ ﮔﯽ؛ ﯾﺎ

ﺟﺐ ﮐﮧ ﺍﺱ ﭘﺮ ﮐﺴﯽ ﺟﺮﻡ ﮐﺎ ﺍﻟﺰﺍﻡ ﮨﻮ، ﺍﺱ ﺑﺎﺕ ﭘﺮ ﻣﺠﺒﻮﺭ ﻧﮩﯿﮟ ﮐﯿﺎ ﺟﺎﺋﮯ ﮔﺎ ﮐﮧ ﻭﮦ ﺍﭘﻨﮯ ﮨﯽ ﺧﻼﻑ ﮔﻮﺍﮦ ﺑﻨﮯ۔","کسی شخص کو—

ایک ہی جرم پر ایک سے زائد بار مقدمہ نہیں چلایا جائے گا یا سزا نہیں دی جائے گی۔ یا

جب کسی جرم کا الزام لگایا جائے تو اسے اپنے خلاف گواہ بننے پر مجبور نہیں کیا جائے گا۔"
"The Republic and its territories
11.	(1)	Pakistan shall be Federal Republic to be known as the Islamic Republic of Pakistan, hereinafter referred to as Pakistan.

2[(2)	The territories of Pakistan shall comprise—

the	Provinces	of	3[Balochistan],	the	4[Khyber Pakhtunkhwa], the Punjab and 5[Sindh];
the Islamabad Capital Territory, hereinafter referred to as the Federal Capital; 6[and]
6[(c)	*	*	*	*	*	*]

6[(c)] such States and territories as are or may be included in Pakistan, whether by accession or otherwise.

(3) 7[Majlis-e-Shoora (Parliament)] may by law admit into the Federation new States or areas on such terms and conditions as it thinks fit.]","۱۔ مملکت پاکستان ایک وفاقی جمہوریہ ہوگی جس کا نام اسلامی جمہوریہ پاکستان ہوگا جسے بعد ازیں پاکستان کہا جائے گا۔

۲۔ پاکستان کے علاقے مندرجہ ذیل پر مشتمل ہوں گے:

- صوبہ جات: بلوچستان، خیبر پختونخوا، پنجاب اور سندھ؛
- دارالحکومت اسلام آباد کا علاقہ جس کا حوالہ بعد ازیں وفاقی دارالحکومت کے طور پر دیا گیا ہے؛
- ایسی ریاستیں اور علاقے جو الحاق کے ذریعے یا کسی اور طریقے سے پاکستان میں شامل ہیں یا ہو جائیں۔

۳۔ مجلس شوریٰ (پارلیمنٹ) بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود و شرائط پر داخل کر سکے گی جو وہ مناسب سمجھے۔","```urdu
۱۱۔(۱) پاکستان ایک وفاقی جمہوریہ ہوگا جسے اسلامی جمہوریہ پاکستان کہا جائے گا، آئندہ اسے پاکستان کہا جائے گا۔

۲[(۲) پاکستان کی علاقائی حدود میں شامل ہوں گے۔

۳[بلوچستان]، ۴[خیبر پختونخوا]، پنجاب اور ۵[سندھ] کے صوبے؛
وفاقی دارالحکومت، آئندہ جسے وفاقی دارالحکومت کہا جائے گا؛ ۶[اور]
۶[(ج) * * * * *]

۶[(ج)] ایسی ریاستیں اور علاقے جو پاکستان میں شامل ہیں یا ہو سکتے ہیں، خواہ الحاق کے ذریعے یا کسی اور طریقے سے۔

(۳) ۷[مجلسِ شورٰی (پارلیمنٹ)] قانون کے ذریعے وفاق میں نئی ​​ریاستوں یا علاقوں کو ایسی شرائط و ضوابط پر شامل کر سکتی ہے جو وہ مناسب سمجھے۔]
```"
"Annual Budget Statement

(1) The Federal Government shall, in respect of every financial year, cause to be laid before the National Assembly a statement of the estimated receipt and expenditure of the Federal Government for that year, in this Part, referred to as the Annual Budget Statement.

The Annual Budget Statement shall show separately—

the sums required to meet expenditure described by the Constitution as expenditure charged upon the Federal Consolidated Fund; and

the sums required to meet other expenditure proposed to be made from the Federal Consolidated Fund;

and shall distinguish expenditure on revenue account from other expenditure.","سالانہ کیفیت نامہ

(1) وفاقی حکومت ہر مالی سال کی بابت، وفاقی حکومت کی اس سال کی تخمینی آمدنی اور مصارف کا بجٹ کیفیت نامہ قومی اسمبلی کے سامنے پیش کرائے گی، جس کا اس حصہ میں سالانہ کیفیت نامہ بجٹ کے طور پر حوالہ دیا گیا ہے۔

سالانہ کیفیت نامہ بجٹ میں مندرجہ ذیل علیحدہ علیحدہ ظاہر کی جائیں گی—

الف) ایسی رقوم جو ان مصارف کو پورا کرنے کے لیے درکار ہوں جنہیں دستور میں وفاقی مجموعی فنڈ پر واجب الادا بیان کیا گیا ہے؛ اور

ب) ایسی رقوم جو ایسے دیگر مصارف کو پورا کرنے کے لیے درکار ہوں، جن کی وفاقی مجموعی فنڈ سے ادائیگی کی تجویز کی گئی ہو؛

اور محاصل کے حساب میں سے ہونے والے مصارف اور دیگر مصارف میں تفریق رکھی جائے گی۔","سالانہ بجٹ بیان

(۱) وفاقی حکومت ہر مالی سال کے حوالے سے قومی اسمبلی میں وفاقی حکومت کی اس سال کے لیے متوقع آمدنی اور اخراجات کا ایک بیان پیش کرے گی، اس حصے میں، جسے سالانہ بجٹ بیان کہا جاتا ہے۔

سالانہ بجٹ بیان میں علیحدہ علیحدہ درج ہوگا—

وہ رقوم جو آئین میں وفاقی مربوط فنڈ پر خرچ کے طور پر بیان کردہ اخراجات کو پورا کرنے کے لیے درکار ہوں گی۔ اور

وہ رقوم جو وفاقی مربوط فنڈ سے کیے جانے والے دیگر مجوزہ اخراجات کو پورا کرنے کے لیے درکار ہوں گی۔

اور اس میں آمدنی کے کھاتے پر ہونے والے اخراجات کو دیگر اخراجات سے الگ کیا جائے گا۔"
"Ownerless property

(1)      Any property which has no rightful owner shall, if located in a Province, vest in the Government of that Province, and in every other case, in the Federal Government.

(2) All lands, minerals and other things of value within the continental shelf or underlying the ocean 1[beyond] the territorial waters of Pakistan shall vest in the Federal Government.

2[(3) Subject to the existing commitments and obligations, mineral oil and natural gas within the Province or the territorial water adjacent thereto shall vest jointly and equally in that Province and the Federal Government.]","ﺑﯿﺮﻭﻥ ﻣﻠﮏ ﺟﺎﺋﯿﺪﺍﺩ

(1) ﺍﯾﺴﯽ ﮐﻮﺋﯽ ﺟﺎﺋﯿﺪﺍﺩ، ﺟﺲ ﮐﺎ ﮐﻮﺋﯽ ﺟﺎﺋﺰ ﻣﺎﻟﮏ ﻧﮧ ﮨﻮ، ﺍﮔﺮ ﮐﺴﯽ ﺻﻮﺑﮯ ﻣﯿﮟ ﻭﺍﻗﻊ ﮨﻮ، ﺗﻮ ﺍﺱ ﺻﻮﺑﮧ ﮐﯽ ﺣﮑﻮﻣﺖ ﮐﯽ ﻣﻠﮑﯿﺖ ﮨﻮﮔﯽ، ﺍﻭﺭ ﮨﺮ ﺩﻭﺳﺮﯼ ﺻﻮﺭﺕ ﻣﯿﮟ، ﻭﻓﺎﻗﯽ ﺣﮑﻮﻣﺖ ﮐﯽ ﻣﻠﮑﯿﺖ ﮨﻮﮔﯽ۔

(2) ﺗﻤﺎﻡ ﺍﺭﺍﺿﯿﺎﺕ، ﻣﻌﺪﻧﯿﺎﺕ، ﺍﻭﺭ ﺩﻭﺳﺮﯼ ﻗﯿﻤﺘﯽ ﺍﺷﯿﺎﺀ ﺟﻮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﮯ ﺑﺮﺍﻋﻈﻤﯽ ﮐﻨﺎﺭﺁﺏ ﮐﮯ ﺍﻧﺪﺭ، ﯾﺎ ﭘﺎﮐﺴﺘﺎﻥ ﮐﮯ ﻋﻼﻗﺎﺋﯽ ﺳﻤﻨﺪﺭ ﮐﯽ ﺣﺪ ﭘﺮ ﺳﻤﻨﺪﺭ ﮐﮯ ﻧﯿﭽﮯ ﮨﻮﮞ، ﻭﻓﺎﻗﯽ ﺣﮑﻮﻣﺖ ﮐﯽ ﻣﻠﮑﯿﺖ ﮨﻮﮞ ﮔﯽ۔

(3) ﻣﻮﺟﻮﺩﮦ ﭘﺎﺑﻨﺪﯾﻮﮞ ﺍﻭﺭ ﻭﺍﺟﺒﺎﺕ ﮐﮯ ﻣﻄﺎﺑﻖ، ﺻﻮﺑﮯ ﮐﮯ ﺍﻧﺪﺭ ﻣﻌﺪﻧﯽ ﺗﯿﻞ ﺍﻭﺭ ﻗﺪﺭﺗﯽ ﮔﯿﺱ ﯾﺎ ﻋﻼﻗﺎﺋﯽ ﺳﻤﻨﺪﺭ ﺳﮯ ﻣﻠﺤﻖ ﮨﻮﮞ، ﻭﮦ ﺍﺱ ﺻﻮﺑﮯ ﺍﻭﺭ ﻭﻓﺎﻗﯽ ﺣﮑﻮﻣﺖ ﮐﻮ ﻣﺸﺘﺮﮐﮧ ﺍﻭﺭ ﻣﺴﺎﻭﯼ ﻃﻮﺭ ﭘﺮ ﺗﻔﻮﯾﺾ ﮐﺮﺩﺋﯿﮟ ﮔﯽ۔","```
بے مالک املاک

(۱) کوئی بھی ایسی ملکیت جس کا کوئی جائز مالک نہ ہو، اگر کسی صوبے میں واقع ہو تو اس صوبے کی حکومت میں، اور ہر دوسرے معاملے میں، وفاقی حکومت میں منتقل ہوگی۔

(۲) پاکستان کے سمندری حدود سے باہر براعظمی شیلف کے اندر یا سمندر کے نیچے تمام زمینیں، معدنیات اور دیگر قیمتی چیزیں وفاقی حکومت میں منتقل ہوں گی۔

(۳) موجودہ وعدوں اور ذمہ داریوں کے تابع، کسی صوبے یا اس سے ملحقہ سمندری حدود میں معدنی تیل اور قدرتی گیس اس صوبے اور وفاقی حکومت میں مشترکہ اور مساوی طور پر منتقل ہوں گے۔
```"
"Elections by secret ballot

2[226. All elections under the Constitution, other than those of the Prime Minister and the Chief Minister, shall be by secret ballot.]",۲۲۶۔ دستور کے تحت تمام انتخابات، سوائے وزیر اعظم اور وزیر اعلیٰ کے، خفیہ رائے دہی کے ذریعے ہوں گے۔,۲[۲۲۶۔ آئین کے تحت ہونے والے تمام انتخابات، سوائے وزیرِ اعظم اور وزیرِ اعلیٰ کے انتخابات کے، خفیہ رائے شماری کے ذریعے ہوں گے۔]
"Inconsistency between Federal and Provincial law

5[143. If any provision of an Act of a Provincial Assembly is repugnant to any provision of an Act of Majlis-e-Shoora (Parliament) which Majlis-e- Shoora (Parliament) is competent to enact, then the Act of Majlis-e- Shoora (Parliament), whether passed before or after the Act of the Provincial Assembly, shall prevail and the Act of the Provincial Assembly shall, to the extent of the repugnancy, be void.]",۳۴۱۔ اگر کسی صوبائی اسمبلی کے کسی ایکٹ کا کوئی حکم مجلس شوریٰ (پارلیمنٹ) کے کسی ایکٹ کے کسی حکم سے متصادم ہو جسے وضع کرنے کی مجلس شوریٰ (پارلیمنٹ) مجاز ہو تو مجلس شوریٰ (پارلیمنٹ) کا ایکٹ، خواہ وہ صوبائی اسمبلی کے ایکٹ سے پہلے منظور ہوا ہو یا بعد میں، غالب رہے گا اور صوبائی اسمبلی کا ایکٹ تناقض کی حد تک باطل ہوگا۔,"وفاقی اور صوبائی قانون میں تضاد

۵[۱۴۳۔ اگر کسی صوبائی اسمبلی کے کسی ایکٹ کی کوئی شِق، مجلسِ شوریٰ (پارلیمنٹ) کے کسی ایکٹ کی کسی شِق سے متصادم ہو، جسے مجلسِ شوریٰ (پارلیمنٹ) وضع کرنے کا اِختیار رکھتی ہے، تو مجلسِ شوریٰ (پارلیمنٹ) کا ایکٹ، خواہ وہ صوبائی اسمبلی کے ایکٹ سے پہلے یا بعد میں منظور کیا گیا ہو، مقدم ہوگا اور صوبائی اسمبلی کا ایکٹ، تضاد کی حد تک، کالعدم ہوگا۔]"
"Finance Committees

(1) The expenditure of the National Assembly and the Senate within authorised appropriations shall be controlled by the National Assembly or, as the case may be, the Senate acting on the advice of its Finance Committee.

The Finance Committee shall consist of the Speaker or, as the case may be, the Chairman, the Minister of Finance and such other members as may be elected thereto by the National Assembly or, as the case may be, the Senate.

The Finance Committee may make rules1 for regulating its procedure.","مالیاتی کمیٹی

(1) منظور شدہ مدبندی کے دائرے میں قومی اسمبلی اور سینیٹ کے خرچ پر قومی اسمبلی یا، جیسی بھی صورت ہو، سینیٹ اپنی مالیاتی کمیٹی کے مشورے پر عمل کرتے ہوئے کنٹرول کرے گی۔

(2) مالیاتی کمیٹی اسپیکر، یا جیسی بھی صورت ہو، چیئرمین، وزیر مالیات اور ایسے دیگر ارکان پر مشتمل ہوگی جنہیں اس کے لیے قومی اسمبلی یا، جیسی بھی صورت ہو، سینیٹ منتخب کرے۔

(3) مالیاتی کمیٹی اپنے طریقہ کار کے انضباط کے لیے قواعد وضع کر سکے گی۔","کمیٹیاں برائے خزانہ

(۱) قومی اسمبلی اور سینیٹ کے منظور شدہ تخمینوں کے اندر اخراجات کا کنٹرول قومی اسمبلی یا، جیسا کہ معاملہ ہو، سینیٹ اپنی کمیٹی برائے خزانہ کے مشورے پر عمل کرتے ہوئے کرے گی۔

کمیٹی برائے خزانہ سپیکر یا، جیسا کہ معاملہ ہو، چیئرمین، وزیر خزانہ اور ایسے دیگر اراکین پر مشتمل ہوگی جنہیں قومی اسمبلی یا، جیسا کہ معاملہ ہو، سینیٹ منتخب کرے۔

کمیٹی برائے خزانہ اپنے طریقہ کار کو منظم کرنے کے لیے قواعد۱ وضع کر سکتی ہے۔"
"Acting Chief Justice

At any time when—

the office of Chief Justice of Pakistan is vacant; or

the Chief Justice of Pakistan is absent or is unable to perform the functions of his office due to any other cause,

the President shall appoint 2[the most senior of the other Judges of the Supreme Court] to act as Chief Justice of Pakistan.","قائم مقام چیف جسٹس

کسی وقت بھی جب—

الف: چیف جسٹس پاکستان کا عہدہ خالی ہو، یا

ب: چیف جسٹس پاکستان موجود نہ ہو یا کسی دیگر بناء پر اپنے کارہائے منصبی انجام دینے سے قاصر ہو،

تو صدر عدالت عظمیٰ کے دوسرے ججوں میں سے مقدم ترین جج کو قائم مقام چیف جسٹس پاکستان کی حیثیت سے مقرر کرے گا۔","قائم مقام چیف جسٹس


جب بھی—


چیف جسٹس آف پاکستان کا عہدہ خالی ہو؛ یا


چیف جسٹس آف پاکستان غیر حاضر ہوں یا کسی اور وجہ سے اپنے عہدے کے فرائض انجام دینے سے قاصر ہوں،


تو صدرِ مملکت سپریم کورٹ کے دیگر ججز میں سے سینئر ترین جج کو قائم مقام چیف جسٹس آف پاکستان مقرر کریں گے۔"
