context_eng,context_urdu,predicted_urdu_IndicTrans2
"Remuneration etc., of judges
The remuneration and other terms and conditions of service of a Judge of the Supreme Court or of a High Court shall be as provided in the

1 Paragraphs (c), (d) and (e) added ibid.
2 Subs. by P O. No. 14 of 1985, Art. 2 and Sch., for ""Article 204"".

Fifth Schedule.","ججوں کا مشاہرہ

سپریم کورٹ یا کسی ہائی کورٹ کے کسی جج کا مشاہرہ اور دوسری شرائط ملازمت وہ ہوں گی جو جدول پنجم میں مذکور ہیں۔","ججوں کے معاوضے وغیرہ سپریم کورٹ یا ہائی کورٹ کے جج کے معاوضے اور ملازمت کے دیگر شرائط و ضوابط جیسا کہ 1 پیراگراف (سی)، (ڈی) اور (ای) میں شامل کیا گیا ہے۔ 2 ذیلی۔ 1985 کے پی او نمبر 14 کے ذریعے، آرٹیکل 2 اور ایس ایچ، ""آرٹیکل 204"" کے لیے۔ پانچواں شیڈول۔ "
"Definitions

203B. In this Chapter, unless there is anything repugnant in the subject or context,—

1[(a)	""Chief Justice"" means Chief Justice of the Court;]

""Court"" means the Federal Shariat Court constituted in pursuance of Article 203C ;

2[(bb)	""Judge"" means Judge of the Court;]

""law"" includes any custom or usage having the force of law but does not include the Constitution, Muslim personal law, any law relating to the procedure of any court or tribunal or, until the expiration of 3[ten] years from the commencement of this Chapter, any fiscal law or any law relating to the levy and collection of taxes and fees or banking or insurance practice and procedure ; and","
۳۰۲۔ب۔ اس باب میں، تاوقتیکہ کوئی امر موضوع یا سیاق و سباق کے منافی نہ ہو، تعریفات:

(الف) ""چیف جسٹس"" سے عدالت کا چیف جسٹس مراد ہے؛

(ب) ""عدالت"" سے آرٹیکل ۳۰۲ج کے بموجب تشکیل کردہ وفاقی شرعی عدالت مراد ہے؛

(بب) ""جج"" سے اس عدالت کا جج مراد ہے؛

(ج) ""قانون"" میں کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو مگر اس میں دستور، مسلم شخصی قانون، کسی عدالت یا ٹریبونل کے ضابطہ کار سے متعلق کوئی قانون یا، اس باب کے آغاز نفاذ سے دس سال کی مدت گزرنے تک، کوئی مالی قانون یا محصولات یا فیسوں کے عائد کرنے اور جمع کرنے یا بنکاری یا بیمہ کے عمل اور طریقہ سے متعلق کوئی قانون شامل نہیں ہے؛ اور
","تعریف 203 بی۔ اس باب میں، جب تک کہ اس موضوع یا سیاق و سباق میں کچھ بھی ناگوار نہ ہو،-1 [(ا) ""چیف جسٹس"" کا مطلب ہے عدالت کا چیف جسٹس ؛] ""عدالت"" کا مطلب ہے آرٹیکل 203 سی کی پیروی میں تشکیل شدہ وفاقی شریعت عدالت ؛ 2 [(ب) ""جج"" کا مطلب عدالت کا جج ؛] ""قانون"" میں کوئی رواج یا استعمال شامل ہے جو قانون کی طاقت رکھتا ہے لیکن اس میں آئین، مسلم ذاتی قانون، کسی عدالت یا ٹریبونل کے طریقہ کار سے متعلق کوئی قانون یا اس باب کے آغاز سے 3 [دس] سال کی میعاد ختم ہونے تک کوئی مالیاتی قانون یا ٹیکس اور فیس یا بینکنگ یا انشورنس پریکٹس اور طریقہ کار کے محصولات اور وصولی سے متعلق کوئی قانون شامل نہیں ہے۔ اور "
"Removal of doubt
267B. For removal of doubt it is hereby declared that Article 152A omitted and Articles 179 and 195 substituted by the Constitution (Seventeenth Amendment) Act, 2003 (Act No. III of 2003), notwithstanding its repeal, shall be deemed always to have been so omitted and substituted.]",۷۶۲ﺏ۔ ازالہ شک کے لیے بذریعہ ہذا قرار دیا جاتا ہے کہ آرٹیکل ۱۵۲اے کو حذف اور آرٹیکل ۱۷۹ اور ۱۹۵ کو دستور (سترہویں ترمیم) ایکٹ، ۲۰۰۳ (ایکٹ نمبر ۳ بابت ۲۰۰۳) کے ذریعے تبدیل کر دیے گئے ہیں، ان کی تنسیخ کے باوجود، ہمیشہ اسی طرح حذف شدہ اور تبدیل شدہ متصور ہوں گے۔,شک کو دور کرنے کے لیے 267 بی۔ شک کو دور کرنے کے لیے یہ اعلان کیا جاتا ہے کہ آرٹیکل 152 اے کو خارج کر دیا گیا ہے اور آئین (سترہویں ترمیم) ایکٹ، 2003 (2003 کا ایکٹ نمبر III) کے ذریعے تبدیل کردہ آرٹیکل 199 اور 195، اس کی منسوخی کے باوجود، ہمیشہ اس طرح خارج اور تبدیل کیا گیا سمجھا جائے گا۔] 
"Prime Minister continuing in office

The President may ask the Prime Minister to continue to hold office until his successor enters upon the office of Prime Minister.",۴۱۔ صدر وزیر اعظم سے اپنے عہدے پر برقرار رہنے کے لیے کہہ سکے گا جب تک کہ اس کا جانشین وزیر اعظم کے عہدے پر فائز نہ ہو جائے۔,وزیر اعظم کا عہدے پر برقرار رہنا صدر وزیر اعظم سے اس وقت تک عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے جب تک کہ اس کا جانشین وزیر اعظم کا عہدہ سنبھال نہ لے۔ 
"Prior sanction of President required to Bills affecting taxation in which Provinces are interested

No Bill or amendment which imposes or varies a tax or duty the whole or part of the net proceeds whereof is assigned to any Province, or which varies the meaning of the expression ""agricultural income"" as defined for the purposes of the enactments relating to income-tax, or which affects the principles on which under any of the foregoing provisions of this Chapter moneys are or may be distributable to Provinces, shall be introduced or moved in the National Assembly except with the previous sanction of the President.",کوئی ایسا بل یا ترمیم جس سے کوئی ایسا محصول یا ڈیوٹی عائد ہوتی ہو، یا تبدیل ہوتی ہو جس کی اصل آمدنی کلی یا جزوی طور پر کسی صوبے کو تفویض کی جاتی ہو، یا جس سے زرعی آمدنی کی اصطلاح کا وہ مفہوم تبدیل ہوتا ہو جو حصول آمدنی سے متعلق وضع کردہ قوانین کی اغراض کے لیے متعین کیا گیا ہے یا جو ان اصولوں کو متاثر کرتی ہو جن پر اس باب کے مذکورہ بالا احکام میں سے کسی کے تحت رقوم صوبوں میں تقسیم کی جاتی ہوں یا کی جا سکتی ہوں، صدر کی ماقبل منظوری کے بغیر نہ قومی اسمبلی میں پیش کی جائے گی نہ اس کی تحریک کی جائے گی۔,"ٹیکس کو متاثر کرنے والے بلوں کے لیے صدر کی پیشگی منظوری درکار ہے جس میں صوبے دلچسپی رکھتے ہوں کوئی ایسا بل یا ترمیم جو کسی صوبے کو تفویض کی گئی خالص آمدنی کے پورے یا حصے پر ٹیکس یا ڈیوٹی عائد کرتا ہے یا اس میں تبدیلی کرتا ہے، یا جو انکم ٹیکس سے متعلق قوانین کے مقاصد کے لیے بیان کردہ ""زرعی آمدنی"" کے معنی میں فرق کرتا ہے، یا جو ان اصولوں کو متاثر کرتا ہے جن پر اس باب کی مذکورہ بالا دفعات میں سے کسی کے تحت صوبے کو رقم تقسیم کی جا سکتی ہے، صدر کی پیشگی منظوری کے علاوہ قومی اسمبلی میں پیش یا پیش کی جائے گی۔ "
"Oath of Office

Before entering upon office, the Chief Justice of Pakistan shall make before the President, and any other Judge of the Supreme Court shall make before the Chief Justice, oath in the form set out in the Third Schedule.",عہدہ سنبھالنے سے قبل، چیف جسٹس پاکستان صدر کے سامنے، اور عدالت عظمیٰ کا کوئی دوسرا جج چیف جسٹس کے سامنے، اس عبارت میں حلف اٹھائے گا جو جدول سوم میں درج کی گئی ہے۔,عہدہ سنبھالنے سے پہلے، پاکستان کا چیف جسٹس صدر کے سامنے حلف اٹھائے گا، اور سپریم کورٹ کا کوئی بھی دوسرا جج چیف جسٹس کے سامنے، تیسرے شیڈول میں بیان کردہ فارم میں حلف اٹھائے گا۔ 
"Repeal

The Interim Constitution of the Islamic Republic of Pakistan, together with the Acts and President's Orders making omissions from, additions to, modifications of, or amendments in, that Constitution is hereby repealed.","تنسیخ

اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے جن کے ذریعے اس دستور میں محذوفات، اضافے، ردوبدل یا ترامیم کی گئیں، بذریعہ ہذا منسوخ کیا جاتا ہے۔",اسلامی جمہوریہ پاکستان کے عبوری آئین کو منسوخ کریں، ان قوانین اور صدر کے احکامات کے ساتھ جو اس آئین میں کمی، اضافہ، ترمیم یا ترمیم کرتے ہیں، جسے اس طرح منسوخ کیا جاتا ہے۔ 
"Duration of Provincial Assembly

A Provincial Assembly shall, unless sooner dissolved, continue for a term of five years from the day of its first meeting and shall stand dissolved at the expiration of its term.","ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﮐﯽ ﻣﯿﻌﺎﺩ

ﮐﻮﺋﯽ ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ، ﺍﮔﺮ ﻭﮦ ﻗﺒﻞ ﺍﺯ ﻭﻗﺖ ﺗﻮﮌ ﻧﮧ ﺩﯼ ﺟﺎﺋﮯ، ﺍﭘﻨﮯ ﭘﮩﻠﮯ ﺍﺟﻼﺱ ﮐﯽ ﺗﺎﺭﯾﺦ ﺳﮯ ﭘﺎﻧﭻ ﺳﺎﻝ ﮐﯽ ﻣﯿﻌﺎﺩ ﺗﮏ ﺑﺮﻗﺮﺍﺭ ﺭﮨﮯ ﮔﯽ ﺍﻭﺭ ﺍﭘﻨﯽ ﻣﯿﻌﺎﺩ ﮐﮯ ﺍﺧﺘﺘﺎﻡ ﭘﺮ ﺗﻮﭦ ﺟﺎﺋﮯ ﮔﯽ۔",صوبائی اسمبلی کا دورانیہ ایک صوبائی اسمبلی، جب تک کہ جلد تحلیل نہ ہو جائے، اپنے پہلے اجلاس کے دن سے پانچ سال کی مدت کے لیے جاری رہے گی اور اپنی میعاد ختم ہونے پر تحلیل ہو جائے گی۔ 
"Right to speak in Provincial Assembly

The Advocate-General shall have the right to speak and otherwise take part in the proceedings of the Provincial Assembly or any committee thereof of which he may be named a member, but shall not by virtue of this Article be entitled to vote.",۱۱۱۔ ایڈووکیٹ جنرل کو صوبائی اسمبلی یا اس کی کسی کمیٹی میں، جس کا اسے رکن نامزد کر دیا جائے، تقریر کرنے اور بصورت دیگر اس کی کارروائی میں حصہ لینے کا حق ہوگا، لیکن اس آرٹیکل کی رو سے وہ ووٹ دینے کا مستحق نہ ہوگا۔,صوبائی اسمبلی میں بات کرنے کا حق ایڈوکیٹ جنرل کو صوبائی اسمبلی یا اس کی کسی کمیٹی کی کارروائی میں بات کرنے اور بصورت دیگر حصہ لینے کا حق حاصل ہوگا جس کا وہ رکن نامزد ہو سکتا ہے، لیکن اس آرٹیکل کی بنا پر وہ ووٹ دینے کا حقدار نہیں ہوگا۔ 
"Protection against double punishment and self incrimination

No person—

shall be prosecuted or punished for the same offence more than once; or

shall, when accused of an offence, be compelled to be a witness against himself.","ﺩﻭﮨﺮﯼ ﺳﺰﺍ ﺍﻭﺭ ﺍﭘﻨﮯ ﺧﻼﻑ ﮔﻮﺍﮦ ﺑﻨﻨﮯ ﮐﺎ ﺗﺤﻔﻆ

ﮐﺴﯽ ﺷﺨﺺ ﮐﻮ—

ﯾﮧ ﺍﯾﮏ ﮨﯽ ﺟﺮﻡ ﮐﯽ ﺑﻨﺎﺀ ﭘﺮ ﺍﯾﮏ ﺑﺎﺭ ﺳﮯ ﺯﯾﺎﺩﮦ ﻧﮧ ﺗﻮ ﻣﻘﺪﻣﮧ ﭼﻼﯾﺎ ﺟﺎﺋﮯ ﮔﺎ ﺍﻭﺭ ﻧﮧ ﺳﺰﺍ ﺩﯼ ﺟﺎﺋﮯ ﮔﯽ؛ ﯾﺎ

ﺟﺐ ﮐﮧ ﺍﺱ ﭘﺮ ﮐﺴﯽ ﺟﺮﻡ ﮐﺎ ﺍﻟﺰﺍﻡ ﮨﻮ، ﺍﺱ ﺑﺎﺕ ﭘﺮ ﻣﺠﺒﻮﺭ ﻧﮩﯿﮟ ﮐﯿﺎ ﺟﺎﺋﮯ ﮔﺎ ﮐﮧ ﻭﮦ ﺍﭘﻨﮯ ﮨﯽ ﺧﻼﻑ ﮔﻮﺍﮦ ﺑﻨﮯ۔",دوہری سزا اور خود جرم کے خلاف تحفظ-کسی بھی شخص پر ایک ہی جرم کے لیے ایک سے زیادہ بار مقدمہ نہیں چلایا جائے گا یا سزا نہیں دی جائے گی ؛ یا، جب کسی جرم کا الزام لگایا جائے گا، تو اسے اپنے خلاف گواہ بننے پر مجبور کیا جائے گا۔ 
"The Republic and its territories
11.	(1)	Pakistan shall be Federal Republic to be known as the Islamic Republic of Pakistan, hereinafter referred to as Pakistan.

2[(2)	The territories of Pakistan shall comprise—

the	Provinces	of	3[Balochistan],	the	4[Khyber Pakhtunkhwa], the Punjab and 5[Sindh];
the Islamabad Capital Territory, hereinafter referred to as the Federal Capital; 6[and]
6[(c)	*	*	*	*	*	*]

6[(c)] such States and territories as are or may be included in Pakistan, whether by accession or otherwise.

(3) 7[Majlis-e-Shoora (Parliament)] may by law admit into the Federation new States or areas on such terms and conditions as it thinks fit.]","۱۔ مملکت پاکستان ایک وفاقی جمہوریہ ہوگی جس کا نام اسلامی جمہوریہ پاکستان ہوگا جسے بعد ازیں پاکستان کہا جائے گا۔

۲۔ پاکستان کے علاقے مندرجہ ذیل پر مشتمل ہوں گے:

- صوبہ جات: بلوچستان، خیبر پختونخوا، پنجاب اور سندھ؛
- دارالحکومت اسلام آباد کا علاقہ جس کا حوالہ بعد ازیں وفاقی دارالحکومت کے طور پر دیا گیا ہے؛
- ایسی ریاستیں اور علاقے جو الحاق کے ذریعے یا کسی اور طریقے سے پاکستان میں شامل ہیں یا ہو جائیں۔

۳۔ مجلس شوریٰ (پارلیمنٹ) بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود و شرائط پر داخل کر سکے گی جو وہ مناسب سمجھے۔",جمہوریہ اور اس کے علاقے 11. (1) پاکستان وفاقی جمہوریہ ہو گا جسے اسلامی جمہوریہ پاکستان کے نام سے جانا جائے گا، جسے اس کے بعد پاکستان کہا جائے گا۔ 2 [(2) پاکستان کے علاقے پر مشتمل ہوں گے-3 [بلوچستان]، 4 [خیبر پختہ]، پنجاب اور 5 [سندھ] کے صوبے ؛ اسلام آباد کیپیٹل ٹیریٹری، جسے اس کے بعد وفاقی دارالحکومت کہا گیا ہے ؛ 6 [اور] 6 [(سی) * * * * *] 6 [(سی) ایسی ریاستیں اور علاقے جو پاکستان میں شامل ہیں یا ہو سکتے ہیں، چاہے الحاق کے ذریعے یا دوسری صورت میں۔ (3) 7 [مجلس شوری (پارلیمنٹ) قانون کے ذریعے نئی ریاستوں یا علاقوں کو ان شرائط و ضوابط پر وفاق میں داخل کر سکتی ہے جو وہ مناسب سمجھے۔] 
"Annual Budget Statement

(1) The Federal Government shall, in respect of every financial year, cause to be laid before the National Assembly a statement of the estimated receipt and expenditure of the Federal Government for that year, in this Part, referred to as the Annual Budget Statement.

The Annual Budget Statement shall show separately—

the sums required to meet expenditure described by the Constitution as expenditure charged upon the Federal Consolidated Fund; and

the sums required to meet other expenditure proposed to be made from the Federal Consolidated Fund;

and shall distinguish expenditure on revenue account from other expenditure.","سالانہ کیفیت نامہ

(1) وفاقی حکومت ہر مالی سال کی بابت، وفاقی حکومت کی اس سال کی تخمینی آمدنی اور مصارف کا بجٹ کیفیت نامہ قومی اسمبلی کے سامنے پیش کرائے گی، جس کا اس حصہ میں سالانہ کیفیت نامہ بجٹ کے طور پر حوالہ دیا گیا ہے۔

سالانہ کیفیت نامہ بجٹ میں مندرجہ ذیل علیحدہ علیحدہ ظاہر کی جائیں گی—

الف) ایسی رقوم جو ان مصارف کو پورا کرنے کے لیے درکار ہوں جنہیں دستور میں وفاقی مجموعی فنڈ پر واجب الادا بیان کیا گیا ہے؛ اور

ب) ایسی رقوم جو ایسے دیگر مصارف کو پورا کرنے کے لیے درکار ہوں، جن کی وفاقی مجموعی فنڈ سے ادائیگی کی تجویز کی گئی ہو؛

اور محاصل کے حساب میں سے ہونے والے مصارف اور دیگر مصارف میں تفریق رکھی جائے گی۔",سالانہ بجٹ بیان (1) وفاقی حکومت، ہر مالی سال کے سلسلے میں، قومی اسمبلی کے سامنے اس سال کے لیے وفاقی حکومت کی تخمینہ شدہ وصولی اور اخراجات کا ایک بیان رکھے گی، جسے اس حصے میں سالانہ بجٹ بیان کہا گیا ہے۔ سالانہ بجٹ بیان میں الگ سے دکھایا جائے گا-آئین کے ذریعے بیان کردہ اخراجات کو پورا کرنے کے لیے درکار رقوم جسے وفاقی مجموعی فنڈ پر وصول کیے جانے والے اخراجات کے طور پر بیان کیا گیا ہے ؛ اور وفاقی مجموعی فنڈ سے کیے جانے والے مجوزہ دیگر اخراجات کو پورا کرنے کے لیے درکار رقوم ؛ اور محصولات کے کھاتے میں ہونے والے اخراجات کو دیگر اخراجات سے الگ کرے گا۔ 
"Ownerless property

(1)      Any property which has no rightful owner shall, if located in a Province, vest in the Government of that Province, and in every other case, in the Federal Government.

(2) All lands, minerals and other things of value within the continental shelf or underlying the ocean 1[beyond] the territorial waters of Pakistan shall vest in the Federal Government.

2[(3) Subject to the existing commitments and obligations, mineral oil and natural gas within the Province or the territorial water adjacent thereto shall vest jointly and equally in that Province and the Federal Government.]","ﺑﯿﺮﻭﻥ ﻣﻠﮏ ﺟﺎﺋﯿﺪﺍﺩ

(1) ﺍﯾﺴﯽ ﮐﻮﺋﯽ ﺟﺎﺋﯿﺪﺍﺩ، ﺟﺲ ﮐﺎ ﮐﻮﺋﯽ ﺟﺎﺋﺰ ﻣﺎﻟﮏ ﻧﮧ ﮨﻮ، ﺍﮔﺮ ﮐﺴﯽ ﺻﻮﺑﮯ ﻣﯿﮟ ﻭﺍﻗﻊ ﮨﻮ، ﺗﻮ ﺍﺱ ﺻﻮﺑﮧ ﮐﯽ ﺣﮑﻮﻣﺖ ﮐﯽ ﻣﻠﮑﯿﺖ ﮨﻮﮔﯽ، ﺍﻭﺭ ﮨﺮ ﺩﻭﺳﺮﯼ ﺻﻮﺭﺕ ﻣﯿﮟ، ﻭﻓﺎﻗﯽ ﺣﮑﻮﻣﺖ ﮐﯽ ﻣﻠﮑﯿﺖ ﮨﻮﮔﯽ۔

(2) ﺗﻤﺎﻡ ﺍﺭﺍﺿﯿﺎﺕ، ﻣﻌﺪﻧﯿﺎﺕ، ﺍﻭﺭ ﺩﻭﺳﺮﯼ ﻗﯿﻤﺘﯽ ﺍﺷﯿﺎﺀ ﺟﻮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﮯ ﺑﺮﺍﻋﻈﻤﯽ ﮐﻨﺎﺭﺁﺏ ﮐﮯ ﺍﻧﺪﺭ، ﯾﺎ ﭘﺎﮐﺴﺘﺎﻥ ﮐﮯ ﻋﻼﻗﺎﺋﯽ ﺳﻤﻨﺪﺭ ﮐﯽ ﺣﺪ ﭘﺮ ﺳﻤﻨﺪﺭ ﮐﮯ ﻧﯿﭽﮯ ﮨﻮﮞ، ﻭﻓﺎﻗﯽ ﺣﮑﻮﻣﺖ ﮐﯽ ﻣﻠﮑﯿﺖ ﮨﻮﮞ ﮔﯽ۔

(3) ﻣﻮﺟﻮﺩﮦ ﭘﺎﺑﻨﺪﯾﻮﮞ ﺍﻭﺭ ﻭﺍﺟﺒﺎﺕ ﮐﮯ ﻣﻄﺎﺑﻖ، ﺻﻮﺑﮯ ﮐﮯ ﺍﻧﺪﺭ ﻣﻌﺪﻧﯽ ﺗﯿﻞ ﺍﻭﺭ ﻗﺪﺭﺗﯽ ﮔﯿﺱ ﯾﺎ ﻋﻼﻗﺎﺋﯽ ﺳﻤﻨﺪﺭ ﺳﮯ ﻣﻠﺤﻖ ﮨﻮﮞ، ﻭﮦ ﺍﺱ ﺻﻮﺑﮯ ﺍﻭﺭ ﻭﻓﺎﻗﯽ ﺣﮑﻮﻣﺖ ﮐﻮ ﻣﺸﺘﺮﮐﮧ ﺍﻭﺭ ﻣﺴﺎﻭﯼ ﻃﻮﺭ ﭘﺮ ﺗﻔﻮﯾﺾ ﮐﺮﺩﺋﯿﮟ ﮔﯽ۔",مالکانہ ملکیت (1) کوئی ایسی جائیداد جس کا کوئی جائز مالک کسی صوبے میں واقع نہ ہو، اس صوبے کی حکومت اور ہر دوسری صورت میں وفاقی حکومت کے پاس ہوگی۔ (2) تمام زمینیں، معدنیات اور دیگر قیمتی چیزیں جو براعظمی شیلف کے اندر یا سمندر کے نیچے ہیں، پاکستان کے علاقائی پانیوں سے باہر وفاقی حکومت کے پاس ہوں گی۔ (3) موجودہ وعدوں اور ذمہ داریوں کے تابع، صوبے کے اندر معدنی تیل اور قدرتی گیس یا اس سے ملحقہ علاقائی پانی اس صوبے اور وفاقی حکومت کے پاس مشترکہ طور پر اور مساوی طور پر ہوگا۔ 
"Elections by secret ballot

2[226. All elections under the Constitution, other than those of the Prime Minister and the Chief Minister, shall be by secret ballot.]",۲۲۶۔ دستور کے تحت تمام انتخابات، سوائے وزیر اعظم اور وزیر اعلیٰ کے، خفیہ رائے دہی کے ذریعے ہوں گے۔,خفیہ رائے شماری کے ذریعے انتخابات 2 [226۔ آئین کے تحت تمام انتخابات، وزیر اعظم اور وزیر اعلی کے علاوہ، خفیہ رائے شماری کے ذریعے ہوں گے۔] 
"Inconsistency between Federal and Provincial law

5[143. If any provision of an Act of a Provincial Assembly is repugnant to any provision of an Act of Majlis-e-Shoora (Parliament) which Majlis-e- Shoora (Parliament) is competent to enact, then the Act of Majlis-e- Shoora (Parliament), whether passed before or after the Act of the Provincial Assembly, shall prevail and the Act of the Provincial Assembly shall, to the extent of the repugnancy, be void.]",۳۴۱۔ اگر کسی صوبائی اسمبلی کے کسی ایکٹ کا کوئی حکم مجلس شوریٰ (پارلیمنٹ) کے کسی ایکٹ کے کسی حکم سے متصادم ہو جسے وضع کرنے کی مجلس شوریٰ (پارلیمنٹ) مجاز ہو تو مجلس شوریٰ (پارلیمنٹ) کا ایکٹ، خواہ وہ صوبائی اسمبلی کے ایکٹ سے پہلے منظور ہوا ہو یا بعد میں، غالب رہے گا اور صوبائی اسمبلی کا ایکٹ تناقض کی حد تک باطل ہوگا۔,وفاقی اور صوبائی قانون 5 کے درمیان عدم مطابقت [143. اگر کسی صوبائی اسمبلی کے کسی ایکٹ کی کوئی شق مجلس شوری (پارلیمنٹ) کے کسی ایکٹ کی کسی شق کے منافی ہے جسے مجلس شوری (پارلیمنٹ) نافذ کرنے کی مجاز ہے، تو مجلس شوری (پارلیمنٹ) کا ایکٹ، چاہے وہ صوبائی اسمبلی کے ایکٹ سے پہلے یا بعد میں منظور کیا گیا ہو، غالب ہوگا اور صوبائی اسمبلی کا ایکٹ اس حد تک کالعدم ہوگا۔] 
"Finance Committees

(1) The expenditure of the National Assembly and the Senate within authorised appropriations shall be controlled by the National Assembly or, as the case may be, the Senate acting on the advice of its Finance Committee.

The Finance Committee shall consist of the Speaker or, as the case may be, the Chairman, the Minister of Finance and such other members as may be elected thereto by the National Assembly or, as the case may be, the Senate.

The Finance Committee may make rules1 for regulating its procedure.","مالیاتی کمیٹی

(1) منظور شدہ مدبندی کے دائرے میں قومی اسمبلی اور سینیٹ کے خرچ پر قومی اسمبلی یا، جیسی بھی صورت ہو، سینیٹ اپنی مالیاتی کمیٹی کے مشورے پر عمل کرتے ہوئے کنٹرول کرے گی۔

(2) مالیاتی کمیٹی اسپیکر، یا جیسی بھی صورت ہو، چیئرمین، وزیر مالیات اور ایسے دیگر ارکان پر مشتمل ہوگی جنہیں اس کے لیے قومی اسمبلی یا، جیسی بھی صورت ہو، سینیٹ منتخب کرے۔

(3) مالیاتی کمیٹی اپنے طریقہ کار کے انضباط کے لیے قواعد وضع کر سکے گی۔",مالیاتی کمیٹیاں (1) مجاز تخصیصات کے اندر قومی اسمبلی اور سینیٹ کے اخراجات کو قومی اسمبلی یا، جیسا بھی معاملہ ہو، اس کی مالیاتی کمیٹی کے مشورے پر کام کرنے والی سینیٹ کے ذریعے کنٹرول کیا جائے گا۔ مالیاتی کمیٹی اسپیکر یا، جیسا بھی معاملہ ہو، چیئرمین، وزیر خزانہ اور ایسے دیگر اراکین پر مشتمل ہوگی جو قومی اسمبلی یا، جیسا بھی معاملہ ہو، سینیٹ کے ذریعے اس کے لیے منتخب کیے جائیں۔ مالیاتی کمیٹی اپنے طریقہ کار کو منظم کرنے کے لیے قواعد بنا سکتی ہے۔ 
"Acting Chief Justice

At any time when—

the office of Chief Justice of Pakistan is vacant; or

the Chief Justice of Pakistan is absent or is unable to perform the functions of his office due to any other cause,

the President shall appoint 2[the most senior of the other Judges of the Supreme Court] to act as Chief Justice of Pakistan.","قائم مقام چیف جسٹس

کسی وقت بھی جب—

الف: چیف جسٹس پاکستان کا عہدہ خالی ہو، یا

ب: چیف جسٹس پاکستان موجود نہ ہو یا کسی دیگر بناء پر اپنے کارہائے منصبی انجام دینے سے قاصر ہو،

تو صدر عدالت عظمیٰ کے دوسرے ججوں میں سے مقدم ترین جج کو قائم مقام چیف جسٹس پاکستان کی حیثیت سے مقرر کرے گا۔",قائم مقام چیف جسٹس کسی بھی وقت جب-پاکستان کے چیف جسٹس کا عہدہ خالی ہو ؛ یا پاکستان کا چیف جسٹس غیر حاضر ہو یا کسی اور وجہ سے اپنے عہدے کے فرائض انجام دینے سے قاصر ہو، صدر 2 [سپریم کورٹ کے دیگر ججوں میں سب سے سینئر] کو پاکستان کے چیف جسٹس کے طور پر کام کرنے کے لیے مقرر کرے گا۔ 
"Acquisition of land for Federal purposes

The Federation may, if it deems necessary to acquire any land situate in a Province for any purpose connected with a matter with respect to which 1[Majlis-e-Shoora (Parliament)] has power to make laws, require the Province to acquire the land on behalf, and at the expense, of the Federation or, if the land belongs to the Province, to transfer it to the Federation on such terms as may be agreed or, in default of agreement, as may be determined by an arbitrator appointed by the Chief Justice of Pakistan.",۲۵۱۔ اگر وفاق کسی اراضی کو جو کسی صوبے میں واقع ہو کسی ایسے مقصد کے لیے جو وفاقی اغراض کے لیے ہو، حاصل کرنا ضروری خیال کرے تو وہ اس صوبے کو حکم دے سکے گا کہ وہ اس اراضی کو وفاق کی طرف سے اور اس کے خرچ پر حاصل کرے یا، اگر اراضی صوبے کی ملکیت ہو تو اسے وفاق کے نام ایسی شرائط پر منتقل کر دے، جو طے پا جائیں یا، طے نہ پانے کی صورت میں، چیف جسٹس پاکستان کے مقرر کردہ کسی ثالث کی طرف سے طے کی جائیں۔,وفاقی مقاصد کے لیے زمین کا حصول فیڈریشن، اگر اسے کسی ایسے معاملے سے متعلق کسی بھی مقصد کے لیے صوبے میں واقع کسی بھی زمین کا حصول ضروری معلوم ہو جس کے حوالے سے مجلس شوری (پارلیمنٹ) کو قوانین بنانے کا اختیار حاصل ہو، تو وہ صوبے سے مطالبہ کر سکتی ہے کہ وہ فیڈریشن کی جانب سے اور اس کی قیمت پر زمین حاصل کرے، یا اگر زمین صوبے کی ہے تو اسے ایسی شرائط پر فیڈریشن کو منتقل کرے جس پر اتفاق ہو یا معاہدے کی خلاف ورزی ہو، جس کا تعین پاکستان کے چیف جسٹس کے مقرر کردہ ثالث کے ذریعے کیا جائے۔ 
