context_eng,context_urdu,predicted_translation_mistral
"Remuneration etc., of judges
The remuneration and other terms and conditions of service of a Judge of the Supreme Court or of a High Court shall be as provided in the

1 Paragraphs (c), (d) and (e) added ibid.
2 Subs. by P O. No. 14 of 1985, Art. 2 and Sch., for ""Article 204"".

Fifth Schedule.","ججوں کا مشاہرہ

سپریم کورٹ یا کسی ہائی کورٹ کے کسی جج کا مشاہرہ اور دوسری شرائط ملازمت وہ ہوں گی جو جدول پنجم میں مذکور ہیں۔","```
ججوں کی تنخواہ وغیرہ
عدالت عظمیٰ یا ہائی کورٹ کے جج کی تنخواہ اور دیگر خدمت کی شرائط وقواعد وہی ہوں گی جو پانچویں شیڈول میں درج ہیں۔

1 حروف (سی)، (دی) اور (ای) کے پیراگراف اسی طرح شامل کیے گئے۔
2 ""آرٹیکل 204"" کی جگہ ""پی او نمبر 14، 1985، آرٹیکل 2 اور شیڈول"" سے تبدیل کر دیا گیا۔

پانچویں شیڈول```"
"Definitions

203B. In this Chapter, unless there is anything repugnant in the subject or context,—

1[(a)	""Chief Justice"" means Chief Justice of the Court;]

""Court"" means the Federal Shariat Court constituted in pursuance of Article 203C ;

2[(bb)	""Judge"" means Judge of the Court;]

""law"" includes any custom or usage having the force of law but does not include the Constitution, Muslim personal law, any law relating to the procedure of any court or tribunal or, until the expiration of 3[ten] years from the commencement of this Chapter, any fiscal law or any law relating to the levy and collection of taxes and fees or banking or insurance practice and procedure ; and","
۳۰۲۔ب۔ اس باب میں، تاوقتیکہ کوئی امر موضوع یا سیاق و سباق کے منافی نہ ہو، تعریفات:

(الف) ""چیف جسٹس"" سے عدالت کا چیف جسٹس مراد ہے؛

(ب) ""عدالت"" سے آرٹیکل ۳۰۲ج کے بموجب تشکیل کردہ وفاقی شرعی عدالت مراد ہے؛

(بب) ""جج"" سے اس عدالت کا جج مراد ہے؛

(ج) ""قانون"" میں کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو مگر اس میں دستور، مسلم شخصی قانون، کسی عدالت یا ٹریبونل کے ضابطہ کار سے متعلق کوئی قانون یا، اس باب کے آغاز نفاذ سے دس سال کی مدت گزرنے تک، کوئی مالی قانون یا محصولات یا فیسوں کے عائد کرنے اور جمع کرنے یا بنکاری یا بیمہ کے عمل اور طریقہ سے متعلق کوئی قانون شامل نہیں ہے؛ اور
","```تعاریف

203بی. اس باب میں، جب تک کہ موضوع یا سیاق و سباق میں کوئی چیز متعارض نہ ہو،—

1[(اے)	""چیف جسٹس"" سے مراد عدالت کا چیف جسٹس ہے؛]

""عدالت"" سے مراد فیڈرل شریعت عدالت ہے جو آرٹیکل 203سی کے تحت قائم کی گئی ہے؛

2[(بب)	""جج"" سے مراد عدالت کا جج ہے؛]

""قانون"" میں کوئی بھی رواج یا عمل شامل ہے جس کا قانونی درجہ ہو مگر اس میں آئین، مسلم شخصی قانون، کسی عدالت یا عدالتی عمل درآمد سے متعلق کوئی قانون یا، اس باب کے نفاذ کے بعد 3[دس] سال تک، کوئی بھی مالیاتی قانون یا کسی ٹیکس اور فیس کی وصولی سے متعلق قانون یا بینکنگ یا انشورنس پریکٹس اور عمل درآمد شامل نہیں ہے؛ اور```"
"Removal of doubt
267B. For removal of doubt it is hereby declared that Article 152A omitted and Articles 179 and 195 substituted by the Constitution (Seventeenth Amendment) Act, 2003 (Act No. III of 2003), notwithstanding its repeal, shall be deemed always to have been so omitted and substituted.]",۷۶۲ﺏ۔ ازالہ شک کے لیے بذریعہ ہذا قرار دیا جاتا ہے کہ آرٹیکل ۱۵۲اے کو حذف اور آرٹیکل ۱۷۹ اور ۱۹۵ کو دستور (سترہویں ترمیم) ایکٹ، ۲۰۰۳ (ایکٹ نمبر ۳ بابت ۲۰۰۳) کے ذریعے تبدیل کر دیے گئے ہیں، ان کی تنسیخ کے باوجود، ہمیشہ اسی طرح حذف شدہ اور تبدیل شدہ متصور ہوں گے۔,"شک دور کرنے کے لئے
267ب. شک دور کرنے کے لئے یہ اعلان کیا جاتا ہے کہ دفعہ 152اے کو ہٹا دیا گیا اور دفعہ 179 اور 195 کو آئین (سترہویں ترمیمی) ایکٹ، 2003 (ایکٹ نمبر III آف 2003) نے عوض کر دیا، اس کی منسوخی کے باوجود، ہمیشہ سے ہٹایا اور عوض کیا جانا سمجھا جائے گا۔]"
"Prime Minister continuing in office

The President may ask the Prime Minister to continue to hold office until his successor enters upon the office of Prime Minister.",۴۱۔ صدر وزیر اعظم سے اپنے عہدے پر برقرار رہنے کے لیے کہہ سکے گا جب تک کہ اس کا جانشین وزیر اعظم کے عہدے پر فائز نہ ہو جائے۔,"وزیر اعظم کا عہدہ جاری رکھنا

صدر وزیر اعظم سے کہ سکتے ہیں کہ وہ اپنے جانشین کے وزیر اعظم کے عہدے پر فائز ہونے تک عہدہ برقرار رکھے۔"
"Prior sanction of President required to Bills affecting taxation in which Provinces are interested

No Bill or amendment which imposes or varies a tax or duty the whole or part of the net proceeds whereof is assigned to any Province, or which varies the meaning of the expression ""agricultural income"" as defined for the purposes of the enactments relating to income-tax, or which affects the principles on which under any of the foregoing provisions of this Chapter moneys are or may be distributable to Provinces, shall be introduced or moved in the National Assembly except with the previous sanction of the President.",کوئی ایسا بل یا ترمیم جس سے کوئی ایسا محصول یا ڈیوٹی عائد ہوتی ہو، یا تبدیل ہوتی ہو جس کی اصل آمدنی کلی یا جزوی طور پر کسی صوبے کو تفویض کی جاتی ہو، یا جس سے زرعی آمدنی کی اصطلاح کا وہ مفہوم تبدیل ہوتا ہو جو حصول آمدنی سے متعلق وضع کردہ قوانین کی اغراض کے لیے متعین کیا گیا ہے یا جو ان اصولوں کو متاثر کرتی ہو جن پر اس باب کے مذکورہ بالا احکام میں سے کسی کے تحت رقوم صوبوں میں تقسیم کی جاتی ہوں یا کی جا سکتی ہوں، صدر کی ماقبل منظوری کے بغیر نہ قومی اسمبلی میں پیش کی جائے گی نہ اس کی تحریک کی جائے گی۔,"```صدر کی پیشگی سند کی ضرورت بلوں کے لئے جن کا تعلق ٹیکسیشن سے ہو جس میں صوبے دلچسپی رکھتے ہیں

کوئی بل یا ترمیم جو ٹیکس یا ڈیوٹی لگائے یا اس کی رقم کو بدلے جس کی پوری یا کچھ خالص آمدنی کوئی صوبے کے لئے مقرر کی گئی ہو، یا جو زرعی آمدنی کے معنی کو بدلے جیسا کہ آمدنی ٹیکس سے متعلق قوانین کے لئے بیان کیا گیا ہے، یا جو ان اصولوں کو متاثر کرے جن پر اس باب کی پچھلی شرائط کے تحت مالیہ وتقسیم کیا جا سکتا ہے، قومی اسمبلی میں پیش نہیں کیا جائے گا بغیر صدر کی پیشگی منظوری کے.```"
"Oath of Office

Before entering upon office, the Chief Justice of Pakistan shall make before the President, and any other Judge of the Supreme Court shall make before the Chief Justice, oath in the form set out in the Third Schedule.",عہدہ سنبھالنے سے قبل، چیف جسٹس پاکستان صدر کے سامنے، اور عدالت عظمیٰ کا کوئی دوسرا جج چیف جسٹس کے سامنے، اس عبارت میں حلف اٹھائے گا جو جدول سوم میں درج کی گئی ہے۔,"```قسم عہدہ

عہدے کی ذمہ داری سنبھالنے سے پہلے، پاکستان کے چیف جسٹس کو صدر کے سامنے، اور سپریم کورٹ کے کسی بھی دوسرے جج کو چیف جسٹس کے سامنے، تیسرے شیڈول میں درج طریقے سے قسم اٹھانی چاہئے۔```"
"Repeal

The Interim Constitution of the Islamic Republic of Pakistan, together with the Acts and President's Orders making omissions from, additions to, modifications of, or amendments in, that Constitution is hereby repealed.","تنسیخ

اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے جن کے ذریعے اس دستور میں محذوفات، اضافے، ردوبدل یا ترامیم کی گئیں، بذریعہ ہذا منسوخ کیا جاتا ہے۔","منسوخی

اسلامی جمہوریہ پاکستان کے عبوری دستور کے ساتھ ساتھ اس دستور میں خارج کرنے، اضافے کرنے، ترمیم کرنے، یا ترامیم کرنے والے ایکٹس اور صدر کے احکامات کو یہاں فوراً منسوخ کیا جاتا ہے۔"
"Duration of Provincial Assembly

A Provincial Assembly shall, unless sooner dissolved, continue for a term of five years from the day of its first meeting and shall stand dissolved at the expiration of its term.","ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﮐﯽ ﻣﯿﻌﺎﺩ

ﮐﻮﺋﯽ ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ، ﺍﮔﺮ ﻭﮦ ﻗﺒﻞ ﺍﺯ ﻭﻗﺖ ﺗﻮﮌ ﻧﮧ ﺩﯼ ﺟﺎﺋﮯ، ﺍﭘﻨﮯ ﭘﮩﻠﮯ ﺍﺟﻼﺱ ﮐﯽ ﺗﺎﺭﯾﺦ ﺳﮯ ﭘﺎﻧﭻ ﺳﺎﻝ ﮐﯽ ﻣﯿﻌﺎﺩ ﺗﮏ ﺑﺮﻗﺮﺍﺭ ﺭﮨﮯ ﮔﯽ ﺍﻭﺭ ﺍﭘﻨﯽ ﻣﯿﻌﺎﺩ ﮐﮯ ﺍﺧﺘﺘﺎﻡ ﭘﺮ ﺗﻮﭦ ﺟﺎﺋﮯ ﮔﯽ۔","```صوبائی اسمبلی کی مدت

صوبائی اسمبلی پانچ سال کی مدت تک قائم رہے گی، الا یہ کہ وہ پہلے تحلیل ہو جائے۔ اس کی پہلی بیٹھک کے دن سے پانچ سال کی میعاد ختم ہونے پر وہ خود بخود تحلیل ہو جائے گی۔```"
"Right to speak in Provincial Assembly

The Advocate-General shall have the right to speak and otherwise take part in the proceedings of the Provincial Assembly or any committee thereof of which he may be named a member, but shall not by virtue of this Article be entitled to vote.",۱۱۱۔ ایڈووکیٹ جنرل کو صوبائی اسمبلی یا اس کی کسی کمیٹی میں، جس کا اسے رکن نامزد کر دیا جائے، تقریر کرنے اور بصورت دیگر اس کی کارروائی میں حصہ لینے کا حق ہوگا، لیکن اس آرٹیکل کی رو سے وہ ووٹ دینے کا مستحق نہ ہوگا۔,"```صوبائی اسمبلی میں بولنے کا حق

ایڈووکیٹ جنرل کو صوبائی اسمبلی یا اس کی کسی بھی کمیٹی کے اجلاس میں بولنے اور دیگر طریقوں سے حصہ لینے کا حق ہوگا، جس کا وہ رکن نامزد کیا جا سکتا ہے، لیکن اس دفعہ کے تحت وہ ووٹ دینے کا حقدار نہیں ہوگا۔```"
"Protection against double punishment and self incrimination

No person—

shall be prosecuted or punished for the same offence more than once; or

shall, when accused of an offence, be compelled to be a witness against himself.","ﺩﻭﮨﺮﯼ ﺳﺰﺍ ﺍﻭﺭ ﺍﭘﻨﮯ ﺧﻼﻑ ﮔﻮﺍﮦ ﺑﻨﻨﮯ ﮐﺎ ﺗﺤﻔﻆ

ﮐﺴﯽ ﺷﺨﺺ ﮐﻮ—

ﯾﮧ ﺍﯾﮏ ﮨﯽ ﺟﺮﻡ ﮐﯽ ﺑﻨﺎﺀ ﭘﺮ ﺍﯾﮏ ﺑﺎﺭ ﺳﮯ ﺯﯾﺎﺩﮦ ﻧﮧ ﺗﻮ ﻣﻘﺪﻣﮧ ﭼﻼﯾﺎ ﺟﺎﺋﮯ ﮔﺎ ﺍﻭﺭ ﻧﮧ ﺳﺰﺍ ﺩﯼ ﺟﺎﺋﮯ ﮔﯽ؛ ﯾﺎ

ﺟﺐ ﮐﮧ ﺍﺱ ﭘﺮ ﮐﺴﯽ ﺟﺮﻡ ﮐﺎ ﺍﻟﺰﺍﻡ ﮨﻮ، ﺍﺱ ﺑﺎﺕ ﭘﺮ ﻣﺠﺒﻮﺭ ﻧﮩﯿﮟ ﮐﯿﺎ ﺟﺎﺋﮯ ﮔﺎ ﮐﮧ ﻭﮦ ﺍﭘﻨﮯ ﮨﯽ ﺧﻼﻑ ﮔﻮﺍﮦ ﺑﻨﮯ۔","```دوہرا سزا اور خود اپر مجرم ثابت کرنے سے حفاظت

کوئی شخص—

ایک ہی جرم کے لیے دوبار سے زیادہ مقدمہ چلایا جائے گا یا سزا دی جائے گی؛ یا

جب کسی جرم میں ملزم ٹھہرایا جائے، خود اپنے خلاف گواہ بننے پر مجبور نہیں کیا جائے گا۔```"
"The Republic and its territories
11.	(1)	Pakistan shall be Federal Republic to be known as the Islamic Republic of Pakistan, hereinafter referred to as Pakistan.

2[(2)	The territories of Pakistan shall comprise—

the	Provinces	of	3[Balochistan],	the	4[Khyber Pakhtunkhwa], the Punjab and 5[Sindh];
the Islamabad Capital Territory, hereinafter referred to as the Federal Capital; 6[and]
6[(c)	*	*	*	*	*	*]

6[(c)] such States and territories as are or may be included in Pakistan, whether by accession or otherwise.

(3) 7[Majlis-e-Shoora (Parliament)] may by law admit into the Federation new States or areas on such terms and conditions as it thinks fit.]","۱۔ مملکت پاکستان ایک وفاقی جمہوریہ ہوگی جس کا نام اسلامی جمہوریہ پاکستان ہوگا جسے بعد ازیں پاکستان کہا جائے گا۔

۲۔ پاکستان کے علاقے مندرجہ ذیل پر مشتمل ہوں گے:

- صوبہ جات: بلوچستان، خیبر پختونخوا، پنجاب اور سندھ؛
- دارالحکومت اسلام آباد کا علاقہ جس کا حوالہ بعد ازیں وفاقی دارالحکومت کے طور پر دیا گیا ہے؛
- ایسی ریاستیں اور علاقے جو الحاق کے ذریعے یا کسی اور طریقے سے پاکستان میں شامل ہیں یا ہو جائیں۔

۳۔ مجلس شوریٰ (پارلیمنٹ) بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود و شرائط پر داخل کر سکے گی جو وہ مناسب سمجھے۔","```پاکستان اور اس کے علاقے
11.	(1)	پاکستان ایک وفاقی جمہوریہ ہوگا جسے اسلامی جمہوریہ پاکستان کے نام سے جانا جائے گا، یہاں سے آگے پاکستان کہلائے جائے گا۔

2[(2)	پاکستان کے علاقے اس میں شامل ہوں گے—

صوبے 3[بلوچستان]، 4[خیبر پختونخوا]، پنجاب اور 5[سندھ]؛
دار الحکومت اسلام آباد، یہاں سے آگے فیڈرل کیپیٹل کہلائے جائے گا؛ 6[اور]
6[(سی)	*	*	*	*	*	*]

6[(سی)] وہ ریاستیں اور علاقے جو پاکستان میں شامل ہیں یا ہو سکتے ہیں، چاہے انضمام کے ذریعے ہو یا کسی اور طریقے سے۔

(3) 7[مجلس شوریٰ (پارلیمنٹ)] قانون کے ذریعے نئی ریاستیں یا علاقے فیڈریشن میں شامل کر سکتی ہے جن شرائط پر وہ فیصلہ کرے۔]```"
"Annual Budget Statement

(1) The Federal Government shall, in respect of every financial year, cause to be laid before the National Assembly a statement of the estimated receipt and expenditure of the Federal Government for that year, in this Part, referred to as the Annual Budget Statement.

The Annual Budget Statement shall show separately—

the sums required to meet expenditure described by the Constitution as expenditure charged upon the Federal Consolidated Fund; and

the sums required to meet other expenditure proposed to be made from the Federal Consolidated Fund;

and shall distinguish expenditure on revenue account from other expenditure.","سالانہ کیفیت نامہ

(1) وفاقی حکومت ہر مالی سال کی بابت، وفاقی حکومت کی اس سال کی تخمینی آمدنی اور مصارف کا بجٹ کیفیت نامہ قومی اسمبلی کے سامنے پیش کرائے گی، جس کا اس حصہ میں سالانہ کیفیت نامہ بجٹ کے طور پر حوالہ دیا گیا ہے۔

سالانہ کیفیت نامہ بجٹ میں مندرجہ ذیل علیحدہ علیحدہ ظاہر کی جائیں گی—

الف) ایسی رقوم جو ان مصارف کو پورا کرنے کے لیے درکار ہوں جنہیں دستور میں وفاقی مجموعی فنڈ پر واجب الادا بیان کیا گیا ہے؛ اور

ب) ایسی رقوم جو ایسے دیگر مصارف کو پورا کرنے کے لیے درکار ہوں، جن کی وفاقی مجموعی فنڈ سے ادائیگی کی تجویز کی گئی ہو؛

اور محاصل کے حساب میں سے ہونے والے مصارف اور دیگر مصارف میں تفریق رکھی جائے گی۔","سالانہ بجٹ بیان

(1) وفاقی حکومت ہر سال کے لیے قومی اسمبلی کے سامنے وفاقی حکومت کے اندازے کردہ وصولی اور اخراجات کا بیان پیش کروائے گی، اس حصے میں سالانہ بجٹ بیان کہلائے گا۔

سالانہ بجٹ بیان میں الگ الگ دکھایا جائے گا—

آئین کے ذریعے وفاقی مجموعی فنڈ پر عائد اخراجات کے طور پر بیان کیے گئے اخراجات کو پورا کرنے کے لیے درکار رقم؛ اور

وفاقی مجموعی فنڈ سے کیے جانے والے دیگر اخراجات کو پورا کرنے کے لیے درکار رقم؛

اور یہ آمدنی کے حساب سے اخراجات کو دوسرے اخراجات سے الگ کرے گا۔"
"Ownerless property

(1)      Any property which has no rightful owner shall, if located in a Province, vest in the Government of that Province, and in every other case, in the Federal Government.

(2) All lands, minerals and other things of value within the continental shelf or underlying the ocean 1[beyond] the territorial waters of Pakistan shall vest in the Federal Government.

2[(3) Subject to the existing commitments and obligations, mineral oil and natural gas within the Province or the territorial water adjacent thereto shall vest jointly and equally in that Province and the Federal Government.]","ﺑﯿﺮﻭﻥ ﻣﻠﮏ ﺟﺎﺋﯿﺪﺍﺩ

(1) ﺍﯾﺴﯽ ﮐﻮﺋﯽ ﺟﺎﺋﯿﺪﺍﺩ، ﺟﺲ ﮐﺎ ﮐﻮﺋﯽ ﺟﺎﺋﺰ ﻣﺎﻟﮏ ﻧﮧ ﮨﻮ، ﺍﮔﺮ ﮐﺴﯽ ﺻﻮﺑﮯ ﻣﯿﮟ ﻭﺍﻗﻊ ﮨﻮ، ﺗﻮ ﺍﺱ ﺻﻮﺑﮧ ﮐﯽ ﺣﮑﻮﻣﺖ ﮐﯽ ﻣﻠﮑﯿﺖ ﮨﻮﮔﯽ، ﺍﻭﺭ ﮨﺮ ﺩﻭﺳﺮﯼ ﺻﻮﺭﺕ ﻣﯿﮟ، ﻭﻓﺎﻗﯽ ﺣﮑﻮﻣﺖ ﮐﯽ ﻣﻠﮑﯿﺖ ﮨﻮﮔﯽ۔

(2) ﺗﻤﺎﻡ ﺍﺭﺍﺿﯿﺎﺕ، ﻣﻌﺪﻧﯿﺎﺕ، ﺍﻭﺭ ﺩﻭﺳﺮﯼ ﻗﯿﻤﺘﯽ ﺍﺷﯿﺎﺀ ﺟﻮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﮯ ﺑﺮﺍﻋﻈﻤﯽ ﮐﻨﺎﺭﺁﺏ ﮐﮯ ﺍﻧﺪﺭ، ﯾﺎ ﭘﺎﮐﺴﺘﺎﻥ ﮐﮯ ﻋﻼﻗﺎﺋﯽ ﺳﻤﻨﺪﺭ ﮐﯽ ﺣﺪ ﭘﺮ ﺳﻤﻨﺪﺭ ﮐﮯ ﻧﯿﭽﮯ ﮨﻮﮞ، ﻭﻓﺎﻗﯽ ﺣﮑﻮﻣﺖ ﮐﯽ ﻣﻠﮑﯿﺖ ﮨﻮﮞ ﮔﯽ۔

(3) ﻣﻮﺟﻮﺩﮦ ﭘﺎﺑﻨﺪﯾﻮﮞ ﺍﻭﺭ ﻭﺍﺟﺒﺎﺕ ﮐﮯ ﻣﻄﺎﺑﻖ، ﺻﻮﺑﮯ ﮐﮯ ﺍﻧﺪﺭ ﻣﻌﺪﻧﯽ ﺗﯿﻞ ﺍﻭﺭ ﻗﺪﺭﺗﯽ ﮔﯿﺱ ﯾﺎ ﻋﻼﻗﺎﺋﯽ ﺳﻤﻨﺪﺭ ﺳﮯ ﻣﻠﺤﻖ ﮨﻮﮞ، ﻭﮦ ﺍﺱ ﺻﻮﺑﮯ ﺍﻭﺭ ﻭﻓﺎﻗﯽ ﺣﮑﻮﻣﺖ ﮐﻮ ﻣﺸﺘﺮﮐﮧ ﺍﻭﺭ ﻣﺴﺎﻭﯼ ﻃﻮﺭ ﭘﺮ ﺗﻔﻮﯾﺾ ﮐﺮﺩﺋﯿﮟ ﮔﯽ۔","مالکانہ جائیداد

(1) کوئی بھی جائیداد جس کا کوئی حقیقی مالک نہ ہو، اگر وہ کسی صوبے میں واقع ہے تو وہ اس صوبے کی حکومت کی ملکیت میں چلی جائے گی، اور ہر دوسرے حالت میں، وفاقی حکومت کی ملکیت میں چلی جائے گی۔

(2) پاکستان کے سمندری پانیوں سے باہر کے ساحلی پٹی یا سمندر کے نیچے کی تمام زمینیں، معدنیات اور دیگر قیمتی چیزیں وفاقی حکومت کی ملکیت میں چلی جائیں گی۔

2[(3) موجودہ زمہ داریوں اور پابندیوں کے تابع، صوبے یا اس کے ساتھ لگے سمندری پانیوں میں معدنی تیل اور قدرتی گیس برابر و برابر اس صوبے اور وفاقی حکومت کی ملکیت میں چلی جائے گی۔]"
"Elections by secret ballot

2[226. All elections under the Constitution, other than those of the Prime Minister and the Chief Minister, shall be by secret ballot.]",۲۲۶۔ دستور کے تحت تمام انتخابات، سوائے وزیر اعظم اور وزیر اعلیٰ کے، خفیہ رائے دہی کے ذریعے ہوں گے۔,"```مخفی رائے شماری سے انتخابات

2[226. آئین کے تحت تمام انتخابات، وزیر اعظم اور وزیر اعلیٰ کے انتخابات کے علاوہ، مخفی رائے شماری سے ہوں گے۔]```"
"Inconsistency between Federal and Provincial law

5[143. If any provision of an Act of a Provincial Assembly is repugnant to any provision of an Act of Majlis-e-Shoora (Parliament) which Majlis-e- Shoora (Parliament) is competent to enact, then the Act of Majlis-e- Shoora (Parliament), whether passed before or after the Act of the Provincial Assembly, shall prevail and the Act of the Provincial Assembly shall, to the extent of the repugnancy, be void.]",۳۴۱۔ اگر کسی صوبائی اسمبلی کے کسی ایکٹ کا کوئی حکم مجلس شوریٰ (پارلیمنٹ) کے کسی ایکٹ کے کسی حکم سے متصادم ہو جسے وضع کرنے کی مجلس شوریٰ (پارلیمنٹ) مجاز ہو تو مجلس شوریٰ (پارلیمنٹ) کا ایکٹ، خواہ وہ صوبائی اسمبلی کے ایکٹ سے پہلے منظور ہوا ہو یا بعد میں، غالب رہے گا اور صوبائی اسمبلی کا ایکٹ تناقض کی حد تک باطل ہوگا۔,```صوبائی ایوان کے کسی قانون کا کوئی دفعہ قومی اسمبلی کے کسی قانون کے کسی دفعہ کے منافی ہو جسے قومی اسمبلی بنا سکتی ہے، تو قومی اسمبلی کا قانون چاہے وہ صوبائی ایوان کے قانون سے پہلے منظور ہو یا بعد میں، غالب ہوگا اور صوبائی ایوان کا قانون مخالفت کے اس حد تک باطل ہوگا۔```
"Finance Committees

(1) The expenditure of the National Assembly and the Senate within authorised appropriations shall be controlled by the National Assembly or, as the case may be, the Senate acting on the advice of its Finance Committee.

The Finance Committee shall consist of the Speaker or, as the case may be, the Chairman, the Minister of Finance and such other members as may be elected thereto by the National Assembly or, as the case may be, the Senate.

The Finance Committee may make rules1 for regulating its procedure.","مالیاتی کمیٹی

(1) منظور شدہ مدبندی کے دائرے میں قومی اسمبلی اور سینیٹ کے خرچ پر قومی اسمبلی یا، جیسی بھی صورت ہو، سینیٹ اپنی مالیاتی کمیٹی کے مشورے پر عمل کرتے ہوئے کنٹرول کرے گی۔

(2) مالیاتی کمیٹی اسپیکر، یا جیسی بھی صورت ہو، چیئرمین، وزیر مالیات اور ایسے دیگر ارکان پر مشتمل ہوگی جنہیں اس کے لیے قومی اسمبلی یا، جیسی بھی صورت ہو، سینیٹ منتخب کرے۔

(3) مالیاتی کمیٹی اپنے طریقہ کار کے انضباط کے لیے قواعد وضع کر سکے گی۔","مالیاتی کمیٹیاں

(1) قومی اسمبلی اور سینیٹ کی اخراجات منظور شدہ تخصیصات کے اندر قومی اسمبلی یا کیسے بھی ہو، سینیٹ کے اپنی مالیاتی کمیٹی کی رائے پر عمل کرتے ہوئے کنٹرول کی جائیں گی۔

مالیاتی کمیٹی میں سپیکر یا کیسے بھی ہو، چیئرمین، مالیات کے وزیر اور ایسے دیگر اراکین شامل ہوں گے جو قومی اسمبلی یا کیسے بھی ہو، سینیٹ کے ذریعے اس کے لیے منتخب کیے جائیں گے۔

مالیاتی کمیٹی اپنی کارروائی کو ضابطہ جاری کرنے کے لیے قوانین1 بنا سکتی ہے۔"
"Acting Chief Justice

At any time when—

the office of Chief Justice of Pakistan is vacant; or

the Chief Justice of Pakistan is absent or is unable to perform the functions of his office due to any other cause,

the President shall appoint 2[the most senior of the other Judges of the Supreme Court] to act as Chief Justice of Pakistan.","قائم مقام چیف جسٹس

کسی وقت بھی جب—

الف: چیف جسٹس پاکستان کا عہدہ خالی ہو، یا

ب: چیف جسٹس پاکستان موجود نہ ہو یا کسی دیگر بناء پر اپنے کارہائے منصبی انجام دینے سے قاصر ہو،

تو صدر عدالت عظمیٰ کے دوسرے ججوں میں سے مقدم ترین جج کو قائم مقام چیف جسٹس پاکستان کی حیثیت سے مقرر کرے گا۔","```عدالت عظمیٰ پاکستان کے چیف جسٹس کا عہدہ خالی ہو؛ یا

چیف جسٹس پاکستان غیر حاضر ہوں یا اپنے عہدے کے فرائض انجام دینے سے قاصر ہوں کسی بھی دوسری وجہ سے،

صدر مملکت 2[عدالت عظمیٰ کے دیگر ججوں میں سب سے سینئر جج] کو عارضی طور پر چیف جسٹس پاکستان کے طور پر تعینات کریں گے۔```"
"Acquisition of land for Federal purposes

The Federation may, if it deems necessary to acquire any land situate in a Province for any purpose connected with a matter with respect to which 1[Majlis-e-Shoora (Parliament)] has power to make laws, require the Province to acquire the land on behalf, and at the expense, of the Federation or, if the land belongs to the Province, to transfer it to the Federation on such terms as may be agreed or, in default of agreement, as may be determined by an arbitrator appointed by the Chief Justice of Pakistan.",۲۵۱۔ اگر وفاق کسی اراضی کو جو کسی صوبے میں واقع ہو کسی ایسے مقصد کے لیے جو وفاقی اغراض کے لیے ہو، حاصل کرنا ضروری خیال کرے تو وہ اس صوبے کو حکم دے سکے گا کہ وہ اس اراضی کو وفاق کی طرف سے اور اس کے خرچ پر حاصل کرے یا، اگر اراضی صوبے کی ملکیت ہو تو اسے وفاق کے نام ایسی شرائط پر منتقل کر دے، جو طے پا جائیں یا، طے نہ پانے کی صورت میں، چیف جسٹس پاکستان کے مقرر کردہ کسی ثالث کی طرف سے طے کی جائیں۔,"```برائے وفاقی مقاصد زمین کا حصول

وفاق اگر ضروری سمجھے تو کسی بھی صوبے میں واقع کسی زمین کا حصول کر سکتا ہے جو ایسے معاملے سے متعلق ہو جس میں مجلس شوریٰ (پارلیمنٹ) قانون سازی کا اختیار رکھتی ہے۔ وفاق صوبے کو زمین کا حصول وفاق کی طرف سے اور وفاق کے اخراجات پر کرنے کا حکم دے سکتا ہے یا اگر زمین صوبے کی ملکیت ہے تو اسے وفاق کو ایسی شرائط پر منتقل کرنے کا حکم دے سکتا ہے جو طے ہوں یا اتفاق نہ ہونے کی صورت میں پاکستان کے چیف جسٹس کے ذریعے نامزد کردہ مصالحت کار کے فیصلے کے مطابق ہوں۔```"
