id,answers,prediction_text_gemini
77,وہ اعمال جو توہین عدالت سمجھے جا سکتے ہیں ان میں عدالت کی قانونی کارروائی کی مذمت کرنا، اس میں مداخلت یا مزاحمت کرنا، عدالت کے کسی حکم کی نافرمانی کرنا، عدالت یا جج کو بدنام کرنا، کوئی ایسا فعل کرنا جو عدالت یا جج کے بارے میں نفرت، تضحیک یا توہین کا باعث ہو، عدالت کے سامنے زیر سماعت معاملے کے فیصلے پر مضر اثر ڈالنا، یا کوئی اور ایسا فعل کرنا جو قانون کے تحت توہین عدالت کا موجب ہو۔,عدالت کی قانونی کارروائی کی مذمت، مداخلت، مزاحمت یا عدالتی حکم کی نافرمانی؛ عدالت کو بدنام کرنا یا ایسے افعال کرنا جو عدالت یا جج کے بارے میں نفرت، تضحیک یا توہین کا باعث بنیں؛ ایسے افعال کرنا جو زیر سماعت معاملے کے فیصلے پر مضر اثر ڈالیں؛ یا کوئی بھی دوسرا فعل جو قانون کے مطابق توہین عدالت تصور ہو۔
78,ایسے قانونی مقدمات وفاق کی طرف سے یا اس کے خلاف کیے جائیں گے، اور اگر یوم آغاز سے عین قبل کوئی مذکورہ قانونی کارروائی کسی عدالت میں تصفیہ طلب تھی تو اس صورت میں اس کارروائی میں اس دن سے صوبے کی بجائے وفاق کا تبدیل کیا جانا متصور ہوگا۔,ایسی قانونی کارروائی وفاق کی طرف سے یا اس کے خلاف کی جائے گی اور اگر یہ مقدمہ یومِ آغاز سے قبل کسی عدالت میں زیرِ سماعت تھا تو اس صوبے کی بجائے وفاق کو اس مقدمے میں فریق بنایا جائے گا۔
79,نہیں، اس آرٹیکل کی رو سے ایڈووکیٹ جنرل ووٹ دینے کا مستحق نہیں ہے۔,نہیں۔
80,نہیں، کسی ملزم کو اپنے خلاف گواہ بننے پر مجبور نہیں کیا جا سکتا۔,نہیں۔
81,جی ہاں، مجلس شوریٰ (پارلیمنٹ) بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود و شرائط پر داخل کر سکے گی جو وہ مناسب سمجھے۔,جی ہاں، مجلسِ شوریٰ (پارلیمنٹ) بذریعہ قانون ایسی قیود و شرائط پر نئی ریاستوں یا علاقوں کو وفاق میں شامل کر سکتی ہے جو وہ مناسب سمجھے۔
82,ہر سال قومی اسمبلی کے سامنے بجٹ پیش کرنے کی ذمہ داری وفاقی حکومت کی ہے۔,وفاقی حکومت کی۔
83,اگر قومی اسمبلی کی مجموعی رکنیت کی اکثریت سے عدم اعتماد کا ووٹ منظور ہو جائے، تو وزیرِاعظم عہدے پر فائز نہیں رہے گا۔,وزیرِاعظم عہدے پر فائز نہیں رہیں گے۔
84,صدر بل کی منظوری دے سکتا ہے یا، کسی ایسے بل کی صورت میں جو مالی بل نہ ہو، اسے مجلس شوریٰ (پارلیمنٹ) میں ایک پیغام کے ساتھ واپس بھیج سکتا ہے کہ بل پر دوبارہ غور کیا جائے اور ممکنہ ترامیم پر غور کیا جائے۔,صدر کے پاس دو اختیارات ہوتے ہیں: یا تو وہ بل کی منظوری دے دے، یا پھر (اگر وہ مالی بل نہ ہو تو) اسے ایک پیغام کے ساتھ پارلیمنٹ کو واپس بھیج دے کہ اس پر دوبارہ غور کیا جائے۔
85,وفاقی حکومت پاکستان کی علاقائی سمندری حدود سے باہر براعظمی کنارے یا سمندر کے نیچے تمام اراضیات، معدنیات اور دیگر قیمتی اشیاء کی مالک ہے۔,وفاقی حکومت۔
86,پارلیمانی کمیٹی سینٹ کے چار اراکین پر مشتمل ہوتی ہے۔,چار
87,صدر کے پاس وفاقی قانون کے احکام کے مطابق شجاعت، مسلح افواج میں قابل تعریف خدمت، تعلیمی امتیاز، یا کھیلوں یا نرسنگ کے میدان میں امتیاز کے اعتراف کے طور پر اعزازی نشانات دینے کا اختیار ہے۔,صدرِ مملکت کے پاس۔
88,وزیر اعظم اور وزیر اعلیٰ کے علاوہ دیگر عہدوں کے انتخابات خفیہ رائے دہی کے ذریعے منعقد کیے جاتے ہیں۔,خفیہ رائے دہی کے ذریعے۔
89,اگر پاکستان میں کسی صوبائی قانون کا وفاقی قانون سے تصادم ہو جائے تو وفاقی قانون غالب رہے گا اور صوبائی قانون تناقض کی حد تک باطل ہوگا۔,وفاقی قانون غالب رہے گا اور صوبائی قانون تناقض کی حد تک باطل ہوگا۔
90,جی ہاں، وزیر اعلیٰ گورنر کے نام اپنی دستخطی تحریر کے ذریعے اپنے عہدے سے استعفیٰ دے سکتا ہے۔,جی ہاں، وزیر اعلیٰ گورنر کے نام اپنی دستخطی تحریر کے ذریعے اپنے عہدے سے استعفیٰ دے سکتا ہے۔
91,قومی اسمبلی اور سینیٹ کے خرچ پر قومی اسمبلی یا سینیٹ اپنی مالیاتی کمیٹی کے مشورے پر عمل کرتے ہوئے کنٹرول کرتی ہے۔,قومی اسمبلی یا سینیٹ اپنی مالیاتی کمیٹی کے مشورے پر۔
92,صدر عدالت عظمیٰ کے دوسرے ججوں میں سے مقدم ترین جج کو قائم مقام چیف جسٹس پاکستان کی حیثیت سے مقرر کرے گا۔,صدرِ مملکت عدالتِ عظمیٰ کے دوسرے ججوں میں سے سینئر ترین جج کو قائم مقام چیف جسٹس پاکستان مقرر کریں گے۔
93,صدر صوبائی حکومت کے فرائض اس وقت سنبھال سکتا ہے جب اسے صوبے کے گورنر کی طرف سے رپورٹ موصول ہو اور وہ مطمئن ہو کہ صوبائی حکومت دستور کے احکام کے مطابق نہیں چلائی جا سکتی۔,اگر صدر کو صوبے کے گورنر کی رپورٹ سے یا پارلیمنٹ کے دونوں ایوانوں کی قرارداد سے یہ اطمینان ہو جائے کہ صوبے میں آئین کے مطابق حکومت نہیں چلائی جا سکتی تو وہ خود یا گورنر کے ذریعے صوبائی حکومت کے کچھ یا تمام فرائض سنبھال سکتا ہے۔
94,نہیں، اسلامی تعلیمات سے متعلق نااہلیاں غیر مسلموں پر لاگو نہیں ہوتیں، لیکن ایسا شخص اچھی اخلاقی شہرت کا حامل ہونا چاہیے۔,نہیں۔
95,جی ہاں، وفاق کسی بھی مقصد کے لیے جو پارلیمنٹ کے قانون سازی کے دائرہ کار میں آتا ہو، کسی صوبے میں اراضی حاصل کر سکتا ہے۔,جی ہاں، وفاق اپنے وفاقی اغراض کے لیے کسی صوبے میں اراضی حاصل کر سکتا ہے۔
96,نہیں، کسی شخص کو ایسا کام کرنے پر مجبور نہیں کیا جا سکتا جو قانوناً ضروری نہ ہو۔,نہیں۔
97,نہیں، کسی ایسے شخص کی درخواست پر یا اس کے بارے میں حکم صادر نہیں کیا جائے گا جو مسلح افواج پاکستان کا رکن ہو، اس کی شرائط ملازمت کی نسبت، اس کی ملازمت سے پیدا ہونے والے کسی معاملے کی نسبت، یا مسلح افواج پاکستان کے ایک رکن کے طور پر اس کے بارے میں کی گئی کسی کارروائی کی نسبت۔,نہیں۔
98,جی ہاں، اس باب کے تحت عدالت کے فیصلے عدالت عالیہ اور اس کی ماتحت عدالتوں پر واجب التعمیل ہوتے ہیں۔,جی، آرٹیکل 203 ڈی اور 203 ایف کے تابع، اس باب کے تحت عدالت کے فیصلے ماتحت عدالتوں پر واجب التعمیل ہیں۔
99,عدالت عظمیٰ میں شریعت مرافعہ بینچ تین مسلمان ججوں اور صدر کی طرف سے مقرر کردہ زیادہ سے زیادہ دو علماء پر مشتمل ہو سکتا ہے۔,عدالتِ عظمیٰ کے تین مسلم جج اور وفاقی شرعی عدالت کے ججوں میں سے یا علماء کی ایسی فہرست میں سے جسے صدر چیف جسٹس کے مشورے سے مرتب کرے گا زیادہ سے زیادہ دو علماء جنہیں صدر بینچ کے اجلاس میں شرکت کرنے کے لیے بطورِ ارکان بغرضِ خاص مقرر کرے گا۔
100,گورنر کو کابینہ یا وزیر اعلیٰ کے مشورے پر عمل کرنا ہوتا ہے۔,کابینہ یا وزیرِ اعلیٰ کے مشورے پر۔
101,کسی صوبائی اسمبلی میں زیر غور کوئی بل، اسمبلی کے تحلیل ہونے پر ساقط ہوجائے گا۔,صوبائی اسمبلی کے تحلیل ہونے پر زیرِ غور بل ساقط ہو جائے گا۔
102,دستور میں ترمیم کرنے کا بل کسی بھی ایوان میں شروع کیا جا سکتا ہے۔,دستور میں ترمیم کرنے کے بل کی ابتدا کسی بھی ایوان میں کی جا سکتی ہے۔
103,اگر کوئی شخص یوم آغاز سے قبل قومی اسمبلی اور صوبائی اسمبلی دونوں کا رکن ہو، تو اسے کسی ایک نشست سے مستعفی ہونا پڑے گا قبل اس کے کہ وہ کسی بھی اسمبلی میں نشست سنبھالے۔,اسے اپنی دونوں نشستوں میں سے ایک سے استعفی دینا ہوگا۔
104,سینیٹ کے ارکان کی میعاد چھ سال ہوتی ہے۔,چھ سال۔
105,جی ہاں، کوئی ایوان اپنی رکنیت میں خالی جگہوں کے باوجود کام جاری رکھ سکتا ہے۔,جی ہاں۔
106,جی ہاں، صدر گورنر کو وفاق کے ایسے علاقوں سے متعلق کارہائے منصبی انجام دینے کا حکم دے سکتا ہے جو کسی صوبے میں شامل نہیں ہیں۔,جی ہاں، صدر کسی صوبے کے گورنر کو وفاق کے ایسے علاقوں کے معاملات سنبھالنے کا حکم دے سکتا ہے جو کسی صوبے میں شامل نہیں ہیں۔
107,نتائج کو صرف ایک انتخابی درخواست کے ذریعے ٹربیونل کے سامنے پیش کر کے چیلنج کیا جا سکتا ہے، جو مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے مقرر کیا گیا ہو۔,الیکشن ٹربیونل میں درخواستِ انتخابی تنازعہ دائر کر کے، جس کا طریقہ کار پارلیمنٹ کے ایکٹ میں طے ہے۔
108,قومی مالیاتی کمیشن یوم آغاز سے چھ ماہ کے اندر اور اس کے بعد ایسے وقفوں سے جو پانچ سال سے متجاوز نہ ہوں، تشکیل دیا جانا چاہیے۔,ہر پانچ سال بعد از کم ایک مرتبہ۔
109,جی ہاں، انتظامی عدالتوں یا ٹربیونلز کے فیصلوں کے خلاف عدالت عظمیٰ میں اپیل کی جا سکتی ہے، لیکن صرف اس صورت میں جب عدالت عظمیٰ اس بات کا اطمینان کر لے کہ مقدمے میں عوامی اہمیت کا حامل کوئی اہم امر قانونی شامل ہے اور اپیل دائر کرنے کی اجازت دے دے۔,جی ہاں، لیکن صرف اس صورت میں جب عدالتِ عظمیٰ کو یہ اطمینان ہو جائے کہ مقدمے میں عوامی اہمیت کا حامل کوئی اہم قانونی نکتہ موجود ہے۔
110,اگر کسی خدمت کے لیے مختص کردہ بجٹ مالی سال کے دوران ناکافی ہو تو صوبائی حکومت صوبائی مجموعی فنڈ سے اضافی خرچ کی منظوری دے سکتی ہے اور صوبائی اسمبلی کے سامنے ایک ضمنی کیفیت نامہ میزانیہ پیش کر سکتی ہے۔,صوبائی حکومت صوبائی مجموعی فنڈ سے خرچ کی منظوری دے سکتی ہے اور صوبائی اسمبلی میں ایک ضمنی کیفیت نامہ میزانیہ پیش کرے گی۔
111,کوئی شخص سنگین غداری کا مجرم ہو سکتا ہے اگر وہ طاقت کے استعمال، طاقت کے مظاہرے، یا کسی دیگر غیر آئینی ذرائع سے دستور کی تنسیخ، تخریب، معطلی، یا التواء میں رکھے، یا اگر وہ ایسا کرنے کی کوشش یا سازش کرے۔,آئین کو طاقت کے استعمال یا غیر آئینی ذرائع سے منسوخ، ختم، معطل یا موخر کرنے کا اقدام، یا ایسی کسی سازش میں ملوث ہونا، یا ایسے اقدامات میں مدد، اعانت یا شرکت کرنا۔
112,جی ہاں، عدالت عظمیٰ انصاف کے مفاد میں کسی مقدمے، اپیل یا دیگر کارروائی کو ایک عدالت عالیہ سے دوسری عدالت عالیہ میں منتقل کر سکتی ہے۔,جی ہاں، اگر انصاف کے مفاد میں ایسا کرنا مناسب سمجھے تو عدالتِ عظمیٰ کسی مقدمے، اپیل یا دیگر کارروائی کو ایک عدالتِ عالیہ سے دوسری عدالتِ عالیہ میں منتقل کر سکتی ہے۔
113,عدالت عالیہ سندھ و بلوچستان، بلوچستان اور سندھ کے صوبوں کے لیے مشترکہ عدالت عالیہ کے طور پر کام کرنا بند کر دے گی۔,سندھ اور بلوچستان کی مشترکہ عدالتِ عالیہ کو ختم کر کے دونوں صوبوں کے لیے الگ الگ عدالتیں قائم کر دی گئیں۔ صدرِ مملکت نے ایک فرمان کے ذریعے یہ تبدیلی نافذ کی۔
114,وفاق کا یہ فرض ہوگا کہ ہر صوبے کو بیرونی جارحیت اور اندرونی خلفشار سے محفوظ رکھے۔,وفاق کا فرض ہے کہ وہ ہر صوبے کو بیرونی جارحیت اور اندرونی خلفشار سے محفوظ رکھے اور اس بات کو یقینی بنائے کہ ہر صوبے کی حکومت آئین کے مطابق چلائی جائے۔
115,اگر صدر صوبائی اسمبلی کی قرارداد کے بغیر داخلی خلفشار کی وجہ سے ہنگامی حالت کا اعلان کرے تو ہنگامی حالت کے اعلان کو مجلس شوریٰ (پارلیمنٹ) کے دونوں ایوانوں کے روبرو دس دن کے اندر منظوری کے لیے پیش کیا جائے گا۔,ایسے اعلان کو پارلیمنٹ کے دونوں ایوانوں سے دس دن کے اندر منظوری کے لیے پیش کرنا ہوگا۔
116,جی ہاں، وفاقی حکومت صوبے کو ایسے ذرائع مواصلات کی تعمیر اور نگہداشت کے بارے میں ہدایات دے سکتی ہے جنہیں قومی یا فوجی اہمیت کا حامل قرار دیا گیا ہو۔,جی ہاں، اگر وفاقی حکومت ہدایت میں ان ذرائع مواصلات کو قومی یا فوجی اہمیت کا حامل قرار دے۔
117,صدر کو قومی اسمبلی کے لیے ہر عام انتخاب کے بعد پہلے اجلاس کے آغاز پر اور ہر سال کے پہلے اجلاس کے آغاز پر دونوں ایوانوں سے یکجا خطاب کرنا ہوتا ہے۔,صدر کو قومی اسمبلی کے ہر عام انتخابات کے بعد پہلے اجلاس کے آغاز پر اور ہر سال کے پہلے اجلاس کے آغاز پر یکجا دونوں ایوانوں سے خطاب کرنا ہوتا ہے۔
118,جی ہاں، ۱۹۷۷ء اور ۲۰۰۲ء کے فرامین کے تحت منعقد شدہ انتخابات کا اثر ایسے ہوگا جیسے وہ دستور کے تحت منعقد ہوئے ہوں۔,جی ہاں، آئین کے تحت انہیں موثر اور قانونی حیثیت دی گئی ہے۔
119,وزیر اعظم مشترکہ مفادات کی کونسل کا چیئرمین ہوتا ہے۔,وزیرِ اعظم
120,نہیں، کسی شخص کو شہادت حاصل کرنے کی غرض سے اذیت نہیں دی جائے گی۔,نہیں۔
121,سینیٹ میں اسپیکر اور ڈپٹی اسپیکر کے مساوی عہدے چیئرمین اور ڈپٹی چیئرمین ہیں۔,چیئرمین اور ڈپٹی چیئرمین۔
122,مالی بل کی ابتدا قومی اسمبلی میں ہوگی۔,قومی اسمبلی سے۔
123,عارضی تقرری اس وقت تک برقرار رہتی ہے جب تک کہ صدر اس کو منسوخ نہ کر دے۔,صدرِ مملکت جب تک اسے منسوخ نہ کر دیں۔
