id,answers,prediction_text_mistral
67,نہیں، کسی ایسے معاملے کے بارے میں جو کونسل کے سامنے زیر بحث ہوا رہا ہو معاملہ کے کسی فریق کی تحریک پر یا کسی ایسے معاملے کے بارے میں، جو اس آرٹیکل کے تحت کونسل کے سامنے شکایت کا مناسب موضوع فی الواقع ہو، یا رہا ہو سکتا ہو یا ہونا چاہیے، کسی بھی شخص کی تحریک پر، کسی عدالت کے سامنے کوئی کارروائی نہیں کی جائے گی۔,نہیں، عدالت کسی ایسے معاملے کے بارے میں کوئی کارروائی نہیں کر سکتی جو کونسل کے سامنے زیر بحث ہوا رہا ہو یا جو کونسل کے سامنے شکایت کا مناسب موضوع فی الواقع ہو، رہا ہو سکتا ہو یا ہونا چاہیے۔
68,نہیں، ایسا بل صدر کی ماقبل منظوری کے بغیر قومی اسمبلی میں پیش نہیں کیا جا سکتا۔,نہیں، کوئی ایسا بل جو صوبوں میں ٹیکس کی تقسیم کو تبدیل کرتا ہو، صدر کی پیشگی منظوری کے بغیر قومی اسمبلی میں پیش نہیں کیا جا سکتا۔
69,جی ہاں، یوم آغاز سے چھ ماہ کی مدت کے لیے، کوئی وفاقی وزیر یا وزیر مملکت یا کسی صوبے کا وزیر اعلیٰ یا صوبائی وزیر ایسا شخص ہو سکتا ہے جو پارلیمنٹ یا اس صوبے کی صوبائی اسمبلی کا رکن نہ ہو۔,ہاں، نیا دستور شروع ہونے کے بعد، یوم آغاز سے چھ ماہ کی مدت کے لیے، کوئی وفاقی وزیر یا کوئی وزیر مملکت یا کسی صوبے کا وزیر اعلیٰ یا کوئی صوبائی وزیر ایسا شخص ہو سکتا ہے جو مجلس شوریٰ (پارلیمنٹ) یا، جیسی بھی صورت ہو، اس صوبے کی صوبائی اسمبلی کا رکن نہ ہو۔
70,پاکستان میں قومی اسمبلی کے رکن منتخب ہونے کے لیے کم از کم عمر پچیس سال ہے۔,پچیس سال
71,عدالت عظمیٰ اور عدالت عالیہ کو توہین عدالت کی سزا دینے کا اختیار ہے۔,عدالت عظمیٰ یا کوئی عدالت عالیہ کو توہین عدالت کی سزا دینے کا اختیار ہے۔
72,چیف جسٹس عدالت عظمیٰ کے دوسرے ججوں کو حلف دلواتا ہے۔,چیف جسٹس کے سامنے
73,اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے، منسوخ کیا گیا ہے۔,اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے جن کے ذریعے اس دستور میں محذوفات، اضافے، ردوبدل یا ترامیم کی گئیں
74,صدر پاکستان کے اٹارنی جنرل کو مقرر کرتا ہے۔,صدر مقرر کرتا ہے۔
75,جی ہاں، حکومت کسی بھی تجارت یا پیشے کو اجرت نامہ کے طریقہ کار کے ذریعے منضبط کر سکتی ہے، آزادانہ مقابلہ کے مفاد کے پیش نظر تجارت، کاروبار یا صنعت کو منضبط کر سکتی ہے، اور دیگر اشخاص کو قطعی یا جزوی طور پر خارج کر کے کسی تجارت، کاروبار، صنعت یا خدمت کا انتظام کر سکتی ہے۔,ہاں، بعض شرائط قابلیت کے تابع کوئی پابندیاں ہیں کہ کون کاروبار یا تجارت چلا سکتا ہے۔
76,ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﺍﭘﻨﮯ ﭘﮩﻠﮯ ﺍﺟﻼﺱ ﮐﯽ ﺗﺎﺭﯾﺦ ﺳﮯ ﭘﺎﻧﭻ ﺳﺎﻝ ﮐﯽ ﻣﯿﻌﺎﺩ ﺗﮏ ﺑﺮﻗﺮﺍﺭ ﺭﮨﺘﯽ ﮨﮯ ﺍﻭﺭ ﺍﭘﻨﯽ ﻣﯿﻌﺎﺩ ﮐﮯ ﺍﺧﺘﺘﺎﻡ ﭘﺮ ﺗﻮﭦ ﺟﺎﺗﯽ ﮨﮯ۔,ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﮐﺎ ﺑﺮﻗﺮﺍﺭ ﭘﺎﻧﭻ ﺳﺎﻝ ﮐﯽ ﻣﯿﻌﺎﺩ ﺗﮏ ﺭﮨﺘﯽ ﮨﮯ ﺍﻭﺭ ﺗﻮﭦ ﺟﺎﺗﯽ ﮨﮯ۔
77,وہ اعمال جو توہین عدالت سمجھے جا سکتے ہیں ان میں عدالت کی قانونی کارروائی کی مذمت کرنا، اس میں مداخلت یا مزاحمت کرنا، عدالت کے کسی حکم کی نافرمانی کرنا، عدالت یا جج کو بدنام کرنا، کوئی ایسا فعل کرنا جو عدالت یا جج کے بارے میں نفرت، تضحیک یا توہین کا باعث ہو، عدالت کے سامنے زیر سماعت معاملے کے فیصلے پر مضر اثر ڈالنا، یا کوئی اور ایسا فعل کرنا جو قانون کے تحت توہین عدالت کا موجب ہو۔,عدالت کی قانونی کارروائی کی مذمت، اس میں مداخلت یا مزاحمت، عدالت کے حکم کی نافرمانی، عدالت کو بدنام کرنا، عدالت یا جج کے بارے میں نفرت، تضحیک یا توہین کا باعث بننے والے اعمال، عدالت کے سامنے زیر سماعت معاملے کے فیصلے پر مضر اثر پڑنے والے اعمال، یا بروز قانون توہین عدالت کا موجب بننے والے دوسرے اعمال توہین عدالت سمجھے جا سکتے ہیں۔
78,ایسے قانونی مقدمات وفاق کی طرف سے یا اس کے خلاف کیے جائیں گے، اور اگر یوم آغاز سے عین قبل کوئی مذکورہ قانونی کارروائی کسی عدالت میں تصفیہ طلب تھی تو اس صورت میں اس کارروائی میں اس دن سے صوبے کی بجائے وفاق کا تبدیل کیا جانا متصور ہوگا۔,اس کارروائی میں اس دن سے اس صوبے کی بجائے وفاق کا تبدیل کیا جانا متصور ہوگا۔
79,نہیں، اس آرٹیکل کی رو سے ایڈووکیٹ جنرل ووٹ دینے کا مستحق نہیں ہے۔,نہیں، ایڈووکیٹ جنرل کو صوبائی اسمبلی میں ووٹ دینے کی اجازت نہیں ہے۔
80,نہیں، کسی ملزم کو اپنے خلاف گواہ بننے پر مجبور نہیں کیا جا سکتا۔,نہیں، کسی ملزم کے لیے اپنے خلاف گواہی دینا لازمی نہیں ہے۔
81,جی ہاں، مجلس شوریٰ (پارلیمنٹ) بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود و شرائط پر داخل کر سکے گی جو وہ مناسب سمجھے۔,جی ہاں، نئی ریاستیں یا علاقے پاکستان کا حصہ بن سکتے ہیں۔
82,ہر سال قومی اسمبلی کے سامنے بجٹ پیش کرنے کی ذمہ داری وفاقی حکومت کی ہے۔,وفاقی حکومت کی ہے۔
83,اگر قومی اسمبلی کی مجموعی رکنیت کی اکثریت سے عدم اعتماد کا ووٹ منظور ہو جائے، تو وزیرِاعظم عہدے پر فائز نہیں رہے گا۔,اگر شق ۱ میں محولہ قرارداد کو قومی اسمبلی کی مجموعی رکنیت کی اکثریت سے منظور کرایا جائے، تو وزیرِاعظم عہدے پر فائز نہیں رہے گا۔
84,صدر بل کی منظوری دے سکتا ہے یا، کسی ایسے بل کی صورت میں جو مالی بل نہ ہو، اسے مجلس شوریٰ (پارلیمنٹ) میں ایک پیغام کے ساتھ واپس بھیج سکتا ہے کہ بل پر دوبارہ غور کیا جائے اور ممکنہ ترامیم پر غور کیا جائے۔,"جب کوئی بل منظوری کے لیے صدر کو پیش کیا جائے، تو صدر کے پاس دس دن کے اندر دو اختیارات ہوتے ہیں:
- بل کی منظوری دے گا؛ یا
- کسی ایسے بل کی صورت میں جو مالی بل نہ ہو، بل کو ایک پیغام کے ساتھ مجلس شوریٰ (پارلیمنٹ) میں واپس کر دے گا کہ بل پر، یا اس کے کسی مخصوص حکم پر، دوبارہ غور کیا جائے اور یہ کہ پیغام میں مذکور کسی ترمیم پر غور کیا جائے۔"
85,وفاقی حکومت پاکستان کی علاقائی سمندری حدود سے باہر براعظمی کنارے یا سمندر کے نیچے تمام اراضیات، معدنیات اور دیگر قیمتی اشیاء کی مالک ہے۔,پاکستان کی علاقائی سمندری حدود سے باہر براعظمی کنارے میں معدنیات اور دیگر قیمتی اشیاء کا مالک وفاقی حکومت ہے۔
86,پارلیمانی کمیٹی سینٹ کے چار اراکین پر مشتمل ہوتی ہے۔,سینٹ سے چار اراکین پارلیمانی کمیٹی میں شامل ہیں۔
87,صدر کے پاس وفاقی قانون کے احکام کے مطابق شجاعت، مسلح افواج میں قابل تعریف خدمت، تعلیمی امتیاز، یا کھیلوں یا نرسنگ کے میدان میں امتیاز کے اعتراف کے طور پر اعزازی نشانات دینے کا اختیار ہے۔,صدر وفاقی قانون کے احکام کے مطابق شجاعت، مسلح افواج میں قابل تعریف خدمت کے اعتراف میں اعزازی نشانات عطا کر سکے گا۔
88,وزیر اعظم اور وزیر اعلیٰ کے علاوہ دیگر عہدوں کے انتخابات خفیہ رائے دہی کے ذریعے منعقد کیے جاتے ہیں۔,خفیہ رائے دہی کے ذریعے منعقد ہوتے ہیں۔
89,اگر پاکستان میں کسی صوبائی قانون کا وفاقی قانون سے تصادم ہو جائے تو وفاقی قانون غالب رہے گا اور صوبائی قانون تناقض کی حد تک باطل ہوگا۔,اگر کسی صوبائی قانون کا وفاقی قانون سے تصادم ہو جائے تو وفاقی قانون غالب رہے گا اور صوبائی قانون تناقض کی حد تک باطل ہوگا۔
90,جی ہاں، وزیر اعلیٰ گورنر کے نام اپنی دستخطی تحریر کے ذریعے اپنے عہدے سے استعفیٰ دے سکتا ہے۔,ہاں، وزیر اعلیٰ اپنے عہدے سے استعفیٰ دے سکتا ہے۔
91,قومی اسمبلی اور سینیٹ کے خرچ پر قومی اسمبلی یا سینیٹ اپنی مالیاتی کمیٹی کے مشورے پر عمل کرتے ہوئے کنٹرول کرتی ہے۔,قومی اسمبلی یا، جیسی بھی صورت ہو، سینیٹ اپنی مالیاتی کمیٹی کے مشورے پر عمل کرتے ہوئے کنٹرول کرے گی۔
92,صدر عدالت عظمیٰ کے دوسرے ججوں میں سے مقدم ترین جج کو قائم مقام چیف جسٹس پاکستان کی حیثیت سے مقرر کرے گا۔,تو صدر عدالت عظمیٰ کے دوسرے ججوں میں سے مقدم ترین جج کو قائم مقام چیف جسٹس پاکستان کی حیثیت سے مقرر کرے گا۔
93,صدر صوبائی حکومت کے فرائض اس وقت سنبھال سکتا ہے جب اسے صوبے کے گورنر کی طرف سے رپورٹ موصول ہو اور وہ مطمئن ہو کہ صوبائی حکومت دستور کے احکام کے مطابق نہیں چلائی جا سکتی۔,اگر صدر، کسی صوبے کے گورنر کی طرف سے کوئی رپورٹ موصول ہونے پر مطمئن ہوجائے کہ ایسی صورتحال پیدا ہوگئی ہے جس میں صوبے کی حکومت دستور کے احکام کے مطابق نہیں چلائی جاسکتی، تو صدر کو اختیار ہوگا کہ اعلان کے ذریعے، خود سنبھال لے، یا صوبے کے گورنر کو ہدایت دے کہ وہ صدر کی جانب سے سنبھال لے، صوبے کی حکومت کے کل یا بعض کارہائے منصبی، اور ایسے کل یا بعض اختیارات جو صوبائی اسمبلی کے علاوہ صوبے کے کسی با اختیار ادارے یا ہیئت مجاز کو حاصل ہوں یا جن کو وہ استعمال کرسکتے ہوں۔
94,نہیں، اسلامی تعلیمات سے متعلق نااہلیاں غیر مسلموں پر لاگو نہیں ہوتیں، لیکن ایسا شخص اچھی اخلاقی شہرت کا حامل ہونا چاہیے۔,نہیں، پیراگراف (د) اور (ہ) میں صراحت کردہ نااہلیوں کا کسی ایسے شخص پر اطلاق نہیں ہوگا جو غیر مسلم ہو، لیکن ایسا شخص اچھی اخلاقی شہرت کا حامل ہوگا۔
95,جی ہاں، وفاق کسی بھی مقصد کے لیے جو پارلیمنٹ کے قانون سازی کے دائرہ کار میں آتا ہو، کسی صوبے میں اراضی حاصل کر سکتا ہے۔,ہاں، وفاق اپنے مقاصد کے لیے کسی صوبے میں اراضی حاصل کر سکتا ہے۔
96,نہیں، کسی شخص کو ایسا کام کرنے پر مجبور نہیں کیا جا سکتا جو قانوناً ضروری نہ ہو۔,جی نہیں، کسی شخص کو ایسا کام کرنے پر مجبور نہیں کیا جائے گا جس کا کرنا اس کے لیے قانوناً ضروری نہ ہو۔
97,نہیں، کسی ایسے شخص کی درخواست پر یا اس کے بارے میں حکم صادر نہیں کیا جائے گا جو مسلح افواج پاکستان کا رکن ہو، اس کی شرائط ملازمت کی نسبت، اس کی ملازمت سے پیدا ہونے والے کسی معاملے کی نسبت، یا مسلح افواج پاکستان کے ایک رکن کے طور پر اس کے بارے میں کی گئی کسی کارروائی کی نسبت۔,نہیں، پاکستان کی مسلح افواج کا کوئی رکن اس دائرہ اختیار کے تحت حکم کے لیے درخواست نہیں دے سکتا ہے۔
98,جی ہاں، اس باب کے تحت عدالت کے فیصلے عدالت عالیہ اور اس کی ماتحت عدالتوں پر واجب التعمیل ہوتے ہیں۔,جی ہاں، اس باب کے تحت عدالت کے فیصلے عدالت عالیہ اور اس کی ماتحت عدالتوں پر واجب التعمیل ہوتے ہیں۔
99,عدالت عظمیٰ میں شریعت مرافعہ بینچ تین مسلمان ججوں اور صدر کی طرف سے مقرر کردہ زیادہ سے زیادہ دو علماء پر مشتمل ہو سکتا ہے۔,عدالت عظمیٰ میں شریعت مرافعہ بینچ میں مسلمان جج کو مقرر کیا جا سکتا ہے۔
100,گورنر کو کابینہ یا وزیر اعلیٰ کے مشورے پر عمل کرنا ہوتا ہے۔,گورنر کابینہ یا وزیر اعلیٰ کے مشورے پر عمل کرے گا۔
101,کسی صوبائی اسمبلی میں زیر غور کوئی بل، اسمبلی کے تحلیل ہونے پر ساقط ہوجائے گا۔,کسی صوبائی اسمبلی میں زیر غور کوئی بل، اسمبلی کے تحلیل ہونے پر ساقط ہوجائے گا۔
102,دستور میں ترمیم کرنے کا بل کسی بھی ایوان میں شروع کیا جا سکتا ہے۔,دستور میں ترمیم کرنے کے بل کی ابتدا کسی بھی ایوان میں کی جا سکتی ہے۔
103,اگر کوئی شخص یوم آغاز سے قبل قومی اسمبلی اور صوبائی اسمبلی دونوں کا رکن ہو، تو اسے کسی ایک نشست سے مستعفی ہونا پڑے گا قبل اس کے کہ وہ کسی بھی اسمبلی میں نشست سنبھالے۔,اگر کوئی شخص یوم آغاز سے قبل قومی اسمبلی اور صوبائی اسمبلی دونوں کا رکن ہو، تو وہ قومی اسمبلی یا صوبائی اسمبلی میں کوئی نشست نہیں سنبھالے گا تاوقتیکہ وہ اپنی کسی ایک نشست سے مستعفی نہ ہوجائے۔
104,سینیٹ کے ارکان کی میعاد چھ سال ہوتی ہے۔,سینیٹ کے ارکان کی میعاد چھ سال ہوتی ہے۔
105,جی ہاں، کوئی ایوان اپنی رکنیت میں خالی جگہوں کے باوجود کام جاری رکھ سکتا ہے۔,ہاں، کوئی ایوان اپنی رکنیت میں خالی جگہوں کے باوجود کام جاری رکھ سکتا ہے۔
106,جی ہاں، صدر گورنر کو وفاق کے ایسے علاقوں سے متعلق کارہائے منصبی انجام دینے کا حکم دے سکتا ہے جو کسی صوبے میں شامل نہیں ہیں۔,جی ہاں، صدر کسی صوبے کے گورنر کو صوبے سے باہر کے معاملات سنبھالنے کا حکم دے سکتا ہے۔
107,نتائج کو صرف ایک انتخابی درخواست کے ذریعے ٹربیونل کے سامنے پیش کر کے چیلنج کیا جا سکتا ہے، جو مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے مقرر کیا گیا ہو۔,انتخابی نتائج کو درخواست انتخابی تنازعہ کے ذریعے چیلنج کیا جا سکتا ہے جو کسی ٹربیونل کے سامنے پیش کی جائے گی جو مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے مقرر کیا جائے۔
108,قومی مالیاتی کمیشن یوم آغاز سے چھ ماہ کے اندر اور اس کے بعد ایسے وقفوں سے جو پانچ سال سے متجاوز نہ ہوں، تشکیل دیا جانا چاہیے۔,قومی مالیاتی کمیشن کا تشکیل یوم آغاز سے چھ ماہ کے اندر کیا جانا چاہیے اور اس کے بعد ایسے وقفوں سے جو پانچ سال سے متجاوز نہ ہوں۔
109,جی ہاں، انتظامی عدالتوں یا ٹربیونلز کے فیصلوں کے خلاف عدالت عظمیٰ میں اپیل کی جا سکتی ہے، لیکن صرف اس صورت میں جب عدالت عظمیٰ اس بات کا اطمینان کر لے کہ مقدمے میں عوامی اہمیت کا حامل کوئی اہم امر قانونی شامل ہے اور اپیل دائر کرنے کی اجازت دے دے۔,ہاں، انتظامی عدالتوں یا ٹربیونلز کے فیصلوں کے خلاف عدالت عظمیٰ میں اپیل کی جا سکتی ہے، لیکن صرف اس صورت میں جب عدالت عظمیٰ اس بات کا اطمینان کر لینے کے بعد کہ مقدمے میں عوامی اہمیت کا حامل کوئی اہم امر قانونی شامل ہے، اپیل دائر کرنے کی اجازت دے دے۔
110,اگر کسی خدمت کے لیے مختص کردہ بجٹ مالی سال کے دوران ناکافی ہو تو صوبائی حکومت صوبائی مجموعی فنڈ سے اضافی خرچ کی منظوری دے سکتی ہے اور صوبائی اسمبلی کے سامنے ایک ضمنی کیفیت نامہ میزانیہ پیش کر سکتی ہے۔,اگر کسی خدمت کے لیے مختص کردہ بجٹ مالی سال کے دوران ناکافی ہو تو صوبائی حکومت کو اختیار ہوگا کہ صوبائی مجموعی فنڈ سے خرچ کی منظوری دے دے اور صوبائی اسمبلی کے سامنے ایک ضمنی کیفیت نامہ میزانیہ یا ایک زائد کیفیت نامہ میزانیہ پیش کرائے جس میں مذکورہ خرچ کی رقم درج ہو۔
111,کوئی شخص سنگین غداری کا مجرم ہو سکتا ہے اگر وہ طاقت کے استعمال، طاقت کے مظاہرے، یا کسی دیگر غیر آئینی ذرائع سے دستور کی تنسیخ، تخریب، معطلی، یا التواء میں رکھے، یا اگر وہ ایسا کرنے کی کوشش یا سازش کرے۔,کوئی بھی شخص جو طاقت کے استعمال یا طاقت سے یا دیگر غیر آئینی ذرائع سے دستور کی تنسیخ کرے، تخریب کرے، یا معطل کرے، یا التواء میں رکھے، یا اقدام کرے، یا تنسیخ کرنے کی سازش کرے، یا تخریب کرے، یا معطل یا التواء میں رکھے، سنگین غداری کا مجرم ہوگا۔ اس کے علاوہ، کوئی شخص جو ان افعال میں مدد دے گا، یا معاونت کرے گا، یا شریک ہوگا، اسی طرح سنگین غداری کا مجرم ہوگا۔
112,جی ہاں، عدالت عظمیٰ انصاف کے مفاد میں کسی مقدمے، اپیل یا دیگر کارروائی کو ایک عدالت عالیہ سے دوسری عدالت عالیہ میں منتقل کر سکتی ہے۔,ہاں، عدالت عظمیٰ کسی مقدمے کو ایک عدالت عالیہ سے دوسری عدالت عالیہ میں منتقل کر سکتی ہے۔
113,عدالت عالیہ سندھ و بلوچستان، بلوچستان اور سندھ کے صوبوں کے لیے مشترکہ عدالت عالیہ کے طور پر کام کرنا بند کر دے گی۔,عدالت عالیہ سندھ و بلوچستان، بلوچستان اور سندھ کے صوبوں کے لیے مشترکہ عدالت عالیہ کے طور پر کام کرنا بند کر دے گی۔ صدر، فرمان کے ذریعے، بلوچستان اور سندھ کے صوبوں میں سے ہر ایک کے لیے ایک عدالت عالیہ قائم کرے گا۔
114,وفاق کا یہ فرض ہوگا کہ ہر صوبے کو بیرونی جارحیت اور اندرونی خلفشار سے محفوظ رکھے۔,وفاق کا یہ فرض ہوگا کہ ہر صوبے کو بیرونی جارحیت اور اندرونی خلفشار سے محفوظ رکھے اور اس بات کو یقینی بنائے کہ ہر صوبے کی حکومت دستور کے احکام کے مطابق چلائی جائے۔
115,اگر صدر صوبائی اسمبلی کی قرارداد کے بغیر داخلی خلفشار کی وجہ سے ہنگامی حالت کا اعلان کرے تو ہنگامی حالت کے اعلان کو مجلس شوریٰ (پارلیمنٹ) کے دونوں ایوانوں کے روبرو دس دن کے اندر منظوری کے لیے پیش کیا جائے گا۔,اگر صدر صوبائی اسمبلی کی قرارداد کے بغیر داخلی خلفشار کی وجہ سے ہنگامی حالت کا اعلان کرے تو ہنگامی حالت کے اعلان کو مجلس شوریٰ (پارلیمنٹ) کے دونوں ایوانوں سے ہر ایک ایوان کے روبرو دس دن کے اندر منظوری کے لیے پیش کیا جائے گا۔
116,جی ہاں، وفاقی حکومت صوبے کو ایسے ذرائع مواصلات کی تعمیر اور نگہداشت کے بارے میں ہدایات دے سکتی ہے جنہیں قومی یا فوجی اہمیت کا حامل قرار دیا گیا ہو۔,جی ہاں، وفاقی حکومت صوبے کو مواصلاتی ڈھانچے کے بارے میں ہدایات دے سکتی ہے، خاص طور پر جب ان ذرائع مواصلات کو قومی یا فوجی اہمیت کا حامل قرار دیا گیا ہو۔
117,صدر کو قومی اسمبلی کے لیے ہر عام انتخاب کے بعد پہلے اجلاس کے آغاز پر اور ہر سال کے پہلے اجلاس کے آغاز پر دونوں ایوانوں سے یکجا خطاب کرنا ہوتا ہے۔,قومی اسمبلی کے لیے ہر عام انتخاب کے بعد پہلے اجلاس کے آغاز پر اور ہر سال کے پہلے اجلاس کے آغاز پر صدر یکجا دونوں ایوانوں سے خطاب کرے گا۔
118,جی ہاں، ۱۹۷۷ء اور ۲۰۰۲ء کے فرامین کے تحت منعقد شدہ انتخابات کا اثر ایسے ہوگا جیسے وہ دستور کے تحت منعقد ہوئے ہوں۔,ہاں، ۱۹۷۷ء اور ۲۰۰۲ء کے فرامین کے تحت منعقد شدہ انتخابات کا قانونی اثر ہے۔
119,وزیر اعظم مشترکہ مفادات کی کونسل کا چیئرمین ہوتا ہے۔,وزیر اعظم کونسل کا چیئرمین ہوگا۔
120,نہیں، کسی شخص کو شہادت حاصل کرنے کی غرض سے اذیت نہیں دی جائے گی۔,نہیں، کسی شخص کو شہادت حاصل کرنے کی غرض سے اذیت نہیں دی جائے گی۔
121,سینیٹ میں اسپیکر اور ڈپٹی اسپیکر کے مساوی عہدے چیئرمین اور ڈپٹی چیئرمین ہیں۔,سینیٹ میں اسپیکر اور ڈپٹی اسپیکر کے مساوی عہدے چیئرمین اور ڈپٹی چیئرمین ہیں۔
122,مالی بل کی ابتدا قومی اسمبلی میں ہوگی۔,مالی بل اپنی قانون سازی کا عمل قومی اسمبلی سے شروع کرتا ہے۔
123,عارضی تقرری اس وقت تک برقرار رہتی ہے جب تک کہ صدر اس کو منسوخ نہ کر دے۔,عدالت عظمیٰ کے جج کی عارضی تقرری اس وقت تک برقرار رہتی ہے جب تک کہ صدر اس کو منسوخ نہ کر دے۔
