id,answers,prediction_text_claude
56,قومی اسمبلی میں زیر غور کوئی بل یا کوئی بل جو قومی اسمبلی سے منظور ہو جانے پر سینیٹ میں زیر غور ہو، قومی اسمبلی کے ٹوٹنے پر ساقط ہو جائے گا۔,قومی اسمبلی کے ٹوٹنے پر قومی اسمبلی میں زیر غور بل ساقط ہو جائے گا۔
57,کسی ایوان یا صوبائی اسمبلی کو سوال اسلامی کونسل کو بھیجنا ضروری ہے اگر اس کی کل رکنیت کا دو پانچواں حصہ یہ مطالبہ کرے۔,اگر کسی ایوان یا کسی صوبائی اسمبلی کی کل رکنیت کا دو پانچواں حصہ یہ مطالبہ کرے، تو کسی سوال پر اسلامی کونسل سے مشورہ کیا جائے گا۔
58,نہیں، عدالت عظمیٰ یا کسی عدالت عالیہ کے جج کو اس آرٹیکل میں قرار دی گئی شرائط کے بغیر، جن میں اعلیٰ عدالتی کونسل کی تحقیقات شامل ہیں، عہدے سے برطرف نہیں کیا جا سکتا۔,نہیں، عدالت عظمیٰ یا کسی عدالت عالیہ کے جج کو اعلیٰ عدالتی کونسل کی تحقیقات کے بغیر عہدے سے برطرف نہیں کیا جا سکتا۔ آرٹیکل کی شق (6) کے مطابق، عدالت عظمیٰ یا کسی عدالت عالیہ کے کسی جج کو، بجز جس طرح اس آرٹیکل میں قرار دیا گیا ہے، عہدے سے برطرف نہیں کیا جائے گا۔
59,جی ہاں، عدالت کو ہر لحاظ سے ایسی کارروائی کا اہتمام کرنے اور اپنے طریقہ کار کو منضبط کرنے کا اختیار ہوگا جیسا کہ وہ مناسب خیال کرے۔,جی ہاں، عدالت اپنے طریقہ کار کو منضبط کر سکتی ہے۔ دی گئی معلومات کے مطابق، عدالت کو ہر لحاظ سے ایسی کارروائی کا اہتمام کرنے اور اپنے طریقہ کار کو منضبط کرنے کا اختیار ہے جیسا کہ وہ مناسب خیال کرے۔
60,دستور کے تحت پہلی صوبائی اسمبلی کے اراکین وہ ہیں جو یوم آغاز سے عین قبل موجود اس صوبے کی اسمبلی کے اراکین ہیں، اور وہ زائد اراکین جو آرٹیکل ۱۰۶ کی شق ۳ میں محولہ نشستوں کو پر کرنے کے لیے اراکین کی طرف سے قانون کے مطابق منتخب کیے جائیں گے۔,"دستور کے تحت پہلی صوبائی اسمبلی کے اراکین درج ذیل ہیں:

۱۔ یوم آغاز سے عین قبل موجود اس صوبے کی اسمبلی کے اراکین۔
۲۔ وہ زائد اراکین جو آرٹیکل ۱۰۶ کی شق ۳ میں محولہ نشستوں کو پر کرنے کے لیے اراکین کی طرف سے قانون کے مطابق منتخب کیے جائیں گے۔"
61,سپریم کورٹ اور ہائی کورٹ کے ججوں کی تنخواہ اور ملازمت کی شرائط کی تفصیلات جدول پنجم میں مل سکتی ہیں۔,جدول پنجم میں
62,'قانون' میں کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو مگر اس میں دستور، مسلم شخصی قانون، کسی عدالت یا ٹریبونل کے ضابطہ کار سے متعلق کوئی قانون یا، اس باب کے آغاز نفاذ سے دس سال کی مدت گزرنے تک، کوئی مالی قانون یا محصولات یا فیسوں کے عائد کرنے اور جمع کرنے یا بنکاری یا بیمہ کے عمل اور طریقہ سے متعلق کوئی قانون شامل نہیں ہے۔,اس باب کے مطابق 'قانون' کی تعریف میں کوئی رسم یا رواج شامل ہے جو قانون کا اثر رکھتا ہو۔
63,الیکشن کمیشن حلقوں کی حدبندی بشمول مقامی حکومتوں کے انتخابی حلقوں کی حدبندی کا ذمہ دار ہے۔,الیکشن کمیشن
64,یہ قرار دیتا ہے کہ آرٹیکل ۱۵۲اے کو حذف کر دیا گیا اور آرٹیکل ۱۷۹ اور ۱۹۵ کو تبدیل کر دیا گیا، اور یہ تبدیلی ہمیشہ سے نافذ العمل سمجھی جائے گی۔,دستور (سترہویں ترمیم) ایکٹ، ۲۰۰۳ کے ذریعے آرٹیکل ۱۵۲اے کو حذف کر دیا گیا اور آرٹیکل ۱۷۹ اور ۱۹۵ کو تبدیل کر دیا گیا۔
65,جی ہاں، صدر وزیر اعظم سے اپنے عہدے پر برقرار رہنے کے لیے کہہ سکتا ہے جب تک کہ اس کا جانشین وزیر اعظم کے عہدے پر فائز نہ ہو جائے۔,نہیں، وزیر اعظم نئے وزیر اعظم کے منتخب ہونے کے بعد عہدے پر نہیں رہ سکتا۔ دیے گئے متن کے مطابق، وزیر اعظم صرف اس وقت تک اپنے عہدے پر برقرار رہ سکتا ہے جب تک کہ اس کا جانشین وزیر اعظم کے عہدے پر فائز نہ ہو جائے۔
66,مجلس شوریٰ (پارلیمنٹ) کو وفاقی یا صوبائی قانون کے تحت قائم شدہ کارپوریشنز اور دیگر اداروں کی آمدنی پر محصول عائد کرنے کا اختیار ہے۔,مجلس شوریٰ (پارلیمنٹ) کو وفاقی یا صوبائی قانون کے تحت قائم شدہ کارپوریشنز، کمپنیوں اور دیگر اداروں کی آمدنی پر محصول عائد کرنے اور وصول کرنے کا اختیار حاصل ہے، چاہے وہ ادارے وفاقی حکومت یا کسی صوبائی حکومت کے زیر ملکیت یا زیر نگرانی ہوں۔
67,نہیں، کسی ایسے معاملے کے بارے میں جو کونسل کے سامنے زیر بحث ہوا رہا ہو معاملہ کے کسی فریق کی تحریک پر یا کسی ایسے معاملے کے بارے میں، جو اس آرٹیکل کے تحت کونسل کے سامنے شکایت کا مناسب موضوع فی الواقع ہو، یا رہا ہو سکتا ہو یا ہونا چاہیے، کسی بھی شخص کی تحریک پر، کسی عدالت کے سامنے کوئی کارروائی نہیں کی جائے گی۔,نہیں، عدالت پانی کی فراہمی کے مسائل کے بارے میں کونسل کے زیر غور معاملے کو نہیں اٹھا سکتی۔ دیے گئے متن کے مطابق، کسی ایسے معاملے کے بارے میں جو کونسل کے سامنے زیر بحث ہو یا جو اس آرٹیکل کے تحت کونسل کے سامنے شکایت کا مناسب موضوع ہو، کسی بھی عدالت کے سامنے کوئی کارروائی نہیں کی جا سکتی۔
68,نہیں، ایسا بل صدر کی ماقبل منظوری کے بغیر قومی اسمبلی میں پیش نہیں کیا جا سکتا۔,نہیں، ایسا بل صدر کی ماقبل منظوری کے بغیر قومی اسمبلی میں پیش نہیں کیا جا سکتا۔
69,جی ہاں، یوم آغاز سے چھ ماہ کی مدت کے لیے، کوئی وفاقی وزیر یا وزیر مملکت یا کسی صوبے کا وزیر اعلیٰ یا صوبائی وزیر ایسا شخص ہو سکتا ہے جو پارلیمنٹ یا اس صوبے کی صوبائی اسمبلی کا رکن نہ ہو۔,جی ہاں، نئے دستور کے آغاز کے بعد چھ ماہ تک ایسا شخص جو پارلیمنٹ یا صوبائی اسمبلی کا رکن نہ ہو، وفاقی وزیر یا وزیر اعلیٰ ہو سکتا ہے۔ تاہم، ایسے وزیر اعلیٰ اور صوبائی وزیر کو صوبائی اسمبلی میں یا اس کی کسی کمیٹی میں تقریر کرنے اور کارروائی میں حصہ لینے کا حق ہوگا، لیکن وہ ووٹ دینے کے مستحق نہیں ہوں گے۔
70,پاکستان میں قومی اسمبلی کے رکن منتخب ہونے کے لیے کم از کم عمر پچیس سال ہے۔,قومی اسمبلی کے رکن منتخب ہونے کے لیے کم از کم عمر کی شرط پچیس سال ہے۔
71,عدالت عظمیٰ اور عدالت عالیہ کو توہین عدالت کی سزا دینے کا اختیار ہے۔,عدالت عظمیٰ یا کوئی عدالت عالیہ کو توہین عدالت کی سزا دینے کا اختیار ہے۔
72,چیف جسٹس عدالت عظمیٰ کے دوسرے ججوں کو حلف دلواتا ہے۔,چیف جسٹس
73,اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے، منسوخ کیا گیا ہے۔,اسلامی جمہوریہ پاکستان کا عبوری دستور، مع ان ایکٹوں اور صدر کے فرامین کے جن کے ذریعے اس دستور میں محذوفات، اضافے، ردوبدل یا ترامیم کی گئیں۔
74,صدر پاکستان کے اٹارنی جنرل کو مقرر کرتا ہے۔,صدر پاکستان کے اٹارنی جنرل کو مقرر کرتا ہے۔
75,جی ہاں، حکومت کسی بھی تجارت یا پیشے کو اجرت نامہ کے طریقہ کار کے ذریعے منضبط کر سکتی ہے، آزادانہ مقابلہ کے مفاد کے پیش نظر تجارت، کاروبار یا صنعت کو منضبط کر سکتی ہے، اور دیگر اشخاص کو قطعی یا جزوی طور پر خارج کر کے کسی تجارت، کاروبار، صنعت یا خدمت کا انتظام کر سکتی ہے۔,ہاں، آرٹیکل ۸۱ کے مطابق کچھ پابندیاں ہیں۔ یہ آرٹیکل بیان کرتا ہے کہ ہر شہری کو کوئی جائز تجارت، کاروبار یا پیشہ اختیار کرنے کا حق ہے، لیکن یہ حق قانون کے ذریعے مقرر کردہ شرائط قابلیت کے تابع ہے۔ اس کے علاوہ، حکومت کو اختیار ہے کہ وہ تجارت یا پیشے کو منضبط کرے، آزادانہ مقابلے کو منظم کرے، یا کچھ تجارتوں یا خدمات کو خود یا اپنی زیر نگرانی کارپوریشن کے ذریعے چلائے۔
76,ﺻﻮﺑﺎﺋﯽ ﺍﺳﻤﺒﻠﯽ ﺍﭘﻨﮯ ﭘﮩﻠﮯ ﺍﺟﻼﺱ ﮐﯽ ﺗﺎﺭﯾﺦ ﺳﮯ ﭘﺎﻧﭻ ﺳﺎﻝ ﮐﯽ ﻣﯿﻌﺎﺩ ﺗﮏ ﺑﺮﻗﺮﺍﺭ ﺭﮨﺘﯽ ﮨﮯ ﺍﻭﺭ ﺍﭘﻨﯽ ﻣﯿﻌﺎﺩ ﮐﮯ ﺍﺧﺘﺘﺎﻡ ﭘﺮ ﺗﻮﭦ ﺟﺎﺗﯽ ﮨﮯ۔,صوبائی اسمبلی اپنے پہلے اجلاس کی تاریخ سے پانچ سال کی میعاد تک برقرار رہے گی اور اپنی میعاد کے اختتام پر توٹ جائے گی۔
77,وہ اعمال جو توہین عدالت سمجھے جا سکتے ہیں ان میں عدالت کی قانونی کارروائی کی مذمت کرنا، اس میں مداخلت یا مزاحمت کرنا، عدالت کے کسی حکم کی نافرمانی کرنا، عدالت یا جج کو بدنام کرنا، کوئی ایسا فعل کرنا جو عدالت یا جج کے بارے میں نفرت، تضحیک یا توہین کا باعث ہو، عدالت کے سامنے زیر سماعت معاملے کے فیصلے پر مضر اثر ڈالنا، یا کوئی اور ایسا فعل کرنا جو قانون کے تحت توہین عدالت کا موجب ہو۔,"توہین عدالت کے اعمال میں شامل ہو سکتے ہیں:

• عدالت کی قانونی کارروائی کی مذمت، مداخلت یا مزاحمت کرنا یا عدالت کے حکم کی نافرمانی کرنا
• عدالت کو بدنام کرنا یا عدالت یا جج کے بارے میں نفرت، تضحیک یا توہین پیدا کرنا
• عدالت کے سامنے زیر سماعت معاملے کے فیصلے پر مضر اثر ڈالنے والا کوئی عمل کرنا
• قانون کے مطابق توہین عدالت کا موجب بننے والا کوئی دوسرا فعل کرنا"
78,ایسے قانونی مقدمات وفاق کی طرف سے یا اس کے خلاف کیے جائیں گے، اور اگر یوم آغاز سے عین قبل کوئی مذکورہ قانونی کارروائی کسی عدالت میں تصفیہ طلب تھی تو اس صورت میں اس کارروائی میں اس دن سے صوبے کی بجائے وفاق کا تبدیل کیا جانا متصور ہوگا۔,اس صورت میں، وہ قانونی کارروائی جو پہلے صوبے کی طرف سے یا اس کے خلاف کی جا سکتی تھی، اب وفاق کی طرف سے یا اس کے خلاف کی جائے گی۔ اگر یوم آغاز سے پہلے کوئی ایسی قانونی کارروائی کسی عدالت میں زیر التوا تھی، تو اس کارروائی میں صوبے کی جگہ وفاق کو فریق سمجھا جائے گا۔
79,نہیں، اس آرٹیکل کی رو سے ایڈووکیٹ جنرل ووٹ دینے کا مستحق نہیں ہے۔,نہیں، ایڈووکیٹ جنرل کو صوبائی اسمبلی میں ووٹ دینے کی اجازت نہیں ہے۔
80,نہیں، کسی ملزم کو اپنے خلاف گواہ بننے پر مجبور نہیں کیا جا سکتا۔,نہیں، کسی ملزم کو اپنے خلاف گواہی دینے پر مجبور نہیں کیا جا سکتا۔ دیے گئے متن کے مطابق، جب کسی شخص پر کوئی جرم کا الزام ہو تو اسے اپنے خلاف گواہ بننے پر مجبور نہیں کیا جائے گا۔
81,جی ہاں، مجلس شوریٰ (پارلیمنٹ) بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود و شرائط پر داخل کر سکے گی جو وہ مناسب سمجھے۔,جی ہاں، مجلس شوریٰ (پارلیمنٹ) بذریعہ قانون وفاق میں نئی ریاستوں یا علاقوں کو ایسی قیود و شرائط پر داخل کر سکتی ہے جو وہ مناسب سمجھے۔
82,ہر سال قومی اسمبلی کے سامنے بجٹ پیش کرنے کی ذمہ داری وفاقی حکومت کی ہے۔,وفاقی حکومت کی
83,اگر قومی اسمبلی کی مجموعی رکنیت کی اکثریت سے عدم اعتماد کا ووٹ منظور ہو جائے، تو وزیرِاعظم عہدے پر فائز نہیں رہے گا۔,اگر شق ۱ میں محولہ قرارداد کو قومی اسمبلی کی مجموعی رکنیت کی اکثریت سے منظور کرایا جائے، تو وزیرِاعظم عہدے پر فائز نہیں رہے گا۔
84,صدر بل کی منظوری دے سکتا ہے یا، کسی ایسے بل کی صورت میں جو مالی بل نہ ہو، اسے مجلس شوریٰ (پارلیمنٹ) میں ایک پیغام کے ساتھ واپس بھیج سکتا ہے کہ بل پر دوبارہ غور کیا جائے اور ممکنہ ترامیم پر غور کیا جائے۔,"جب کوئی بل منظوری کے لیے صدر کو پیش کیا جائے تو صدر کے پاس دو اختیارات ہوتے ہیں:

1. بل کی منظوری دے دینا۔
2. اگر یہ مالی بل نہیں ہے تو بل کو ایک پیغام کے ساتھ مجلس شوریٰ (پارلیمنٹ) میں واپس کر دینا، جس میں بل پر یا اس کے کسی مخصوص حکم پر دوبارہ غور کرنے کی درخواست ہو، یا پیغام میں مذکور کسی ترمیم پر غور کرنے کی ہدایت ہو۔

صدر کو یہ فیصلہ دس دن کے اندر کرنا ہوتا ہے۔"
85,وفاقی حکومت پاکستان کی علاقائی سمندری حدود سے باہر براعظمی کنارے یا سمندر کے نیچے تمام اراضیات، معدنیات اور دیگر قیمتی اشیاء کی مالک ہے۔,ﻭﻓﺎﻗﯽ ﺣﮑﻮﻣﺖ
86,پارلیمانی کمیٹی سینٹ کے چار اراکین پر مشتمل ہوتی ہے۔,پارلیمانی کمیٹی میں سینٹ کے چار اراکین شامل ہیں۔
87,صدر کے پاس وفاقی قانون کے احکام کے مطابق شجاعت، مسلح افواج میں قابل تعریف خدمت، تعلیمی امتیاز، یا کھیلوں یا نرسنگ کے میدان میں امتیاز کے اعتراف کے طور پر اعزازی نشانات دینے کا اختیار ہے۔,صدر کے پاس وفاقی قانون کے احکام کے مطابق شجاعت، مسلح افواج میں قابل تعریف خدمت، تعلیمی امتیاز یا کھیلوں یا نرسنگ کے میدان میں امتیاز کے اعتراف کے طور پر اعزازی نشانات عطا کرنے کا اختیار ہے۔
88,وزیر اعظم اور وزیر اعلیٰ کے علاوہ دیگر عہدوں کے انتخابات خفیہ رائے دہی کے ذریعے منعقد کیے جاتے ہیں۔,خفیہ رائے دہی کے ذریعے
89,اگر پاکستان میں کسی صوبائی قانون کا وفاقی قانون سے تصادم ہو جائے تو وفاقی قانون غالب رہے گا اور صوبائی قانون تناقض کی حد تک باطل ہوگا۔,اگر پاکستان میں کسی صوبائی قانون کا وفاقی قانون سے تصادم ہو جائے تو وفاقی قانون غالب رہے گا اور صوبائی قانون تصادم کی حد تک باطل ہو جائے گا۔ یہ اصول اس بات سے قطع نظر لاگو ہوتا ہے کہ وفاقی قانون صوبائی قانون سے پہلے منظور ہوا ہو یا بعد میں۔
90,جی ہاں، وزیر اعلیٰ گورنر کے نام اپنی دستخطی تحریر کے ذریعے اپنے عہدے سے استعفیٰ دے سکتا ہے۔,جی ہاں، وزیر اعلیٰ اپنے عہدے سے استعفیٰ دے سکتا ہے۔ دیے گئے متن کی شق 8 کے مطابق، وزیر اعلیٰ گورنر کے نام اپنی دستخطی تحریر کے ذریعے اپنے عہدے سے استعفیٰ دے سکتا ہے۔
91,قومی اسمبلی اور سینیٹ کے خرچ پر قومی اسمبلی یا سینیٹ اپنی مالیاتی کمیٹی کے مشورے پر عمل کرتے ہوئے کنٹرول کرتی ہے۔,قومی اسمبلی یا سینیٹ اپنی مالیاتی کمیٹی کے مشورے پر عمل کرتے ہوئے اپنے متعلقہ خرچ پر کنٹرول کرتی ہے۔
92,صدر عدالت عظمیٰ کے دوسرے ججوں میں سے مقدم ترین جج کو قائم مقام چیف جسٹس پاکستان کی حیثیت سے مقرر کرے گا۔,صدر عدالت عظمیٰ کے دوسرے ججوں میں سے مقدم ترین جج کو قائم مقام چیف جسٹس پاکستان کی حیثیت سے مقرر کیا جاتا ہے۔
93,صدر صوبائی حکومت کے فرائض اس وقت سنبھال سکتا ہے جب اسے صوبے کے گورنر کی طرف سے رپورٹ موصول ہو اور وہ مطمئن ہو کہ صوبائی حکومت دستور کے احکام کے مطابق نہیں چلائی جا سکتی۔,"صدر صوبائی حکومت کے فرائض درج ذیل حالات میں سنبھال سکتا ہے:

1. جب صوبے کے گورنر کی طرف سے رپورٹ موصول ہو کہ صوبے میں ایسی صورتحال پیدا ہوگئی ہے جس میں صوبے کی حکومت دستور کے احکام کے مطابق نہیں چلائی جاسکتی۔

2. اگر پارلیمنٹ کے دونوں ایوانوں سے علیحدہ علیحدہ قرارداد منظور ہوجائے۔

3. جب صدر مطمئن ہو کہ صوبے میں دستوری نظام ناکام ہوگیا ہے۔

ان حالات میں صدر اعلان کے ذریعے صوبے کی حکومت کے کل یا بعض کارہائے منصبی خود سنبھال سکتا ہے یا صوبے کے گورنر کو ہدایت دے سکتا ہے کہ وہ صدر کی جانب سے یہ فرائض سنبھال لے۔"
94,نہیں، اسلامی تعلیمات سے متعلق نااہلیاں غیر مسلموں پر لاگو نہیں ہوتیں، لیکن ایسا شخص اچھی اخلاقی شہرت کا حامل ہونا چاہیے۔,نہیں، اسلامی تعلیمات سے متعلق نااہلیاں غیر مسلموں پر مجلس شوریٰ (پارلیمنٹ) کی رکنیت کے لیے لاگو نہیں ہوتیں۔ دیے گئے متن کے مطابق، پیراگراف (د) اور (ہ) میں بیان کردہ نااہلیاں غیر مسلموں پر لاگو نہیں ہوتیں۔ تاہم، غیر مسلم امیدواروں کو اچھی اخلاقی شہرت کا حامل ہونا ضروری ہے۔
95,جی ہاں، وفاق کسی بھی مقصد کے لیے جو پارلیمنٹ کے قانون سازی کے دائرہ کار میں آتا ہو، کسی صوبے میں اراضی حاصل کر سکتا ہے۔,جی ہاں، وفاق اپنے مقاصد کے لیے کسی صوبے میں اراضی حاصل کر سکتا ہے۔ وفاق صوبے کو حکم دے سکتا ہے کہ وہ اس اراضی کو وفاق کی طرف سے اور اس کے خرچ پر حاصل کرے یا اگر اراضی صوبے کی ملکیت ہے تو اسے وفاق کے نام منتقل کر دے۔
96,نہیں، کسی شخص کو ایسا کام کرنے پر مجبور نہیں کیا جا سکتا جو قانوناً ضروری نہ ہو۔,نہیں، پاکستان میں کسی شخص کو ایسا کام کرنے پر مجبور نہیں کیا جا سکتا جو قانوناً ضروری نہ ہو۔
97,نہیں، کسی ایسے شخص کی درخواست پر یا اس کے بارے میں حکم صادر نہیں کیا جائے گا جو مسلح افواج پاکستان کا رکن ہو، اس کی شرائط ملازمت کی نسبت، اس کی ملازمت سے پیدا ہونے والے کسی معاملے کی نسبت، یا مسلح افواج پاکستان کے ایک رکن کے طور پر اس کے بارے میں کی گئی کسی کارروائی کی نسبت۔,نہیں، پاکستان کی مسلح افواج کا کوئی رکن اس دائرہ اختیار کے تحت حکم کے لیے درخواست نہیں دے سکتا۔ دیے گئے متن کے مطابق، شق (3) میں واضح طور پر بیان کیا گیا ہے کہ ایسی درخواست پر حکم صادر نہیں کیا جائے گا جو مسلح افواج پاکستان کے کسی رکن کی طرف سے یا اس کے بارے میں پیش کی گئی ہو، خاص طور پر اس کی ملازمت کی شرائط، ملازمت سے متعلق معاملات، یا اس کی حیثیت سے متعلق کسی کارروائی کے بارے میں۔
98,جی ہاں، اس باب کے تحت عدالت کے فیصلے عدالت عالیہ اور اس کی ماتحت عدالتوں پر واجب التعمیل ہوتے ہیں۔,جی ہاں، اس باب کے تحت عدالت کے فیصلے عدالت عالیہ اور اس کی ماتحت عدالتوں کے لیے واجب التعمیل ہوتے ہیں۔
99,عدالت عظمیٰ میں شریعت مرافعہ بینچ تین مسلمان ججوں اور صدر کی طرف سے مقرر کردہ زیادہ سے زیادہ دو علماء پر مشتمل ہو سکتا ہے۔,"شریعت مرافعہ بینچ میں درج ذیل کو مقرر کیا جا سکتا ہے:

۱۔ عدالت عظمیٰ کے تین مسلمان جج

۲۔ وفاقی شرعی عدالت کے ججوں میں سے یا علماء کی ایسی فہرست میں سے جسے صدر چیف جسٹس کے مشورے سے مرتب کرے گا زیادہ سے زیادہ دو علماء جنہیں صدر بینچ کے اجلاس میں شرکت کرنے کے لئے بطور ارکان بغرض خاص مقرر کرے گا۔"
100,گورنر کو کابینہ یا وزیر اعلیٰ کے مشورے پر عمل کرنا ہوتا ہے۔,گورنر کو اپنے فرائض کی انجام دہی میں کابینہ یا وزیر اعلیٰ کے مشورے پر اور اس کے مطابق عمل کرنا ہوتا ہے۔
101,کسی صوبائی اسمبلی میں زیر غور کوئی بل، اسمبلی کے تحلیل ہونے پر ساقط ہوجائے گا۔,صوبائی اسمبلی کے تحلیل ہونے پر، اسمبلی میں زیر غور بل ساقط ہوجائے گا۔
102,دستور میں ترمیم کرنے کا بل کسی بھی ایوان میں شروع کیا جا سکتا ہے۔,دستور میں ترمیم کرنے کے بل کی ابتدا کسی بھی ایوان میں کی جا سکتی ہے۔
103,اگر کوئی شخص یوم آغاز سے قبل قومی اسمبلی اور صوبائی اسمبلی دونوں کا رکن ہو، تو اسے کسی ایک نشست سے مستعفی ہونا پڑے گا قبل اس کے کہ وہ کسی بھی اسمبلی میں نشست سنبھالے۔,اگر کوئی شخص یوم آغاز سے عین قبل قومی اسمبلی اور صوبائی اسمبلی دونوں کا رکن ہو، تو وہ قومی اسمبلی یا صوبائی اسمبلی میں کوئی نشست نہیں سنبھالے گا جب تک کہ وہ اپنی کسی ایک نشست سے مستعفی نہ ہوجائے۔
104,سینیٹ کے ارکان کی میعاد چھ سال ہوتی ہے۔,سینیٹ کے ارکان کی میعاد چھ سال ہوتی ہے۔
105,جی ہاں، کوئی ایوان اپنی رکنیت میں خالی جگہوں کے باوجود کام جاری رکھ سکتا ہے۔,جی ہاں، کوئی ایوان اپنی رکنیت میں خالی جگہوں کے باوجود کام جاری رکھ سکتا ہے۔ دیے گئے متن کے مطابق، ایوان کو اس امر کے باوجود کام کرنے کا اختیار ہوگا کہ اس کی رکنیت میں کوئی جگہ خالی ہو۔
106,جی ہاں، صدر گورنر کو وفاق کے ایسے علاقوں سے متعلق کارہائے منصبی انجام دینے کا حکم دے سکتا ہے جو کسی صوبے میں شامل نہیں ہیں۔,جی ہاں، صدر کسی صوبے کے گورنر کو صوبے سے باہر کے معاملات سنبھالنے کا حکم دے سکتا ہے۔ صدر گورنر کو وفاق کے ایسے علاقوں کی بابت کارہائے منصبی انجام دینے کا حکم دے سکتا ہے جو کسی صوبے میں شامل نہیں ہیں۔
107,نتائج کو صرف ایک انتخابی درخواست کے ذریعے ٹربیونل کے سامنے پیش کر کے چیلنج کیا جا سکتا ہے، جو مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے مقرر کیا گیا ہو۔,پاکستان میں کسی ایوان یا صوبائی اسمبلی کے انتخابی نتائج کو صرف بذریعہ درخواست انتخابی تنازعہ چیلنج کیا جا سکتا ہے۔ یہ درخواست ایک ایسے ٹربیونل کے سامنے پیش کی جائے گی جو مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے مقرر کیا گیا ہو۔
108,قومی مالیاتی کمیشن یوم آغاز سے چھ ماہ کے اندر اور اس کے بعد ایسے وقفوں سے جو پانچ سال سے متجاوز نہ ہوں، تشکیل دیا جانا چاہیے۔,قومی مالیاتی کمیشن کو یوم آغاز سے چھ ماہ کے اندر تشکیل دیا جانا چاہیے، اور اس کے بعد ایسے وقفوں سے جو پانچ سال سے متجاوز نہ ہوں۔
109,جی ہاں، انتظامی عدالتوں یا ٹربیونلز کے فیصلوں کے خلاف عدالت عظمیٰ میں اپیل کی جا سکتی ہے، لیکن صرف اس صورت میں جب عدالت عظمیٰ اس بات کا اطمینان کر لے کہ مقدمے میں عوامی اہمیت کا حامل کوئی اہم امر قانونی شامل ہے اور اپیل دائر کرنے کی اجازت دے دے۔,ہاں، انتظامی عدالتوں یا ٹربیونلز کے فیصلوں کے خلاف عدالت عظمیٰ میں اپیل کی جا سکتی ہے، لیکن صرف اس صورت میں جب عدالت عظمیٰ اس بات کا اطمینان کر لے کہ مقدمے میں عوامی اہمیت کا حامل کوئی اہم امر قانونی شامل ہے اور اپیل دائر کرنے کی اجازت دے دے۔
110,اگر کسی خدمت کے لیے مختص کردہ بجٹ مالی سال کے دوران ناکافی ہو تو صوبائی حکومت صوبائی مجموعی فنڈ سے اضافی خرچ کی منظوری دے سکتی ہے اور صوبائی اسمبلی کے سامنے ایک ضمنی کیفیت نامہ میزانیہ پیش کر سکتی ہے۔,اگر کسی خدمت کے لیے مختص کردہ بجٹ مالی سال کے دوران ناکافی ہو تو صوبائی حکومت کو اختیار ہوگا کہ وہ صوبائی مجموعی فنڈ سے اضافی خرچ کی منظوری دے دے۔ اس کے بعد حکومت صوبائی اسمبلی کے سامنے ایک ضمنی کیفیت نامہ میزانیہ پیش کرے گی جس میں اس اضافی خرچ کی رقم درج ہوگی۔
111,کوئی شخص سنگین غداری کا مجرم ہو سکتا ہے اگر وہ طاقت کے استعمال، طاقت کے مظاہرے، یا کسی دیگر غیر آئینی ذرائع سے دستور کی تنسیخ، تخریب، معطلی، یا التواء میں رکھے، یا اگر وہ ایسا کرنے کی کوشش یا سازش کرے۔,"مندرجہ ذیل اقدامات کسی شخص کو سنگین غداری کا مجرم بنا سکتے ہیں:

۱. طاقت کے استعمال یا دیگر غیر آئینی ذرائع سے دستور کی تنسیخ، تخریب، معطلی یا التواء کرنا۔

۲. دستور کی تنسیخ، تخریب، معطلی یا التواء کرنے کی کوشش یا سازش کرنا۔

۳. مذکورہ بالا افعال میں مدد دینا، معاونت کرنا یا شریک ہونا۔"
112,جی ہاں، عدالت عظمیٰ انصاف کے مفاد میں کسی مقدمے، اپیل یا دیگر کارروائی کو ایک عدالت عالیہ سے دوسری عدالت عالیہ میں منتقل کر سکتی ہے۔,جی ہاں، عدالت عظمیٰ کسی مقدمے کو ایک عدالت عالیہ سے دوسری عدالت عالیہ میں منتقل کر سکتی ہے، اگر وہ انصاف کے مفاد میں ایسا کرنا مناسب سمجھتی ہے۔
113,عدالت عالیہ سندھ و بلوچستان، بلوچستان اور سندھ کے صوبوں کے لیے مشترکہ عدالت عالیہ کے طور پر کام کرنا بند کر دے گی۔,بلوچستان اور سندھ کے صوبوں کے لیے عدالت عالیہ کے حوالے سے یہ تبدیلی واقع ہوئی کہ سندھ و بلوچستان کی مشترکہ عدالت عالیہ کام کرنا بند کر دی گئی اور صدر کو فرمان کے ذریعے بلوچستان اور سندھ کے صوبوں میں سے ہر ایک کے لیے الگ الگ عدالت عالیہ قائم کرنے کا اختیار دیا گیا۔
114,وفاق کا یہ فرض ہوگا کہ ہر صوبے کو بیرونی جارحیت اور اندرونی خلفشار سے محفوظ رکھے۔,وفاق کا یہ فرض ہوگا کہ ہر صوبے کو بیرونی جارحیت اور اندرونی خلفشار سے محفوظ رکھے اور اس بات کو یقینی بنائے کہ ہر صوبے کی حکومت دستور کے احکام کے مطابق چلائی جائے۔
